week,pos,score,n,cells,spearman,topN,hit,bias,MAE,RMSE,pearson,dsp,dtopN,dMAE
1,skill,ours,110,4,0.3147457840103015,22.75833333333333,0.5833333333333334,-1.3332117383218232,7.279236798631155,9.326425754627012,0.5111275250863729,,,
1,skill,ecr_only,110,4,0.39637084970660785,21.973333333333333,0.5833333333333334,,,,,"+0.082 [-0.047,+0.216]",-0.7849999999999966,
1,skill,ecr_pts_only,110,4,0.40363431192428817,21.015,0.5833333333333334,-0.9785614848309235,6.821741684158854,8.974526510396688,0.5422515488592697,"+0.089 [-0.033,+0.210]",-1.7433333333333287,-0.45749511447230073
1,skill,rank,110,4,0.3639831398377254,22.758333333333336,0.5833333333333334,,,,,"+0.049 [-0.034,+0.130]",7.105427357601002e-15,
1,skill,rank_pp,110,4,0.3754452652579309,22.75833333333333,0.5833333333333334,,,,,"+0.061 [-0.019,+0.156]",0.0,
1,skill,pts,110,4,0.41151606126202805,21.973333333333333,0.5833333333333334,-1.0849565608781933,6.909329362004642,9.023411290310854,0.5458204260498878,"+0.097 [-0.005,+0.200]",-0.7849999999999966,-0.36990743662651315
1,skill,pts_pp,110,4,0.3880806242604138,22.75833333333333,0.5833333333333334,-1.3458673870218025,7.05293985217605,9.180945211474103,0.5265795280218036,"+0.073 [-0.043,+0.185]",0.0,-0.226296946455105
1,skill,z,110,4,0.3790589684422603,22.758333333333336,0.5833333333333334,,,,,"+0.064 [-0.019,+0.167]",7.105427357601002e-15,
1,skill,z_pp,110,4,0.3734092560123885,22.75833333333333,0.5833333333333334,,,,,"+0.059 [-0.049,+0.185]",0.0,
1,QB,ours,24,1,0.39739130434782605,22.75833333333333,0.5833333333333334,-2.663572645009936,7.724912183513197,9.606105035857881,0.37223288728139703,,,
1,QB,ecr_only,24,1,0.4843478260869564,21.973333333333333,0.5833333333333334,,,,,"+0.087 [-0.100,+0.305]",-0.7849999999999966,
1,QB,ecr_pts_only,24,1,0.49825783442432425,21.015,0.5833333333333334,-1.044085968394957,6.7365573962094345,8.715706644584545,0.501521566481274,"+0.101 [-0.152,+0.307]",-1.7433333333333287,-0.9883547873037628
1,QB,rank,24,1,0.44434782608695644,22.758333333333336,0.5833333333333334,,,,,"+0.047 [-0.113,+0.171]",7.105427357601002e-15,
1,QB,rank_pp,24,1,0.39739130434782605,22.75833333333333,0.5833333333333334,,,,,"+0.000 [+0.000,+0.000]",0.0,
1,QB,pts,24,1,0.46956521739130425,21.973333333333333,0.5833333333333334,-1.5299319713794504,6.991863519371946,8.92337777664648,0.47438374524695004,"+0.072 [-0.085,+0.235]",-0.7849999999999966,-0.7330486641412515
1,QB,pts_pp,24,1,0.39739130434782605,22.75833333333333,0.5833333333333334,-2.663572645009936,7.724912183513197,9.606105035857881,0.37223288728139703,"+0.000 [+0.000,+0.000]",0.0,0.0
1,QB,z,24,1,0.42,22.758333333333336,0.5833333333333334,,,,,"+0.023 [-0.116,+0.146]",7.105427357601002e-15,
1,QB,z_pp,24,1,0.39739130434782605,22.75833333333333,0.5833333333333334,,,,,"+0.000 [+0.000,+0.000]",0.0,
1,RB,ours,32,1,0.5412045305022214,,,-2.1214366076002285,8.4395706434444,10.368678972522572,0.5780224804984074,,,
1,RB,ecr_only,32,1,0.6578055065860333,,,,,,,"+0.117 [-0.017,+0.301]",,
1,RB,ecr_pts_only,32,1,0.6940897871984768,,,-2.6398797599765245,7.396298446888124,9.485280772890887,0.6929780766518905,"+0.153 [+0.030,+0.326]",,-1.0432721965562761
1,RB,rank,32,1,0.60564931319585,,,,,,,"+0.064 [-0.017,+0.193]",,
1,RB,rank_pp,32,1,0.6304886112456435,,,,,,,"+0.089 [-0.026,+0.257]",,
1,RB,pts,32,1,0.6680722591971866,,,-2.4843468142636356,7.654157244469202,9.689073269087451,0.6815321275321353,"+0.127 [+0.011,+0.313]",,-0.7854133989751979
