team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
PIT,rush,1.0,recent,13.39,26.62,1.9873,13.22
DET,rush,1.0,recent,15.0,25.77,1.7181,10.77
KC,rush,0.9667,recent,15.55,24.58,1.5802,9.02
KC,pass,1.0,exclusive,25.43,35.53,1.3972,10.1
IND,recv,1.0,recent,23.62,32.51,1.376,8.88
CHI,rush,1.0,recent,20.75,27.95,1.3474,7.21
NYJ,rush,1.0,recent,19.24,25.16,1.3076,5.92
SF,recv,1.0,recent,25.04,32.42,1.2948,7.38
MIA,recv,0.8876,recent,23.96,30.0,1.2519,6.04
TEN,recv,0.9934,recent,27.33,33.98,1.2434,6.65
MIN,rush,0.9942,recent,35.45,26.87,0.758,8.58
SEA,rush,0.9938,recent,33.22,25.31,0.762,7.91
MIA,rush,0.7679,recent,14.93,18.42,1.2336,3.49
GB,rush,0.9492,recent,19.5,24.03,1.2318,4.52
BAL,pass,1.0,exclusive,25.73,31.66,1.2305,5.93
ARI,pass,1.0,exclusive,27.89,34.2,1.2262,6.31
BUF,recv,0.9452,recent,23.63,28.92,1.2238,5.29
DAL,rush,1.0,recent,33.86,26.65,0.7869,7.21
ARI,recv,1.0,recent,27.37,32.87,1.2011,5.5
BAL,recv,1.0,recent,25.57,30.56,1.195,4.99
ATL,recv,0.881,recent,40.97,33.19,0.8101,7.78
BAL,rush,1.0,recent,40.06,32.49,0.8111,7.57
SF,rush,0.9841,recent,35.73,29.04,0.8128,6.69
BUF,pass,1.0,exclusive,26.97,31.88,1.182,4.91
CIN,recv,0.995,recent,43.55,35.89,0.8241,7.66
MIN,recv,0.9589,recent,27.57,32.16,1.1665,4.59
CIN,rush,1.0,recent,19.64,22.68,1.1544,3.03
PIT,recv,0.9799,recent,27.81,31.54,1.1341,3.73
NYJ,recv,1.0,recent,36.89,32.5,0.881,4.39
TB,pass,1.0,exclusive,43.47,38.63,0.8886,4.84
DET,recv,1.0,recent,36.93,33.19,0.8988,3.74
NO,rush,0.9122,recent,29.97,27.04,0.9025,2.92
KC,recv,0.9941,recent,31.33,34.37,1.0969,3.04
ATL,rush,0.9787,recent,21.85,19.77,0.9048,2.08
NO,recv,0.9548,recent,38.39,34.75,0.9051,3.64
TB,recv,1.0,recent,41.52,37.77,0.9097,3.75
CAR,rush,0.9926,recent,28.27,25.72,0.9098,2.55
CLE,recv,1.0,recent,30.28,32.97,1.0887,2.69
NYG,pass,1.0,exclusive,38.36,35.11,0.9153,3.25
TEN,rush,0.9916,recent,22.72,24.62,1.0835,1.9
LAC,rush,0.9901,recent,25.22,23.23,0.9211,1.99
LV,rush,0.9627,recent,33.21,30.61,0.9215,2.61
MIN,pass,1.0,exclusive,32.24,34.76,1.078,2.52
DAL,recv,1.0,recent,31.94,34.38,1.0764,2.44
TB,rush,1.0,recent,24.51,26.32,1.0738,1.81
SEA,recv,0.9935,recent,31.77,33.74,1.0619,1.97
LAC,recv,0.9944,recent,34.35,32.29,0.94,2.06
ARI,rush,1.0,recent,22.9,24.25,1.0593,1.36
LA,recv,0.9952,recent,31.95,33.79,1.0577,1.84
BUF,rush,1.0,recent,28.82,27.24,0.9454,1.57
LA,rush,1.0,recent,25.55,26.94,1.0545,1.39
LA,pass,1.0,exclusive,36.26,34.56,0.9531,1.7
NYG,rush,0.9038,recent,25.1,24.07,0.9589,1.03
GB,recv,0.9755,recent,32.11,33.37,1.0393,1.26
LV,recv,1.0,recent,30.15,28.99,0.9616,1.16
GB,pass,1.0,exclusive,34.1,35.39,1.0379,1.29
IND,rush,1.0,recent,28.19,29.21,1.0361,1.02
CLE,pass,1.0,exclusive,34.94,33.94,0.9714,1.0
CHI,recv,1.0,recent,32.23,31.45,0.9757,0.78
NYJ,pass,1.0,exclusive,34.49,33.71,0.9774,0.78
DAL,pass,1.0,exclusive,34.92,35.51,1.0169,0.59
CAR,recv,1.0,recent,33.96,34.02,1.0016,0.05
NYG,recv,0.9834,recent,33.95,33.9,0.9985,0.05
CLE,rush,1.0,recent,27.5,27.46,0.9987,0.04
