player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0033873,Patrick Mahomes II,QB,KC,7500,1523,21.5732,21.5732,1.0,1.2628304821150855,27.24332081888619,HOU,29.0,54.5,5.0,1.0,8.447,statline_mc+recal_10_4b,9.152191140885382,47.363644519283355,38.34375,434.458821302839,2.51075,3.734,22.336594562799554,0.1875,0.0,0.0,0.0,0.0,32.189262308393516,-4.945941489507327,27.868,97.67988811823962,22.04116521339941,25.53179341243293,,classic,True
00-0034796,Lamar Jackson,QB,BAL,6900,1527,20.6808,20.6808,1.0,1.2519440124416796,25.89122200848726,CIN,28.75,47.0,5.0,1.0,8.57,statline_mc+recal_10_4b,7.015433341584307,47.76734448259732,34.5785,331.66796148342615,2.51375,9.57475,63.010318894326524,0.41875,0.0,0.0,0.0,0.0,32.745250348769694,-6.854028340282433,26.528,91.04780777805301,13.614687451181021,15.8981770505208,,classic,True
00-0033280,Christian McCaffrey,RB,CAR,8600,5536,23.021,23.021,1.0,1.0995334370139969,25.312331252285325,TB,25.25,48.5,5.0,1.0,10.5894,statline_mc+recal_10_4b,3.959277723013715,54.643062766634586,0.0,0.0,0.0,18.4085,105.03997245330696,0.84075,7.45075,5.76275,52.90068878792572,0.23125,29.30356612412327,-3.9912348718379462,33.72,90.5108991825613,40.099440613754595,30.0965593851277,,classic,True
00-0033893,Dalvin Cook,RB,MIN,8400,5559,22.2649,22.2649,1.0,1.0342146189735615,23.026637206674756,PHI,23.75,44.0,5.0,1.0,9.9492,statline_mc+recal_10_4b,5.196975910101251,46.89204640915274,0.0,0.0,0.0,15.9945,87.80632394831619,0.6695,6.449,5.1545,45.59048249997151,0.1655,24.62668064482877,-1.6000434381540138,27.24,80.0388851044505,16.159927195604116,11.61630342745916,,classic,True
00-0033537,Deshaun Watson,QB,HOU,6700,1518,20.4854,20.4854,1.0,1.1104199066874028,22.7474016002269,KC,25.5,54.5,5.0,1.0,8.3325,statline_mc+recal_10_4b,6.951594574751667,41.22284507627596,36.4045,334.4914123185718,2.347,3.91175,19.092336117999714,0.25725,0.0,0.0,0.0,0.0,26.848390104542847,-4.100988504315946,26.352,89.5762117083643,10.180092572901266,14.311886943638976,,classic,True
00-0019596,Tom Brady,QB,NE,6800,1131,17.238,17.238,1.0,1.2954898911353032,22.331660016661843,NYG,29.75,43.0,5.0,1.0,8.2503,statline_mc+recal_10_4b,7.329358905691448,39.13581696697858,35.641,344.75718394677006,2.3355,1.653,7.563364419598014,0.1025,0.0,0.0,0.0,0.0,25.307873799830606,-2.976213783168763,21.812,81.88774667657502,5.134097970819373,8.264046619407365,,classic,True
00-0033045,Ezekiel Elliott,RB,DAL,8500,5444,19.7588,19.7588,1.0,1.0995334370139969,21.725453836559183,NYJ,25.25,43.5,5.0,1.0,9.7349,statline_mc+recal_10_4b,5.671110188701819,43.82655988382126,0.0,0.0,0.0,17.152,85.25337608134625,0.7135,4.364,3.27825,27.429640995193903,0.124,20.45655170765401,1.2689021289051716,17.96,81.2095538147139,6.630187569625584,12.920743038969853,,classic,True
00-0029263,Russell Wilson,QB,SEA,6600,1412,21.4165,21.4165,1.0,0.9688958009331259,20.750389928312217,CLE,22.25,45.5,5.0,1.0,8.2042,statline_mc+recal_10_4b,6.79327816316132,37.08056617684268,33.577,278.6894851821287,2.02275,4.9455,21.143242279194325,0.221,0.0,0.0,0.0,0.0,22.93990363520458,-2.189513706892363,26.68,68.27718602922963,5.473332573814397,3.1259288458116576,,classic,True
00-0033077,Dak Prescott,QB,DAL,6200,1501,18.8526,18.8526,1.0,1.0995334370139969,20.7290215725396,NYJ,25.25,43.5,5.0,1.0,8.2558,statline_mc+recal_10_4b,5.684061175550783,37.814554120709545,34.667,340.9513572527492,2.1255,3.16625,17.96234602363827,0.145,0.0,0.0,0.0,0.0,25.29803889247379,-4.56901731993419,25.288,72.38853108744118,5.53256833017572,4.192926646845318,,classic,True
00-0033106,Jared Goff,QB,LA,6100,1490,17.3689,17.3689,1.0,1.1430793157076204,19.85407193647865,SF,26.25,49.5,5.0,1.0,8.1917,statline_mc+recal_10_4b,5.689870353495136,36.21927582758548,39.75025,337.0368508190187,1.6735,4.975,19.536622765482388,0.263,0.0,0.0,0.0,0.0,23.92363630930899,-4.069564372830339,19.46,77.49360085872348,3.209859989776124,6.037842913589313,,classic,True
00-0034791,Nick Chubb,RB,CLE,7300,5622,19.5194,19.5194,1.0,1.0124416796267495,19.76225791679158,SEA,23.25,45.5,5.0,1.0,10.0712,statline_mc+recal_10_4b,2.920567761706857,43.36092422406827,0.0,0.0,0.0,20.10475,100.74210505321092,0.73625,3.90725,2.968,22.919283112016995,0.1005,21.329138816522793,-1.5668808997312134,20.32,77.97471049046321,14.578634714525414,9.628787811510593,,classic,True
00-0035228,Kyler Murray,QB,ARI,6500,1537,18.2685,18.2685,1.0,1.077760497667185,19.689060591160565,ATL,24.75,52.5,5.0,1.0,8.1775,statline_mc+recal_10_4b,6.832055310044256,35.231665809310215,37.18975,269.830028035847,1.18675,6.28725,36.566268602656606,0.321,0.0,0.0,0.0,0.0,21.144577981699538,-1.4555173905389722,21.512,71.94121046982082,4.14570264877813,4.061074123877755,,classic,True
00-0033908,Cooper Kupp,WR,LA,7100,5552,17.2058,17.2058,1.0,1.1430793157076204,19.667584776213555,SF,26.25,49.5,5.0,1.0,10.9188,statline_mc+recal_10_4b,1.178861910189597,46.65054682027472,0.0,0.0,0.0,0.93925,6.50206808658542,0.03475,12.58675,8.0015,114.03135850073042,0.7485,25.747092658731585,-6.07950788251803,25.6,92.77288624994918,25.408145066241072,18.891788230697475,,classic,True
00-0032187,David Johnson,RB,ARI,7600,5395,18.227,18.227,1.0,1.077760497667185,19.644289236486337,ATL,24.75,52.5,5.0,1.0,9.5272,statline_mc+recal_10_4b,4.250097937466309,41.48751795677964,0.0,0.0,0.0,12.39525,54.60538988623903,0.334,7.87325,5.8395,57.530375590455066,0.31375,21.78982654766941,-2.145537311183073,18.62,86.9080665304269,11.710754752685734,21.69063537745922,,classic,True
00-0032765,Michael Thomas,WR,NO,7800,5459,22.4907,22.4907,1.0,0.8709175738724727,19.587510739231327,JAX,20.0,42.5,5.0,1.0,9.3385,statline_mc+recal_10_4b,6.259597000970969,38.42324970451834,0.0,0.0,0.0,0.0,0.0,0.0,10.58425,7.741,80.99299398958638,0.455,19.27329939895864,0.3142113402726885,24.66,70.43352718695351,8.679549091732511,5.076628690195701,,classic,True
