team,opponent,commence_time,spread,over_under,implied_total
NE,NYG,2019-10-10,-16.5,43.0,29.75
NYG,NE,2019-10-10,16.5,43.0,13.25
TB,CAR,2019-10-13,2.0,48.5,23.25
CAR,TB,2019-10-13,-2.0,48.5,25.25
BAL,CIN,2019-10-13,-10.5,47.0,28.75
CIN,BAL,2019-10-13,10.5,47.0,18.25
CLE,SEA,2019-10-13,-1.0,45.5,23.25
SEA,CLE,2019-10-13,1.0,45.5,22.25
JAX,NO,2019-10-13,-2.5,42.5,22.5
NO,JAX,2019-10-13,2.5,42.5,20.0
KC,HOU,2019-10-13,-3.5,54.5,29.0
HOU,KC,2019-10-13,3.5,54.5,25.5
MIA,WAS,2019-10-13,6.0,42.0,18.0
WAS,MIA,2019-10-13,-6.0,42.0,24.0
MIN,PHI,2019-10-13,-3.5,44.0,23.75
PHI,MIN,2019-10-13,3.5,44.0,20.25
ARI,ATL,2019-10-13,3.0,52.5,24.75
ATL,ARI,2019-10-13,-3.0,52.5,27.75
LA,SF,2019-10-13,-3.0,49.5,26.25
SF,LA,2019-10-13,3.0,49.5,23.25
DEN,TEN,2019-10-13,-1.0,41.0,21.0
TEN,DEN,2019-10-13,1.0,41.0,20.0
NYJ,DAL,2019-10-13,7.0,43.5,18.25
DAL,NYJ,2019-10-13,-7.0,43.5,25.25
LAC,PIT,2019-10-13,-6.0,42.5,24.25
PIT,LAC,2019-10-13,6.0,42.5,18.25
GB,DET,2019-10-14,-3.5,47.0,25.25
DET,GB,2019-10-14,3.5,47.0,21.75
