player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0033873,Patrick Mahomes II,QB,KC,7500,1523,21.4772,21.4772,1.0,1.2628304821150855,27.122025401821716,HOU,29.0,54.5,5.0,1.0,8.4056,statline_mc+recal_10_4b,9.435911908610283,45.85528521434081,38.45025,437.28565728276317,2.50575,3.62525,20.374003949621397,0.15925,0.0,0.0,0.0,0.0,31.915326686272667,-4.793301284450951,27.868,97.67988811823962,25.175606027924037,27.144052058409436,,classic,True
00-0034796,Lamar Jackson,QB,BAL,6900,1527,20.5393,20.5393,1.0,1.2519440124416796,25.714100511719035,CIN,28.75,47.0,5.0,1.0,8.5689,statline_mc+recal_10_4b,6.946040380696372,47.342641163408615,34.771,333.7683571409342,2.54425,8.86575,58.907518780754565,0.39325,0.0,0.0,0.0,0.0,32.345236163712826,-6.631135651993791,26.528,91.04780777805301,15.489998080275921,16.90210078556425,,classic,True
00-0033280,Christian McCaffrey,RB,CAR,8600,5536,22.8905,22.8905,1.0,1.0995334370139969,25.168869144565214,TB,25.25,48.5,5.0,1.0,10.6463,statline_mc+recal_10_4b,4.17959917386811,53.35925812961035,0.0,0.0,0.0,18.28025,106.10462197617171,0.85275,7.00375,5.454,50.49112426309249,0.223,28.861324623926418,-3.692455479361204,33.72,90.5108991825613,39.81782076462741,29.979119714650356,,classic,True
00-0033893,Dalvin Cook,RB,MIN,8400,5559,22.2569,22.2569,1.0,1.0342146189735615,23.018419144958187,PHI,23.75,44.0,5.0,1.0,10.0311,statline_mc+recal_10_4b,5.260439697417832,47.13837715824453,0.0,0.0,0.0,15.7335,87.4813724797034,0.64775,6.4115,5.14225,46.94710101537438,0.16875,24.601347349507776,-1.5829282045495887,27.24,80.0388851044505,16.0429805332967,11.57097549381636,,classic,True
00-0033537,Deshaun Watson,QB,HOU,6700,1518,20.5037,20.5037,1.0,1.1104199066874028,22.767677111258283,KC,25.5,54.5,5.0,1.0,8.3172,statline_mc+recal_10_4b,6.938214449267781,40.897235868651165,36.442,332.87259698127303,2.36425,3.81325,19.602767824507946,0.24775,0.0,0.0,0.0,0.0,26.894180661701714,-4.126503550443431,26.352,89.5762117083643,10.925218910110363,15.215641062763405,,classic,True
00-0033045,Ezekiel Elliott,RB,DAL,8500,5444,19.2932,19.2932,1.0,1.0995334370139969,21.21350462235116,NYJ,25.25,43.5,5.0,1.0,9.3276,statline_mc+recal_10_4b,6.6810211598237625,41.898844071404504,0.0,0.0,0.0,15.55125,75.21720743239831,0.622,4.3005,3.282,28.449277355653276,0.12225,18.87839847880516,2.3351061435459997,17.96,80.84497048138057,3.1352760912644206,12.450743485107473,,classic,True
00-0033077,Dak Prescott,QB,DAL,6200,1501,18.8472,18.8472,1.0,1.0995334370139969,20.723076422839007,NYJ,25.25,43.5,5.0,1.0,8.2434,statline_mc+recal_10_4b,6.1467856530681715,37.436002766423286,34.40075,343.1881181689447,2.159,2.831,15.955875390449556,0.1335,0.0,0.0,0.0,0.0,25.28461226580275,-4.5615358429637425,25.288,73.29762199653209,6.03035010296849,4.756763538384015,,classic,True
00-0034791,Nick Chubb,RB,CLE,7300,5622,19.4936,19.4936,1.0,1.0124416796267495,19.736152232057865,SEA,23.25,45.5,5.0,1.0,9.8137,statline_mc+recal_10_4b,3.199009479113421,43.60731050115429,0.0,0.0,0.0,20.00125,100.13370578277512,0.7355,3.932,2.948,22.88793906982647,0.10025,21.24866448526016,-1.5125122532022957,20.32,77.97471049046321,14.966804893638482,9.591215355031103,,classic,True
00-0033106,Jared Goff,QB,LA,6100,1490,17.2584,17.2584,1.0,1.1430793157076204,19.7277496869182,SF,26.25,49.5,5.0,1.0,8.2133,statline_mc+recal_10_4b,5.375376331884377,36.255434659341546,39.668,336.8037685924916,1.60925,5.088,19.269472599295405,0.2665,0.0,0.0,0.0,0.0,23.638348003629208,-3.910598316711006,19.46,79.46329782842045,5.377568554069051,7.388856040280392,,classic,True
00-0032765,Michael Thomas,WR,NO,7800,5459,22.6099,22.6099,1.0,0.8709175738724727,19.69139561473567,JAX,20.0,42.5,5.0,1.0,9.5429,statline_mc+recal_10_4b,5.677330153962663,40.62270283071039,0.0,0.0,0.0,0.0,0.0,0.0,10.5155,7.68625,84.29815762099024,0.475,19.672315762099025,0.01907985263664358,24.66,70.54546748546097,8.691703587934773,5.083672300623025,,classic,True
00-0035228,Kyler Murray,QB,ARI,6500,1537,18.1672,18.1672,1.0,1.077760497667185,19.579900525526927,ATL,24.75,52.5,5.0,1.0,8.1547,statline_mc+recal_10_4b,6.566572742478942,35.6613608071673,37.22575,267.90681192712185,1.21725,5.99075,34.56526565485759,0.30725,0.0,0.0,0.0,0.0,20.898049042570634,-1.3181485170437064,21.512,78.15333168194203,4.990988757678776,6.728847724254128,,classic,True
00-0033906,Alvin Kamara,RB,NO,8000,5562,22.4648,22.4648,1.0,0.8709175738724727,19.56498583765575,JAX,20.0,42.5,5.0,1.0,8.9151,statline_mc+recal_10_4b,6.876196662940166,37.34299134392056,0.0,0.0,0.0,14.818,56.40539424233371,0.322,6.0125,4.7495,37.42236542826066,0.17325,17.79102596705944,1.773959870596311,19.364,65.66984559491371,8.093803557528942,3.1337285666523256,,classic,True
00-0032187,David Johnson,RB,ARI,7600,5395,18.1383,18.1383,1.0,1.077760497667185,19.548709517878358,ATL,24.75,52.5,5.0,1.0,9.6903,statline_mc+recal_10_4b,4.55050936659969,40.42259044599993,0.0,0.0,0.0,12.6155,54.705049489445656,0.3215,7.9165,5.87975,55.02184089090218,0.31775,21.495189038034784,-1.9464795201564264,18.62,86.7518165304269,12.525979826409799,21.30126250013725,,classic,True
00-0033856,Leonard Fournette,RB,JAX,6700,5534,19.7811,19.7811,1.0,0.9797822706065319,19.38118072640875,NO,22.5,42.5,5.0,1.0,9.642,statline_mc+recal_10_4b,3.186294277493163,41.24068145255639,0.0,0.0,0.0,20.00225,98.07797579063332,0.41825,6.12475,4.39075,34.52977978342399,0.14625,22.09177555740573,-2.7105948309969783,19.3,73.08313465031789,15.00741938115143,6.148197193764775,,classic,True
00-0033908,Cooper Kupp,WR,LA,7100,5552,16.8913,16.8913,1.0,1.1430793157076204,19.308082274919077,SF,26.25,49.5,5.0,1.0,10.6149,statline_mc+recal_10_4b,1.3719870173647024,44.59829420087203,0.0,0.0,0.0,0.924,6.698286114824393,0.03725,11.78875,7.514,106.79683778069142,0.7235,24.36626238955158,-5.058180114632503,25.6,92.6609459514417,25.360207032968322,18.670493542319463,,classic,True
00-0031544,Amari Cooper,WR,DAL,7000,5376,17.0855,17.0855,1.0,1.0995334370139969,18.7860708813218,NYJ,25.25,43.5,5.0,1.0,10.9038,statline_mc+recal_10_4b,0.5204306267242957,46.20266144608786,0.0,0.0,0.0,0.0,0.0,0.0,10.7985,7.31675,115.65258772804548,0.8015,24.65550877280455,-5.86943789148275,23.84,83.36207247143032,17.50931731208183,10.804382454029039,,classic,True
00-0033293,Aaron Jones,RB,GB,6500,5543,17.0643,17.0643,1.0,1.0995334370139969,18.76275960771368,DET,25.25,47.0,5.0,1.0,9.8259,statline_mc+recal_10_4b,1.1372958034913,43.19420314749996,0.0,0.0,0.0,15.75225,69.39826015069828,1.0345,6.11025,4.78025,42.17700588887466,0.1785,24.077276603957294,-5.314516996243615,23.64,84.49179722979109,18.198109851369413,17.34509995581543,,classic,True
00-0023459,Aaron Rodgers,QB,GB,6300,1252,16.963,16.963,1.0,1.0995334370139969,18.65138242048996,DET,25.25,47.0,5.0,1.0,8.0435,statline_mc+recal_10_4b,6.523395007007497,32.95305733801766,35.927,286.492448302801,1.5065,3.1405,14.303170689926953,0.12225,0.0,0.0,0.0,0.0,20.004265001104738,-1.3528825806147786,16.296,72.29956238130625,5.141246534298002,4.429459358150064,,classic,True
00-0033699,Austin Ekeler,RB,LAC,6400,5575,17.2859,17.2859,1.0,1.0559875583203733,18.25371294945362,PIT,24.25,42.5,5.0,1.0,9.9152,statline_mc+recal_10_4b,1.5581336630136002,41.77279614610488,0.0,0.0,0.0,12.405,53.00513093654932,0.48275,8.005,6.82,61.683431321009806,0.3425,24.08960622575591,-5.83589327630229,26.26,75.17115122615805,15.06136111768486,7.43336454250354,,classic,True
00-0031503,Jameis Winston,QB,TB,5900,1465,17.9906,17.9906,1.0,1.0124416796267495,18.214384750293313,CAR,23.25,48.5,5.0,1.0,8.1103,statline_mc+recal_10_4b,5.127795855803228,33.581344935394796,34.925,284.853480458118,2.0535,2.92775,10.868467642350243,0.10225,0.0,0.0,0.0,0.0,21.423735982559744,-3.2093512322664317,20.708,67.03967467591445,6.2086094689463005,3.0421705911747763,,classic,True
