team,position,matchup_factor
MIA,QB,1.6234383538059627
ATL,QB,1.420912772375798
NO,QB,1.3924082848652248
ARI,QB,1.390492016797287
WAS,QB,1.297553015502309
TB,QB,1.2448556436340226
NYG,QB,1.2182674241913871
CIN,QB,1.1957512743931193
LV,QB,1.1346702297276055
IND,QB,1.0987402034537739
HOU,QB,1.0985006699452815
DET,QB,1.080894957071104
KC,QB,1.0776612547064592
JAX,QB,1.0695171154177239
CLE,QB,1.0264010838891258
SEA,QB,1.0230476147702348
PHI,QB,0.9907105911237863
BAL,QB,0.9863989879709266
LA,QB,0.968913041850995
NYJ,QB,0.9210063401525528
TEN,QB,0.9202877396270762
LAC,QB,0.8936995201844408
PIT,QB,0.8898669840485652
CAR,QB,0.8771717080984782
MIN,QB,0.8580090274191011
GB,QB,0.7792025031251637
DAL,QB,0.6845867672707402
CHI,QB,0.6642264190489023
DEN,QB,0.6505730090648462
BUF,QB,0.6182359854183976
SF,QB,0.5712874177539241
NE,QB,0.3327120432956816
CIN,RB,1.5526404931644284
MIA,RB,1.5452761250184237
GB,RB,1.3181391524253543
DEN,RB,1.215534472638321
DET,RB,1.1905038955128553
WAS,RB,1.1667145040299745
DAL,RB,1.1642321327448042
JAX,RB,1.1245141921820818
HOU,RB,1.1228592779919686
LA,RB,1.0781765948589057
KC,RB,1.0599725387676575
NYJ,RB,1.0384586542961831
BAL,RB,1.0381276714581604
CHI,RB,1.0359762830110129
CLE,RB,1.0136349414444814
PIT,RB,0.9979132566384038
NYG,RB,0.9896386856878365
LAC,RB,0.9648149728361349
CAR,RB,0.9482658309350006
SEA,RB,0.9416461741745468
BUF,RB,0.9375088886992634
LV,RB,0.9168224613228454
IND,RB,0.9060655190871079
TEN,RB,0.8787594349502362
ARI,RB,0.8646926643342718
ATL,RB,0.8646926643342718
NO,RB,0.7918764399692806
PHI,RB,0.7902215257791672
MIN,RB,0.7091307304636086
TB,RB,0.6811626806506914
NE,RB,0.6048711364864621
SF,RB,0.5471560041062559
ARI,TE,1.980717978820699
TB,TE,1.70432312453649
IND,TE,1.398745803841205
SEA,TE,1.3232739079504927
MIA,TE,1.2662506977219543
KC,TE,1.259542084753891
TEN,TE,1.239416245849701
CLE,TE,1.2092274874934157
DAL,TE,1.2058731810093843
LV,TE,1.1807158823791468
CHI,TE,1.1337555916027036
WAS,TE,1.1287241318766559
MIN,TE,1.098535373520371
ATL,TE,1.0062919452095
LAC,TE,0.9995833322414367
LA,TE,0.9895204127893418
PIT,TE,0.9844889530632942
PHI,TE,0.9677174206431359
BAL,TE,0.8922455247524235
NO,TE,0.855348153428075
DEN,TE,0.8318680080398534
JAX,TE,0.8117421691356633
DET,TE,0.7987442315100407
NYG,TE,0.7748447978113149
HOU,TE,0.7513646524230932
GB,TE,0.7396245797289825
CIN,TE,0.7094358213726976
NYJ,TE,0.6687648552538136
CAR,TE,0.6037751671257
SF,TE,0.5597498945227843
BUF,TE,0.4712800610064492
NE,TE,0.45450852858629087
ATL,WR,1.2734519381221308
TB,WR,1.2628165153422097
NYG,WR,1.2365078379392467
WAS,WR,1.2325895242834866
PHI,WR,1.2292309697214063
HOU,WR,1.1766136149154809
NO,WR,1.1363109601705168
LV,WR,1.110562041861234
MIA,WR,1.0950287270116124
BAL,WR,1.0758569780530705
NYJ,WR,1.0600437836566088
CAR,WR,1.0495483006501078
JAX,WR,1.033875046027066
PIT,WR,1.0057751395243273
SEA,WR,1.0042078140620232
LA,WR,0.9952516685631423
MIN,WR,0.9885345594389815
ARI,WR,0.9879748003453014
DET,WR,0.9844763060098012
IND,WR,0.9644649184107391
TEN,WR,0.9437538319445768
LAC,WR,0.9224829863847347
CLE,WR,0.9090487681364134
GB,WR,0.9000926226375325
KC,WR,0.8827400907334506
SF,WR,0.8802211748118904
CHI,WR,0.8508338223936873
BUF,WR,0.8228458677096845
CIN,WR,0.8213904940661164
NE,WR,0.7316051354398351
DAL,WR,0.7271270626903946
DEN,WR,0.7047366989431924
