player_id,player_name,team,hist_team,position,salary,games_played,_no_usage_history,rush_mu,recv_mu,pass_mu,rush_price_share,recv_price_share,volume_prior_weight,absent_player_factor
00-0035685,David Montgomery,HOU,DET,RB,6000,17,False,14.437954527714844,1.7936265066517103,0.0,0.3020244881249859,0.060790773554421085,0.0,1.0
00-0037240,Jameson Williams,DET,DET,WR,6000,17,False,0.12223284723942529,7.127097929021859,0.0,0.004451763662328925,0.13964896622368989,0.0,1.0
00-0034855,Baker Mayfield,TB,TB,QB,5900,17,False,3.1481555901132583,0.0,34.71196355,0.06290121297926132,0.0,0.0,1.0
00-0036973,Travis Etienne Jr.,NO,JAX,RB,5900,17,False,31.823347545831698,2.8979834433789504,0.0,0.23741425297784072,0.054486580136752207,0.0,1.0
00-0038124,Christian Watson,GB,GB,WR,5900,10,False,0.09264067769240127,6.60036513083348,0.0,0.004201400371294868,0.13586740779936585,0.0,1.0
00-0039915,Ladd McConkey,LAC,LAC,WR,5900,16,False,0.0,6.46519807312355,0.0,0.003906996892291537,0.1485316239868963,0.0,1.0
00-0036971,Trevor Lawrence,JAX,JAX,QB,5800,17,False,7.5274754930667775,0.0,33.07733183,0.06742793241290872,0.0,0.0,1.0
00-0040719,Bhayshul Tuten,JAX,JAX,RB,5800,15,False,11.330880996301545,0.5145636932113931,0.0,0.29015149511071264,0.07398811412162004,0.0,1.0
00-0038994,Jordan Addison,MIN,MIN,WR,5800,14,False,0.18854939327768494,4.4841679465065125,0.0,0.00442459700740695,0.14772162878023115,0.0,1.0
00-0037740,Garrett Wilson,NYJ,NYJ,WR,5800,7,False,0.0,6.664147803303317,0.0,0.004643623838678666,0.1771966022401055,0.0,1.0
00-0036264,Jordan Love,GB,GB,QB,5700,15,False,3.2031020403800334,0.0,31.055773899999995,0.06303485643337661,0.0,0.0,1.0
00-0039361,Bucky Irving,TB,TB,RB,5700,10,False,16.068052587488108,3.9281798618777626,0.0,0.2656367190834432,0.06549013681990698,0.0,1.0
00-0035659,Terry McLaurin,WAS,WAS,WR,5700,10,False,0.0,7.896071461105921,0.0,0.0032915086469420254,0.10458249367608026,0.0,1.0
00-0037664,Alec Pierce,IND,IND,WR,5700,15,False,0.0,7.011455406272114,0.0,0.004444415940709053,0.12218283433776406,0.0,1.0
00-0040743,Tyler Shough,NO,NO,QB,5600,11,False,7.977058764102955,0.0,35.78104188,0.05416469231325177,0.0,0.0,1.0
00-0035261,Tony Pollard,TEN,TEN,RB,5600,17,False,17.02233101025962,2.85959301539176,0.0,0.2680668501831993,0.05720287409735693,0.0,1.0
00-0034827,DJ Moore,BUF,CHI,WR,5600,17,False,0.15838630399213835,7.028157704800458,0.0,0.004963971780724382,0.127631736878467,0.0,1.0
00-0038606,Parker Washington,JAX,JAX,WR,5600,16,False,0.41293298091477937,9.286721743272055,0.0,0.004364836934658469,0.16158905617315988,0.0,1.0
00-0035228,Kyler Murray,MIN,ARI,QB,5500,5,False,3.7551918457131364,0.0,31.7624809,0.06681026027425185,0.0,0.0,1.0
00-0040784,Quinshon Judkins,CLE,CLE,RB,5500,14,False,10.457886039190239,3.7511454903401877,0.0,0.2994964003739849,0.05871512226031181,0.0,1.0
00-0036555,Chuba Hubbard,CAR,CAR,RB,5500,15,False,9.554844610487867,2.4079724831229266,0.0,0.2801890681749602,0.053657581988551126,0.0,1.0
00-0039893,Brian Thomas Jr.,JAX,JAX,WR,5500,14,False,0.1982078308390941,6.24553141407069,0.0,0.004314503825020922,0.1594855543150601,0.0,1.0
00-0040735,Luther Burden III,CHI,CHI,WR,5500,15,False,0.43522611769690694,5.273639626574897,0.0,0.004041757309620763,0.14929044326280877,0.0,1.0
