slate,arm1_pts,arm1_rank,arm1_pct,arm1_cash,armB_pts,armB_rank,armB_pct,armB_cash,armCreal_pts,armCreal_rank,armCreal_pct,armCreal_cash,armCest_pts,armCest_rank,armCest_pct,armCest_cash
wk1_main,119.94,12403,0.21655085281111808,False,167.54,2913,0.8160454832596336,True,185.64,1078,0.9319646241313961,True,167.54,2913,0.8160454832596336,True
wk1_early,119.94,4726,0.14355628058727565,False,168.84,1459,0.7357259380097879,False,200.44,217,0.9608482871125612,True,168.84,1459,0.7357259380097879,False
wk1_afternoon,117.06,2486,0.4751847940865892,False,126.26,1755,0.6295670538542766,False,100.46,3771,0.2038014783526927,False,126.26,1755,0.6295670538542766,False
wk2_main,119.28,6541,0.587069074378078,False,121.28,6120,0.6136507134739235,False,98.78,11223,0.2914509407753504,False,121.28,6120,0.6136507134739235,False
wk2_early,96.82,2741,0.42157483639434246,False,98.9,2564,0.45894025754697065,False,93.6,3029,0.3607768629934558,False,98.9,2564,0.45894025754697065,False
wk2_afternoon,115.78,3032,0.3594674556213018,False,124.48,2278,0.5188081149619611,False,124.48,2278,0.5188081149619611,False,124.48,2278,0.5188081149619611,False
