slate,n_pivots,anchor_cash,anchor_pct,anchor_worst25,anchor_total_own,best_cash,best_pct,best_worst25,best_is_anchor,best_total_own,runtime_s,arm1_cash,arm1_pct
wk1_main,7,True,0.8208464939987365,0.81375,108.72159683708699,True,0.8208464939987365,0.81375,True,108.72159683708699,89,False,0.21655085281111808
wk1_early,18,False,0.30813848105854635,0.75625,163.6226109839548,False,0.30813848105854635,0.75625,True,163.6226109839548,73,False,0.14355628058727565
wk1_afternoon,18,False,0.6673706441393875,0.66375,254.99856009742015,False,0.6673706441393875,0.66375,True,254.99856009742015,16,False,0.4751847940865892
wk2_main,12,False,0.637012249021341,0.75625,80.16434498184857,False,0.637012249021341,0.75625,True,80.16434498184857,48,False,0.587069074378078
wk2_early,8,False,0.35085497150095,0.735,118.65825262375509,False,0.35085497150095,0.735,True,118.65825262375509,20,False,0.42157483639434246
wk2_afternoon,19,True,0.8738377007607777,0.59375,172.91598088390586,True,0.8738377007607777,0.59375,True,172.91598088390586,19,False,0.3594674556213018
