slate,n_pool,n_real_stack,n_validated,runtime_s,avg_top10_cash,avg_top10_pct,avg_top10_avg_top10,avg_top10_worst_top10,avg_top10_avg_top25,avg_top10_worst_top25,avg_top10_raw_proj,avg_top10_same_lineup_as_avg_top10,raw_proj_cash,raw_proj_pct,raw_proj_avg_top10,raw_proj_worst_top10,raw_proj_avg_top25,raw_proj_worst_top25,raw_proj_raw_proj,raw_proj_same_lineup_as_avg_top10,worst_top10_cash,worst_top10_pct,worst_top10_avg_top10,worst_top10_worst_top10,worst_top10_avg_top25,worst_top10_worst_top25,worst_top10_raw_proj,worst_top10_same_lineup_as_avg_top10,avg_top25_cash,avg_top25_pct,avg_top25_avg_top10,avg_top25_worst_top10,avg_top25_avg_top25,avg_top25_worst_top25,avg_top25_raw_proj,avg_top25_same_lineup_as_avg_top10,worst_top25_cash,worst_top25_pct,worst_top25_avg_top10,worst_top25_worst_top10,worst_top25_avg_top25,worst_top25_worst_top25,worst_top25_raw_proj,worst_top25_same_lineup_as_avg_top10,raw_proj_realstack_cash,raw_proj_realstack_pct,raw_proj_realstack_avg_top10,raw_proj_realstack_worst_top10,raw_proj_realstack_avg_top25,raw_proj_realstack_worst_top25,raw_proj_realstack_raw_proj,raw_proj_realstack_same_lineup_as_avg_top10,avg_top25_realstack_cash,avg_top25_realstack_pct,avg_top25_realstack_avg_top10,avg_top25_realstack_worst_top10,avg_top25_realstack_avg_top25,avg_top25_realstack_worst_top25,avg_top25_realstack_raw_proj,avg_top25_realstack_same_lineup_as_avg_top10,worst_top25_realstack_cash,worst_top25_realstack_pct,worst_top25_realstack_avg_top10,worst_top25_realstack_worst_top10,worst_top25_realstack_avg_top25,worst_top25_realstack_worst_top25,worst_top25_realstack_raw_proj,worst_top25_realstack_same_lineup_as_avg_top10,raw_proj_validated_cash,raw_proj_validated_pct,raw_proj_validated_avg_top10,raw_proj_validated_worst_top10,raw_proj_validated_avg_top25,raw_proj_validated_worst_top25,raw_proj_validated_raw_proj,raw_proj_validated_same_lineup_as_avg_top10,avg_top25_validated_cash,avg_top25_validated_pct,avg_top25_validated_avg_top10,avg_top25_validated_worst_top10,avg_top25_validated_avg_top25,avg_top25_validated_worst_top25,avg_top25_validated_raw_proj,avg_top25_validated_same_lineup_as_avg_top10,worst_top25_validated_cash,worst_top25_validated_pct,worst_top25_validated_avg_top10,worst_top25_validated_worst_top10,worst_top25_validated_avg_top25,worst_top25_validated_worst_top25,worst_top25_validated_raw_proj,worst_top25_validated_same_lineup_as_avg_top10,floor_sum_cash,floor_sum_pct,floor_sum_avg_top10,floor_sum_worst_top10,floor_sum_avg_top25,floor_sum_worst_top25,floor_sum_raw_proj,floor_sum_same_lineup_as_avg_top10,floor_sum_validated_cash,floor_sum_validated_pct,floor_sum_validated_avg_top10,floor_sum_validated_worst_top10,floor_sum_validated_avg_top25,floor_sum_validated_worst_top25,floor_sum_validated_raw_proj,floor_sum_validated_same_lineup_as_avg_top10,worst_top25_stackonly_cash,worst_top25_stackonly_pct,worst_top25_stackonly_avg_top10,worst_top25_stackonly_worst_top10,worst_top25_stackonly_avg_top25,worst_top25_stackonly_worst_top25,worst_top25_stackonly_raw_proj,worst_top25_stackonly_same_lineup_as_avg_top10,avg_top25_stackonly_cash,avg_top25_stackonly_pct,avg_top25_stackonly_avg_top10,avg_top25_stackonly_worst_top10,avg_top25_stackonly_avg_top25,avg_top25_stackonly_worst_top25,avg_top25_stackonly_raw_proj,avg_top25_stackonly_same_lineup_as_avg_top10,arm1_cash,arm1_pct
wk1_main,130,81,37,122,True,0.8258370183196462,0.5609375000000001,0.545,0.8109375,0.7975,135.71791728030968,True,True,0.8258370183196462,0.5609375000000001,0.545,0.8109375,0.7975,135.71791728030968,True,True,0.8258370183196462,0.5609375000000001,0.545,0.8109375,0.7975,135.71791728030968,True,True,0.8258370183196462,0.5609375000000001,0.545,0.8109375,0.7975,135.71791728030968,True,True,0.8258370183196462,0.5609375000000001,0.545,0.8109375,0.7975,135.71791728030968,True,True,0.9015792798483891,0.49562500000000004,0.48125,0.7571874999999999,0.7375,132.7400874008125,False,True,0.9015792798483891,0.49562500000000004,0.48125,0.7571874999999999,0.7375,132.7400874008125,False,True,0.9015792798483891,0.49562500000000004,0.48125,0.7571874999999999,0.7375,132.7400874008125,False,True,0.8394819962097284,0.47750000000000004,0.4625,0.7053125,0.70125,130.59004128271445,False,True,0.8394819962097284,0.47750000000000004,0.4625,0.7053125,0.70125,130.59004128271445,False,True,0.8394819962097284,0.47750000000000004,0.4625,0.7053125,0.70125,130.59004128271445,False,True,0.8258370183196462,0.5609375000000001,0.545,0.8109375,0.7975,135.71791728030968,True,True,0.8394819962097284,0.47750000000000004,0.4625,0.7053125,0.70125,130.59004128271445,False,True,0.8394819962097284,0.47750000000000004,0.4625,0.7053125,0.70125,130.59004128271445,False,True,0.8394819962097284,0.47750000000000004,0.4625,0.7053125,0.70125,130.59004128271445,False,False,0.21655085281111808
wk1_early,130,89,38,98,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.6621352184158057,0.4134375,0.3925,0.7503124999999999,0.725,135.59751543321687,False,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.563168388617002,0.48125,0.46,0.7378125,0.7275,137.0913525258303,True,False,0.4069240529273156,0.42093749999999996,0.415,0.6465624999999999,0.63375,133.27741035642964,False,False,0.4069240529273156,0.42093749999999996,0.415,0.6465624999999999,0.63375,133.27741035642964,False,False,0.4069240529273156,0.42093749999999996,0.415,0.6465624999999999,0.63375,133.27741035642964,False,False,0.37973536342214975,0.39718749999999997,0.37875,0.68625,0.6775,133.64057035817797,False,False,0.4069240529273156,0.42093749999999996,0.415,0.6465624999999999,0.63375,133.27741035642964,False,False,0.4069240529273156,0.42093749999999996,0.415,0.6465624999999999,0.63375,133.27741035642964,False,False,0.4069240529273156,0.42093749999999996,0.415,0.6465624999999999,0.63375,133.27741035642964,False,False,0.14355628058727565
wk1_afternoon,114,89,27,34,False,0.3607180570221753,0.44875,0.42,0.67875,0.66125,116.60482538460764,True,False,0.5847940865892292,0.4396875,0.4125,0.7465625,0.705,117.34803077302855,False,False,0.48595564941921854,0.4475,0.44,0.6675,0.66,116.50460985468341,False,False,0.5847940865892292,0.4396875,0.4125,0.7465625,0.705,117.34803077302855,False,True,0.9239704329461458,0.4275,0.42375,0.728125,0.715,116.88233832437632,False,False,0.5913410770855332,0.42562500000000003,0.3975,0.7371875000000001,0.70875,117.0567984379711,False,False,0.5913410770855332,0.42562500000000003,0.3975,0.7371875000000001,0.70875,117.0567984379711,False,True,0.9239704329461458,0.4275,0.42375,0.728125,0.715,116.88233832437632,False,True,0.8,0.345,0.32625,0.580625,0.57,111.11258209757575,False,True,0.8,0.345,0.32625,0.580625,0.57,111.11258209757575,False,True,0.8,0.345,0.32625,0.580625,0.57,111.11258209757575,False,False,0.717001055966209,0.4359375,0.41,0.6409374999999999,0.63,115.43289429858741,False,False,0.40844772967265053,0.275,0.2525,0.44156249999999997,0.41625,103.97886018205647,False,True,0.8,0.345,0.32625,0.580625,0.57,111.11258209757575,False,True,0.8,0.345,0.32625,0.580625,0.57,111.11258209757575,False,False,0.4751847940865892
wk2_main,130,66,29,80,True,0.7654375552468746,0.5090625,0.49625,0.7534375,0.73,113.7660327733529,True,True,0.7654375552468746,0.5090625,0.49625,0.7534375,0.73,113.7660327733529,True,True,0.7654375552468746,0.5090625,0.49625,0.7534375,0.73,113.7660327733529,True,True,0.7654375552468746,0.5090625,0.49625,0.7534375,0.73,113.7660327733529,True,False,0.6175022098749843,0.44937499999999997,0.44375,0.7521875,0.7425,111.52585048463884,False,False,0.6564591488824347,0.47031249999999997,0.44875,0.705625,0.6875,112.4339576821804,False,False,0.6564591488824347,0.47031249999999997,0.44875,0.705625,0.6875,112.4339576821804,False,False,0.6564591488824347,0.47031249999999997,0.44875,0.705625,0.6875,112.4339576821804,False,False,0.5348528854653365,0.3746875,0.365,0.668125,0.65875,107.36037397997954,False,False,0.5348528854653365,0.3746875,0.365,0.668125,0.65875,107.36037397997954,False,False,0.5348528854653365,0.3746875,0.365,0.668125,0.65875,107.36037397997954,False,False,0.5537315317590605,0.474375,0.4625,0.724375,0.6975,111.59815451979713,False,False,0.699078166435156,0.370625,0.35125,0.581875,0.57125,104.84880872905742,False,False,0.5348528854653365,0.3746875,0.365,0.668125,0.65875,107.36037397997954,False,False,0.5348528854653365,0.3746875,0.365,0.668125,0.65875,107.36037397997954,False,False,0.587069074378078
wk2_early,129,81,31,45,False,0.6584336077686299,0.454375,0.45,0.6509375000000001,0.64,108.17110356610279,True,False,0.08486383787207097,0.435,0.4175,0.7365625,0.72125,109.47891133775568,False,False,0.6584336077686299,0.454375,0.45,0.6509375000000001,0.64,108.17110356610279,True,False,0.08486383787207097,0.435,0.4175,0.7365625,0.72125,109.47891133775568,False,False,0.08486383787207097,0.435,0.4175,0.7365625,0.72125,109.47891133775568,False,False,0.6932657800295545,0.449375,0.435,0.6875,0.67125,108.95055003127337,False,False,0.2594469073253114,0.4106250000000001,0.385,0.7059375,0.69,108.03653121871749,False,False,0.2594469073253114,0.4106250000000001,0.385,0.7059375,0.69,108.03653121871749,False,False,0.2976567447751741,0.38093750000000004,0.37,0.599375,0.57125,104.40446165279288,False,False,0.2976567447751741,0.38093750000000004,0.37,0.599375,0.57125,104.40446165279288,False,False,0.2976567447751741,0.38093750000000004,0.37,0.599375,0.57125,104.40446165279288,False,True,0.846527337977623,0.4453125,0.425,0.7109375,0.69375,108.46808464200925,False,False,0.20075997466751105,0.2909375,0.275,0.5053125,0.4925,99.40864672598607,False,True,0.7798184504960946,0.42718750000000005,0.4125,0.6240625,0.61125,106.30133376557941,False,True,0.7798184504960946,0.42718750000000005,0.4125,0.6240625,0.61125,106.30133376557941,False,False,0.42157483639434246
wk2_afternoon,129,87,37,40,False,0.28930684699915465,0.38656250000000003,0.35875,0.5753125,0.565,104.8751063329546,True,True,0.8738377007607777,0.366875,0.35375,0.605,0.595,106.25357795020237,False,False,0.28930684699915465,0.38656250000000003,0.35875,0.5753125,0.565,104.8751063329546,True,True,0.9773879966187659,0.289375,0.275,0.6071875,0.58625,105.38654425769462,False,True,0.8738377007607777,0.366875,0.35375,0.605,0.595,106.25357795020237,False,True,0.915257819103973,0.30062500000000003,0.2775,0.588125,0.5775,105.27651167184251,False,True,0.915257819103973,0.30062500000000003,0.2775,0.588125,0.5775,105.27651167184251,False,True,0.915257819103973,0.30062500000000003,0.2775,0.588125,0.5775,105.27651167184251,False,True,0.8907438715131023,0.2890625,0.265,0.52,0.50125,101.47482557967152,False,True,0.8907438715131023,0.2890625,0.265,0.52,0.50125,101.47482557967152,False,True,0.8907438715131023,0.2890625,0.265,0.52,0.50125,101.47482557967152,False,True,0.9019442096365173,0.2959375,0.2875,0.55,0.535,104.12547845345159,False,False,0.18554522400676243,0.31999999999999995,0.305,0.49375,0.4875,100.54988051046696,False,True,0.8907438715131023,0.2890625,0.265,0.52,0.50125,101.47482557967152,False,True,0.8907438715131023,0.2890625,0.265,0.52,0.50125,101.47482557967152,False,False,0.3594674556213018
