slate,rank,pts,pct,cash,stack,bb,split,dst_own,dst_opp_total,dst_sal,own_sum,n_low,n_chalk,sal,flex_pos,entry,mine,stack_bin,bb_bin,dst_tier,dst_opp_tier,own_q,sal_bin
wk1_main,20,228.49998,0.9987997473152243,True,1,0,2-4,2.71,22.0,2800,85.98,2,1,50000,RB,wauktownsfinest,False,1,0,<5%,high O/U,Q1 low,>49.9k
wk1_main,21,228.4,0.9987365761212887,True,2,2,3-3,18.06,15.69,3400,166.84,0,3,50000,RB,Gronkowski69,False,2,2,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,22,227.29999,0.9986734049273531,True,2,2,3-3,5.82,18.69,2900,150.09,1,3,49900,RB,sloth152,False,2,2,5-12%,low O/U,Q4 chalk,49.6-49.9k
wk1_main,23,226.43999,0.9986102337334175,True,2,1,3-3,11.05,17.17,3300,116.15,1,1,50000,WR,skizums,False,2,1,5-12%,low O/U,Q3,>49.9k
wk1_main,24,225.9,0.998547062539482,True,2,2,3-3,11.05,17.17,3300,159.8,0,3,50000,TE,bucmarley,False,2,2,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,25,225.54001,0.9984838913455464,True,2,1,3-3,4.96,19.14,3200,115.67,3,2,50000,WR,Asaar,False,2,1,<5%,mid,Q3,>49.9k
wk1_main,26,225.5,0.9984207201516109,True,1,1,2-4,5.82,18.69,2900,111.03999999999999,2,2,50000,RB,iambillgates000,False,1,1,5-12%,low O/U,Q3,>49.9k
wk1_main,27,225.40001,0.9983575489576753,True,1,1,2-4,18.06,15.69,3400,143.82,1,3,50000,RB,Kjean30,False,1,1,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,28,225.36,0.9982943777637397,True,1,0,2-4,11.05,17.17,3300,81.94,1,0,49500,WR,jinxx8,False,1,0,5-12%,low O/U,Q1 low,49-49.6k
wk1_main,29,224.76,0.9982312065698041,True,0,1,1-5,1.37,23.61,2600,70.05,4,1,50000,TE,gwdavis52,False,0,1,<5%,high O/U,Q1 low,>49.9k
wk1_main,30,224.70001,0.9981680353758686,True,2,1,3-3,1.6,28.19,2000,125.16,1,2,50000,RB,Johnhall10,False,2,1,<5%,high O/U,Q3,>49.9k
wk1_main,31,224.56001,0.998104864181933,True,2,0,3-3,11.05,17.17,3300,56.28,3,0,50000,RB,jnorox,False,2,0,5-12%,low O/U,Q1 low,>49.9k
wk1_main,31,224.56,0.998104864181933,True,0,1,1-5,11.05,17.17,3300,65.03,4,0,50000,WR,Ludakart,False,0,1,5-12%,low O/U,Q1 low,>49.9k
wk1_main,33,224.53998,0.9979785217940619,True,1,0,2-4,18.06,15.69,3400,157.2,1,3,49600,RB,Giantgator1,False,1,0,12-25%,low O/U,Q4 chalk,49-49.6k
wk1_main,34,224.0,0.9979153506001264,True,2,2,3-3,7.73,24.42,2100,127.44,0,1,50000,RB,swtsu1,False,2,2,5-12%,high O/U,Q3,>49.9k
wk1_main,35,223.36,0.9978521794061908,True,2,0,3-3,15.21,20.06,2500,69.02,3,0,50000,RB,Fantasy_Savant22,False,2,0,12-25%,mid,Q1 low,>49.9k
wk1_main,36,223.34,0.9977890082122552,True,1,1,2-4,18.06,15.69,3400,101.67,2,1,49900,RB,jordan19709,False,1,1,12-25%,low O/U,Q2,49.6-49.9k
wk1_main,37,223.1,0.9977258370183196,True,1,2,2-4,18.06,15.69,3400,139.19,0,2,50000,TE,QBKillaz,False,1,2,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,38,222.34,0.9976626658243841,True,1,0,2-4,4.54,22.81,2900,115.43,2,2,50000,RB,emptypoker,False,1,0,<5%,high O/U,Q3,>49.9k
wk1_main,39,221.9,0.9975994946304485,True,2,1,3-3,18.06,15.69,3400,169.04,0,3,48500,TE,MattH4cker,False,2,1,12-25%,low O/U,Q4 chalk,<49k
wk1_main,40,221.45999,0.997536323436513,True,0,0,2-4,1.0,23.39,2700,140.48,2,4,49900,RB,dougmatt,False,0,0,<5%,high O/U,Q4 chalk,49.6-49.9k
wk1_main,41,221.16,0.9974731522425774,True,1,1,2-4,11.05,17.17,3300,96.63,1,1,50000,WR,Sageman2,False,1,1,5-12%,low O/U,Q2,>49.9k
wk1_main,42,221.12001,0.9974099810486419,True,1,0,2-4,15.21,20.06,2500,147.38,0,3,50000,RB,wiggijp,False,1,0,12-25%,mid,Q4 chalk,>49.9k
wk1_main,43,220.76,0.9973468098547063,True,2,0,3-3,1.66,22.61,3000,128.93,1,3,49900,RB,Mark730,False,2,0,<5%,high O/U,Q3,49.6-49.9k
wk1_main,44,220.52,0.9972836386607707,True,1,0,2-4,11.05,17.17,3300,98.75999999999999,2,1,49700,RB,SCOLERIBRO,False,1,0,5-12%,low O/U,Q2,49.6-49.9k
wk1_main,45,220.34,0.9972204674668351,True,2,1,3-3,18.06,15.69,3400,126.24,2,2,50000,RB,dtw27,False,2,1,12-25%,low O/U,Q3,>49.9k
wk1_main,46,220.22,0.9971572962728995,True,2,0,3-3,18.06,15.69,3400,153.32999999999998,0,3,49500,TE,fantasydoc,False,2,0,12-25%,low O/U,Q4 chalk,49-49.6k
wk1_main,47,220.19998,0.997094125078964,True,3,2,4-2,5.82,18.69,2900,142.39,0,2,50000,WR,Feetch,False,3,2,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,48,219.84,0.9970309538850284,True,2,1,3-3,18.06,15.69,3400,129.4,0,1,49800,WR,trublu979,False,2,1,12-25%,low O/U,Q3,49.6-49.9k
wk1_main,48,219.84,0.9970309538850284,True,1,1,2-4,18.06,15.69,3400,125.9,0,2,49900,WR,spurs1978,False,1,1,12-25%,low O/U,Q3,49.6-49.9k
wk1_main,50,219.8,0.9969046114971573,True,2,1,3-3,15.21,20.06,2500,144.53,0,2,50000,RB,Stangs1987,False,2,1,12-25%,mid,Q4 chalk,>49.9k
wk1_main,50,219.8,0.9969046114971573,True,2,1,3-3,18.06,15.69,3400,110.98,1,1,49900,RB,GenoHawkey,False,2,1,12-25%,low O/U,Q3,49.6-49.9k
wk1_main,52,218.76,0.9967782691092861,True,1,0,2-4,1.0,23.39,2700,105.29,2,2,49800,WR,m4ch1n3m4n,False,1,0,<5%,high O/U,Q2,49.6-49.9k
wk1_main,53,218.73999,0.9967150979153506,True,2,1,3-3,1.6,28.19,2000,143.22,1,3,49900,WR,equirarte35,False,2,1,<5%,high O/U,Q4 chalk,49.6-49.9k
wk1_main,54,218.59999,0.996651926721415,True,2,2,3-3,15.21,20.06,2500,112.11,0,1,49900,WR,CT_Legacy,False,2,2,12-25%,mid,Q3,49.6-49.9k
wk1_main,55,218.49998,0.9965887555274795,True,3,2,4-2,7.73,24.42,2100,146.88,0,2,49700,WR,talwar,False,3,2,5-12%,high O/U,Q4 chalk,49.6-49.9k
wk1_main,56,218.26,0.9965255843335439,True,1,0,2-4,18.06,15.69,3400,164.22,0,3,49900,RB,jcantone90,False,1,0,12-25%,low O/U,Q4 chalk,49.6-49.9k
wk1_main,57,218.2,0.9964624131396084,True,1,0,2-4,1.6,28.19,2000,77.86999999999999,4,1,50000,RB,flashbelanger,False,1,0,<5%,high O/U,Q1 low,>49.9k
wk1_main,58,218.09999,0.9963992419456728,True,1,1,2-4,11.05,17.17,3300,129.48,1,2,50000,RB,nbrplaytime,False,1,1,5-12%,low O/U,Q3,>49.9k
wk1_main,58,218.09999,0.9963992419456728,True,2,1,3-3,15.21,20.06,2500,152.32,0,2,50000,RB,atguzm,False,2,1,12-25%,mid,Q4 chalk,>49.9k
wk1_main,60,218.06,0.9962728995578016,True,1,1,2-4,11.05,17.17,3300,100.41,1,2,50000,WR,lilpal331,False,1,1,5-12%,low O/U,Q2,>49.9k
wk1_main,61,218.0,0.9962097283638661,True,2,1,3-3,5.82,18.69,2900,113.06,2,2,50000,RB,haroldarant,False,2,1,5-12%,low O/U,Q3,>49.9k
wk1_main,62,217.95998,0.9961465571699305,True,1,1,3-3,1.0,23.39,2700,116.02,4,2,49300,WR,NatePrice0617,False,1,1,<5%,high O/U,Q3,49-49.6k
wk1_main,63,217.7,0.996083385975995,True,1,0,2-4,11.05,17.17,3300,107.75,2,2,50000,WR,Scully027,False,1,0,5-12%,low O/U,Q2,>49.9k
wk1_main,64,217.46,0.9960202147820594,True,1,2,2-4,15.21,20.06,2500,117.52,2,2,50000,RB,BlueDevil3331,False,1,2,12-25%,mid,Q3,>49.9k
wk1_main,65,217.4,0.9959570435881239,True,0,0,2-4,11.05,17.17,3300,108.97,2,2,50000,WR,jdobry5122,False,0,0,5-12%,low O/U,Q2,>49.9k
wk1_main,65,217.4,0.9959570435881239,True,2,1,3-3,1.0,23.39,2700,132.5,1,2,49900,RB,cmerullo248,False,2,1,<5%,high O/U,Q3,49.6-49.9k
wk1_main,67,217.29999,0.9958307012002526,True,1,2,2-4,15.21,20.06,2500,145.41,1,3,50000,RB,TheMayorPerf,False,1,2,12-25%,mid,Q4 chalk,>49.9k
wk1_main,68,217.26,0.9957675300063171,True,1,0,2-4,4.96,19.14,3200,79.38,2,0,50000,RB,zoedeezy86,False,1,0,<5%,mid,Q1 low,>49.9k
wk1_main,69,217.14,0.9957043588123815,True,1,2,2-4,1.66,22.61,3000,106.64,1,2,49900,RB,smurf61,False,1,2,<5%,high O/U,Q2,49.6-49.9k
wk1_main,70,217.1,0.995641187618446,True,1,1,2-4,18.06,15.69,3400,124.59,3,2,49500,WR,jhawker628,False,1,1,12-25%,low O/U,Q3,49-49.6k
wk1_main,71,216.76,0.9955780164245104,True,1,1,2-4,4.96,19.14,3200,70.32000000000001,3,0,49900,RB,Mezqal,False,1,1,<5%,mid,Q1 low,49.6-49.9k
wk1_main,72,216.59999,0.9955148452305749,True,2,1,3-3,15.21,20.06,2500,148.53,0,2,49800,RB,JordanUTD,False,2,1,12-25%,mid,Q4 chalk,49.6-49.9k
wk1_main,72,216.59999,0.9955148452305749,True,1,2,2-4,18.06,15.69,3400,167.44,0,3,50000,TE,greenmean7,False,1,2,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,72,216.59999,0.9955148452305749,True,2,1,3-3,0.7,25.03,2300,121.53,3,2,50000,WR,onewarriorpoet,False,2,1,<5%,high O/U,Q3,>49.9k
wk1_main,75,216.54,0.9953253316487681,True,1,1,2-4,5.82,18.69,2900,90.39,2,1,50000,RB,nitsua,False,1,1,5-12%,low O/U,Q2,>49.9k
wk1_main,76,216.49998,0.9952621604548326,True,0,0,2-4,18.06,15.69,3400,119.39,2,1,49900,TE,teereezy,False,0,0,12-25%,low O/U,Q3,49.6-49.9k
