player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0038619,Andrei Iosivas,WR,CIN,3000,44220820,3.9461,3.9461,1.0,1.0345766709249928,4.082541923379774,PIT,23.03,42.5,2.0,1.0,5.2655,statline_mc+recal_10_4b,1.4948473112472982,8.16053451332011,0.0,0.0,0.0,0.02275,0.13797902618141614,0.001,1.5285,0.94825,11.901467095143346,0.068,2.587694612132476,1.4948473112472982,2.5,,55.74497311199438,0.32820722913914674,1.2546301446252153,,classic,True
00-0040237,Tez Johnson,WR,TB,3000,44221066,4.4056,4.4056,1.0,0.9236168629708141,4.06912137386324,MIN,20.56,42.5,2.0,1.0,6.0139,statline_mc+recal_10_4b,0.03163731089690485,9.60530428167677,0.0,0.0,0.0,0.3075,1.6586765525614582,0.00975,2.433,1.3455,17.81409318236413,0.10975,4.082276973492559,-0.013155599629318893,2.8,,49.96011407405584,0.31000489616966703,0.8927532946268616,,classic,True
00-0039364,Sione Vaki,RB,DET,4300,44220398,3.324,3.324,1.0,1.2142686676119216,4.0362703511359275,NYJ,27.03,47.5,2.0,1.0,5.8411,statline_mc+recal_10_4b,0.5333037033011487,9.071641596551121,0.0,0.0,0.0,2.333,12.31796779149273,0.07475,1.14225,0.8725,8.485274246652418,0.044,3.7028242038145156,0.33344614732141187,2.9,,64.79441067207026,0.33781258310473233,1.610362704209893,,classic,True
00-0040078,Brashard Smith,RB,KC,4000,44220566,3.0686,3.0686,1.0,1.291536226187301,3.963217546319195,MIA,28.75,46.11,1.0,0.5,5.1305,statline_mc+recal_10_4b,1.761430020586309,8.180840555097936,0.0,0.0,0.0,1.562,8.495983101928758,0.0615,0.567,0.43,4.286892155400103,0.02,2.201787525732886,1.761430020586309,0.0,,45.16787166994457,0.1954473235042943,0.2704220526087808,,classic,True
00-0040736,Mason Taylor,TE,NYJ,2500,44221186,4.2772,4.2772,1.0,0.9195737930453582,3.933180197411016,DET,20.47,47.5,1.0,0.5,4.563,statline_mc+recal_10_4b,1.7480800877382294,7.649523918168899,0.0,0.0,0.0,0.0,0.0,0.0,1.36725,0.9125,8.293501096727871,0.07325,2.1851001096727867,1.7480800877382294,0.9,,40.838159465914025,0.191420792747648,0.3234246875224852,,classic,True
00-0038558,Darnell Washington,TE,PIT,2800,44221166,4.4903,4.4903,1.0,0.874650793873626,3.927409375300353,CIN,19.47,42.5,2.0,1.0,4.8836,statline_mc+recal_10_4b,1.0235689128517644,8.5090563845494,0.0,0.0,0.0,0.0,0.0,0.0,1.801,1.207,11.365904624485884,0.091,2.9038404624485885,1.0235689128517644,2.8,,54.3922781878709,0.2638069863113283,0.7178548450515925,,classic,True
00-0032104,Ameer Abdullah,RB,JAX,4000,44220606,3.5832,3.5832,1.0,1.0857888899807675,3.890552667422982,NE,24.17,45.39,2.0,1.0,5.9064,statline_mc+recal_10_4b,0.21571067798500893,9.640101433338545,0.0,0.0,0.0,3.06425,15.407952816278579,0.089,1.15625,0.89575,7.472915748649495,0.037,3.9745868564928073,-0.08403418906982552,3.3,,61.394004410274746,0.3238500765205175,1.1821461926261558,,classic,True
00-0037157,Bam Knight,RB,ARI,4000,44220454,4.3416,4.3416,1.0,0.8809400137576686,3.8246463681244776,SF,19.61,47.83,1.0,0.8422166915581784,4.8834,statline_mc+recal_10_4b,1.727521571279313,7.508426234969653,0.0,0.0,0.0,2.17675,8.871440496113046,0.054,0.64675,0.48975,3.42409488235627,0.01425,2.124803537846932,1.6998428302775457,1.2,,48.046121940863,0.22127997261665264,0.3513008616048624,,classic,True
00-0040075,LaJohntay Wester,WR,BAL,3000,44220806,3.0319,3.0319,1.0,1.2564962868333498,3.809623667115415,DAL,27.97,52.56,2.0,1.0,6.2879,statline_mc+recal_10_4b,0.0,9.742707391907926,0.0,0.0,0.0,0.0205,0.16398809803295486,0.0005,2.00225,1.2505,20.514695821076092,0.114,4.1013683919109045,-0.2917447247954894,3.0,,69.19580559418186,0.40452003815632376,2.767837318473021,,classic,True
00-0040177,Jordan James,RB,SF,4000,44220446,2.9765,2.9765,1.0,1.267727036626283,3.7734271022697112,ARI,28.22,47.83,1.0,0.5,5.5238,statline_mc+recal_10_4b,0.9322288893828348,8.678954151869101,0.0,0.0,0.0,2.498,13.275210173724146,0.097,0.56975,0.42825,4.425102181450618,0.02,2.9215312355174765,0.8518958667522347,1.5,,45.1487462006079,0.21157566382111387,0.26995228396328597,,classic,True
