site,season,week,slate_id,slate_type,player_id,player_name,position,roster_role,slate_format,final_projection,actual_fpts,error,abs_error,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039915,Ladd McConkey,WR,,classic,6.672118075465703,19.2,12.527881924534295,12.527881924534295,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039040,De'Von Achane,RB,,classic,9.378043205433666,10.6,1.2219567945663332,1.2219567945663332,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036040,Juwan Johnson,TE,,classic,6.946276996840371,14.4,7.453723003159629,7.453723003159629,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040124,Tetairoa McMillan,WR,,classic,9.770910430528147,11.5,1.7290895694718529,1.7290895694718529,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036355,Justin Herbert,QB,,classic,20.68664733412292,14.26,-6.42664733412292,6.42664733412292,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036442,Joe Burrow,QB,,classic,17.99742322037352,15.16,-2.83742322037352,2.83742322037352,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040743,Tyler Shough,QB,,classic,13.901920181910196,29.2,15.298079818089803,15.298079818089803,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_PIT,Steelers,DST,,classic,9.168019785,18.0,8.831980215,8.831980215,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038544,Quentin Johnston,WR,,classic,6.237687786363486,3.7,-2.537687786363485,2.537687786363485,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039361,Bucky Irving,RB,,classic,12.90978135476013,21.3,8.390218645239871,8.390218645239871,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038542,Bijan Robinson,RB,,classic,14.18002880890675,31.3,17.11997119109325,17.11997119109325,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036322,Justin Jefferson,WR,,classic,10.818186532904289,31.2,20.38181346709571,20.38181346709571,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036912,DeVonta Smith,WR,,classic,10.9029221361297,8.3,-2.602922136129699,2.602922136129699,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040126,Colston Loveland,TE,,classic,13.716020564975423,0.0,-13.716020564975423,13.716020564975423,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0033921,Chris Godwin Jr.,WR,,classic,6.332676568387415,8.3,1.967323431612586,1.967323431612586,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040735,Luther Burden III,WR,,classic,7.385647826057469,10.5,3.114352173942531,3.114352173942531,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
