Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Cam Newton,QB,CAR,6700,1378,QB,CAR@NO,17.603636363636365,rotoguru_gid,Cam Newton,dk,6700,cam newton,CAR,QB,00-0027939,auto_exact,high
Matt Ryan,QB,ATL,7000,1301,QB,ATL@GB,19.023333333333333,rotoguru_gid,Matt Ryan,dk,7000,matt ryan,ATL,QB,00-0026143,auto_exact,high
Ben Roethlisberger,QB,PIT,8200,1232,QB,PIT@CIN,22.058333333333334,rotoguru_gid,Ben Roethlisberger,dk,8200,ben roethlisberger,PIT,QB,00-0022924,auto_exact,high
Aaron Rodgers,QB,GB,9800,1252,QB,GB@ATL,25.25,rotoguru_gid,Aaron Rodgers,dk,9800,aaron rodgers,GB,QB,00-0023459,auto_exact,high
Jay Cutler,QB,CHI,7200,1263,QB,CHI@DAL,19.516666666666666,rotoguru_gid,Jay Cutler,dk,7200,jay cutler,CHI,QB,00-0024226,auto_exact,high
Andy Dalton,QB,CIN,6000,1403,QB,CIN@PIT,15.621666666666668,rotoguru_gid,Andy Dalton,dk,6000,andy dalton,CIN,QB,00-0027973,auto_exact,high
Russell Wilson,QB,SEA,7700,1412,QB,SEA@PHI,21.686666666666667,rotoguru_gid,Russell Wilson,dk,7700,russell wilson,SEA,QB,00-0029263,auto_exact,high
Matthew Stafford,QB,DET,7900,1340,QB,DET@TB,17.51,rotoguru_gid,Matthew Stafford,dk,7900,matthew stafford,DET,QB,00-0026498,auto_exact,high
Andrew Luck,QB,IND,9700,1409,QB,IND@CLE,28.561666666666667,rotoguru_gid,Andrew Luck,dk,9700,andrew luck,IND,QB,00-0029668,auto_exact,high
Joe Flacco,QB,BAL,6600,1302,QB,BAL@MIA,17.796666666666667,rotoguru_gid,Joe Flacco,dk,6600,joe flacco,BAL,QB,00-0026158,auto_exact,high
Kyle Orton,QB,BUF,5600,1250,QB,BUF@DEN,16.5,rotoguru_gid,Kyle Orton,dk,5600,kyle orton,BUF,QB,00-0023541,auto_exact,high
Tom Brady,QB,NE,8500,1131,QB,NE@SDG,20.50166666666667,rotoguru_gid,Tom Brady,dk,8500,tom brady,NE,QB,00-0019596,auto_exact,high
Teddy Bridgewater,QB,MIN,5500,1439,QB,MIN@NYJ,13.908888888888889,rotoguru_gid,Teddy Bridgewater,dk,5500,teddy bridgewater,MIN,QB,00-0031237,auto_exact,high
Derek Carr,QB,LV,5000,1441,QB,LV@SF,12.565,rotoguru_gid,Derek Carr,dk,5000,derek carr,LV,QB,00-0031280,auto_exact,high
Tony Romo,QB,DAL,7500,1233,QB,DAL@CHI,17.574545454545454,rotoguru_gid,Tony Romo,dk,7500,tony romo,DAL,QB,00-0021678,auto_exact,high
Alex Smith,QB,KC,5700,1254,QB,KC@ARI,14.838333333333331,rotoguru_gid,Alex Smith,dk,5700,alex smith,KC,QB,00-0023436,auto_exact,high
Drew Stanton,QB,ARI,5200,1290,QB,ARI@KC,11.545714285714286,rotoguru_gid,Drew Stanton,dk,5200,drew stanton,ARI,QB,00-0025430,auto_exact,high
Geno Smith,QB,NYJ,5200,1426,QB,NYJ@MIN,10.116,rotoguru_gid,Geno Smith,dk,5200,geno smith,NYJ,QB,00-0030565,auto_exact,high
Shaun Hill,QB,LA,5500,1213,QB,LA@WAS,9.256,rotoguru_gid,Shaun Hill,dk,5500,shaun hill,LA,QB,00-0020679,auto_exact,high
Josh McCown,QB,TB,5500,1175,QB,TB@DET,15.257142857142856,rotoguru_gid,Josh McCown,dk,5500,josh mccown,TB,QB,00-0021206,auto_exact,high
Ryan Tannehill,QB,MIA,7300,1410,QB,MIA@BAL,18.18166666666667,rotoguru_gid,Ryan Tannehill,dk,7300,ryan tannehill,MIA,QB,00-0029701,auto_exact,high
Eli Manning,QB,NYG,6900,1225,QB,NYG@TEN,17.8,rotoguru_gid,Eli Manning,dk,6900,eli manning,NYG,QB,00-0022803,auto_exact,high
Ryan Fitzpatrick,QB,HOU,6400,1242,QB,HOU@JAX,17.601999999999997,rotoguru_gid,Ryan Fitzpatrick,dk,6400,ryan fitzpatrick,HOU,QB,00-0023682,auto_exact,high
Drew Brees,QB,NO,9100,1151,QB,NO@CAR,22.86,rotoguru_gid,Drew Brees,dk,9100,drew brees,NO,QB,00-0020531,auto_exact,high
Blake Bortles,QB,JAX,5600,1442,QB,JAX@HOU,14.5,rotoguru_gid,Blake Bortles,dk,5600,blake bortles,JAX,QB,00-0031407,auto_exact,high
