player_name,roster_role,actual_fpts
Davante Adams,CPT,63.75
Matthew Stafford,CPT,46.47
Davante Adams,FLEX,42.5
Matthew Stafford,FLEX,30.98
Terrance Ferguson,CPT,26.1
Kyren Williams,CPT,25.05
Terrance Ferguson,FLEX,17.4
Kyren Williams,FLEX,16.7
Rams ,CPT,16.5
Blake Corum,CPT,15.3
Cam Skattebo,CPT,14.25
Isaiah Likely,CPT,12.45
Dominic Zvada,CPT,12.0
Rams ,FLEX,11.0
Blake Corum,FLEX,10.2
Darnell Mooney,CPT,10.2
Cam Skattebo,FLEX,9.5
Isaiah Likely,FLEX,8.3
Dominic Zvada,FLEX,8.0
Malachi Fields,CPT,7.5
Darnell Mooney,FLEX,6.8
Harrison Mevis,CPT,6.0
Giants ,CPT,6.0
Jameis Winston,CPT,5.31
Colby Parkinson,CPT,5.25
Malachi Fields,FLEX,5.0
Tutu Atwell,CPT,4.35
Giants ,FLEX,4.0
Harrison Mevis,FLEX,4.0
Jameis Winston,FLEX,3.54
Colby Parkinson,FLEX,3.5
Konata Mumpfield,CPT,3.3
Tutu Atwell,FLEX,2.9
Davis Allen,CPT,2.55
Konata Mumpfield,FLEX,2.2
Davis Allen,FLEX,1.7
Malik Nabers,CPT,1.65
Devin Singletary,CPT,1.35
Jaxson Dart,CPT,1.2
Malik Nabers,FLEX,1.1
Devin Singletary,FLEX,0.9
Najee Harris,CPT,0.9
Jaxson Dart,FLEX,0.8
Najee Harris,FLEX,0.6
Xavier Smith,FLEX,0.0
Odell Beckham Jr.,FLEX,0.0
Tyler Higbee,FLEX,0.0
Ronnie Rivers,FLEX,0.0
Patrick Ricard,FLEX,0.0
Tyrone Tracy Jr.,FLEX,0.0
Tyler Higbee,CPT,0.0
Theo Johnson,FLEX,0.0
Puka Nacua,FLEX,0.0
Puka Nacua,CPT,0.0
Braxton Berrios,FLEX,0.0
Max Klare,FLEX,0.0
Chris Manhertz,FLEX,0.0
Jordan Whittington,FLEX,0.0
Dean Connors,FLEX,0.0
CJ Daniels,FLEX,0.0
Stetson Bennett IV,FLEX,0.0
Odell Beckham Jr.,CPT,0.0
Xavier Smith,CPT,0.0
Phil Mafah,FLEX,0.0
Jordan Waters,FLEX,0.0
Theo Johnson,CPT,0.0
Ronnie Rivers,CPT,0.0
Grant Finley,FLEX,0.0
Brennan Presley,FLEX,0.0
Calvin Austin III,FLEX,0.0
Ty Simpson,FLEX,0.0
Jake Haener,FLEX,0.0
Jake Haener,CPT,0.0
Matthew Caldwell,FLEX,0.0
Gunner Olszewski,FLEX,0.0
Tyrone Tracy Jr.,CPT,0.0
Jalin Hyatt,FLEX,0.0
Ben Mann,CPT,0.0
Max Klare,CPT,0.0
