Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
TE,Ja'Tavion Sanders (43670714),Ja'Tavion Sanders,43670714,TE/FLEX,4300,CAR@NYJ 07/31/2026 02:00PM ET,CAR,10.1,,Ja'Tavion Sanders,dk,4300,jatavion sanders,CAR,TE,00-0039356,auto_exact,high
WR,Xavier Legette (43670658),Xavier Legette,43670658,WR/FLEX,4100,CAR@NYJ 07/31/2026 02:00PM ET,CAR,10.7,,Xavier Legette,dk,4100,xavier legette,CAR,WR,00-0039342,auto_exact,high
WR,Luther Burden III (43670660),Luther Burden III,43670660,WR/FLEX,4000,CHI@BAL 07/31/2026 12:00PM ET,CHI,10.8,,Luther Burden III,dk,4000,luther burden,CHI,WR,00-0040735,auto_exact,high
WR,Michael Wilson (43670662),Michael Wilson,43670662,WR/FLEX,3900,HOU@ARI 07/31/2026 04:00PM ET,ARI,11.7,,Michael Wilson,dk,3900,michael wilson,ARI,WR,00-0038559,auto_exact,high
WR,DJ Moore (43670664),DJ Moore,43670664,WR/FLEX,3800,CHI@BAL 07/31/2026 12:00PM ET,CHI,11.6,,DJ Moore,dk,3800,dj moore,CHI,WR,00-0034827,auto_exact,high
WR,Allen Lazard (43670666),Allen Lazard,43670666,WR/FLEX,3700,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,11.1,,Allen Lazard,dk,3700,allen lazard,NYJ,WR,00-0034521,auto_exact,high
TE,Dalton Schultz (43670716),Dalton Schultz,43670716,TE/FLEX,3700,HOU@ARI 07/31/2026 04:00PM ET,HOU,8.9,,Dalton Schultz,dk,3700,dalton schultz,HOU,TE,00-0034383,auto_exact,high
WR,Jalen Coker (43670668),Jalen Coker,43670668,WR/FLEX,3600,CAR@NYJ 07/31/2026 02:00PM ET,CAR,9.1,,Jalen Coker,dk,3600,jalen coker,CAR,WR,00-0039491,auto_exact,high
WR,Zay Jones (43670670),Zay Jones,43670670,WR/FLEX,3500,HOU@ARI 07/31/2026 04:00PM ET,ARI,9.0,,Zay Jones,dk,3500,zay jones,ARI,WR,00-0033891,auto_exact,high
DST,Texans (43670746),Texans,43670746,DST,3400,HOU@ARI 07/31/2026 04:00PM ET,HOU,2.6,,Texans,dk,3400,texans,HOU,DST,DST_HOU,team_defense,high
RB,Kyle Monangai (43670612),Kyle Monangai,43670612,RB/FLEX,3300,CHI@BAL 07/31/2026 12:00PM ET,CHI,0.8,,Kyle Monangai,dk,3300,kyle monangai,CHI,RB,00-0040236,auto_exact,high
WR,DeAndre Hopkins (43670672),DeAndre Hopkins,43670672,WR/FLEX,3300,CHI@BAL 07/31/2026 12:00PM ET,BAL,7.6,,DeAndre Hopkins,dk,3300,deandre hopkins,BAL,WR,00-0030564,auto_exact,high
TE,Mason Taylor (43670718),Mason Taylor,43670718,TE/FLEX,3300,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,7.5,,Mason Taylor,dk,3300,mason taylor,NYJ,TE,00-0040736,auto_exact,high
DST,Ravens (43670747),Ravens,43670747,DST,3300,CHI@BAL 07/31/2026 12:00PM ET,BAL,4.2,,Ravens,dk,3300,ravens,BAL,DST,DST_BAL,team_defense,high
RB,Justice Hill (43670614),Justice Hill,43670614,RB/FLEX,3200,CHI@BAL 07/31/2026 12:00PM ET,BAL,3.5,,Justice Hill,dk,3200,justice hill,BAL,RB,00-0034975,auto_exact,high
WR,Josh Reynolds (43670674),Josh Reynolds,43670674,WR/FLEX,3200,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,4.0,,Josh Reynolds,dk,3200,josh reynolds,NYJ,WR,00-0033943,auto_exact,high
DST,Jets (43670748),Jets,43670748,DST,3200,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,3.0,,Jets,dk,3200,jets,NYJ,DST,DST_NYJ,team_defense,high
RB,Rico Dowdle (43670616),Rico Dowdle,43670616,RB/FLEX,3100,CAR@NYJ 07/31/2026 02:00PM ET,CAR,0.7,,Rico Dowdle,dk,3100,rico dowdle,CAR,RB,00-0036139,auto_exact,high
WR,Rashod Bateman (43670676),Rashod Bateman,43670676,WR/FLEX,3100,CHI@BAL 07/31/2026 12:00PM ET,BAL,4.3,,Rashod Bateman,dk,3100,rashod bateman,BAL,WR,00-0036550,auto_exact,high
DST,Panthers (43670749),Panthers,43670749,DST,3100,CAR@NYJ 07/31/2026 02:00PM ET,CAR,1.7,,Panthers,dk,3100,panthers,CAR,DST,DST_CAR,team_defense,high
RB,Patrick Ricard (43670618),Patrick Ricard,43670618,RB/FLEX,3000,CHI@BAL 07/31/2026 12:00PM ET,BAL,1.5,,Patrick Ricard,dk,3000,patrick ricard,BAL,RB,00-0033376,auto_exact,high
RB,Nick Chubb (43670620),Nick Chubb,43670620,RB/FLEX,3000,HOU@ARI 07/31/2026 04:00PM ET,HOU,2.0,,Nick Chubb,dk,3000,nick chubb,HOU,RB,00-0034791,auto_exact,high
RB,Trey Benson (43670622),Trey Benson,43670622,RB/FLEX,3000,HOU@ARI 07/31/2026 04:00PM ET,ARI,0.2,,Trey Benson,dk,3000,trey benson,ARI,RB,00-0039921,auto_exact,high
RB,Braelon Allen (43670624),Braelon Allen,43670624,RB/FLEX,3000,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,0.2,,Braelon Allen,dk,3000,braelon allen,NYJ,RB,00-0039794,auto_exact,high
RB,Roschon Johnson (43670626),Roschon Johnson,43670626,RB/FLEX,3000,CHI@BAL 07/31/2026 12:00PM ET,CHI,2.1,,Roschon Johnson,dk,3000,roschon johnson,CHI,RB,00-0039021,auto_exact,high
RB,Keaton Mitchell (43670628),Keaton Mitchell,43670628,RB/FLEX,3000,CHI@BAL 07/31/2026 12:00PM ET,BAL,0.1,,Keaton Mitchell,dk,3000,keaton mitchell,BAL,RB,00-0038454,auto_exact,high
RB,Trevor Etienne (43670630),Trevor Etienne,43670630,RB/FLEX,3000,CAR@NYJ 07/31/2026 02:00PM ET,CAR,0.0,,Trevor Etienne,dk,3000,trevor etienne,CAR,RB,00-0040644,auto_exact,high
RB,Emari Demercado (43670632),Emari Demercado,43670632,RB/FLEX,3000,HOU@ARI 07/31/2026 04:00PM ET,ARI,0.7,,Emari Demercado,dk,3000,emari demercado,ARI,RB,00-0038705,auto_exact,high
