Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Matthew Golden (44225874),Matthew Golden,44225874,FLEX,7800,ATL@GB 09/24/2026 08:15PM ET,GB,12.7,,FLEX,Matthew Golden,dk,7800,matthew golden,GB,WR,showdown,00-0040667,auto_exact,high
K,Trey Smack (44225935),Trey Smack,44225935,CPT,7800,ATL@GB 09/24/2026 08:15PM ET,GB,10.5,,CPT,Trey Smack,dk,7800,trey smack,GB,K,showdown,00-0040899,auto_exact,high
K,Lenny Krieg (44225936),Lenny Krieg,44225936,CPT,7800,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Lenny Krieg,dk,7800,lenny krieg,GB,K,showdown,00-0040003,auto_exact,high
DST,Packers (44225937),Packers,44225937,CPT,7500,ATL@GB 09/24/2026 08:15PM ET,GB,3.0,,CPT,Packers,dk,7500,packers,GB,DST,showdown,DST_GB,team_defense,high
RB,MarShawn Lloyd (44225875),MarShawn Lloyd,44225875,FLEX,7400,ATL@GB 09/24/2026 08:15PM ET,GB,6.7,,FLEX,MarShawn Lloyd,dk,7400,marshawn lloyd,GB,RB,showdown,00-0039811,auto_exact,high
K,Nick Folk (44225938),Nick Folk,44225938,CPT,7200,ATL@GB 09/24/2026 08:15PM ET,ATL,7.0,,CPT,Nick Folk,dk,7200,nick folk,ATL,K,showdown,00-0025565,auto_fallback_team_mismatch,medium
TE,Tucker Kraft (44225876),Tucker Kraft,44225876,FLEX,7000,ATL@GB 09/24/2026 08:15PM ET,GB,6.5,,FLEX,Tucker Kraft,dk,7000,tucker kraft,GB,TE,showdown,00-0038996,auto_exact,high
TE,Kyle Pitts Sr. (44225877),Kyle Pitts Sr.,44225877,FLEX,6600,ATL@GB 09/24/2026 08:15PM ET,ATL,1.3,,FLEX,Kyle Pitts Sr.,dk,6600,kyle pitts,ATL,TE,showdown,00-0036970,auto_exact,high
RB,Brian Robinson Jr. (44225939),Brian Robinson Jr.,44225939,CPT,6600,ATL@GB 09/24/2026 08:15PM ET,ATL,5.9,,CPT,Brian Robinson Jr.,dk,6600,brian robinson,ATL,RB,showdown,00-0037746,auto_fallback_team_mismatch,medium
WR,Jayden Reed (44225878),Jayden Reed,44225878,FLEX,6200,ATL@GB 09/24/2026 08:15PM ET,GB,3.2,D,FLEX,Jayden Reed,dk,6200,jayden reed,GB,WR,showdown,00-0039146,auto_exact,high
QB,Tyrod Taylor (44225879),Tyrod Taylor,44225879,FLEX,6000,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Tyrod Taylor,dk,6000,tyrod taylor,GB,QB,showdown,00-0028118,auto_fallback_team_mismatch,medium
QB,Kedon Slovis (44225880),Kedon Slovis,44225880,FLEX,6000,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Kedon Slovis,dk,6000,kedon slovis,GB,QB,showdown,00-0039577,auto_fallback_team_mismatch,medium
RB,Kaleb Johnson (44225940),Kaleb Johnson,44225940,CPT,6000,ATL@GB 09/24/2026 08:15PM ET,GB,1.6,,CPT,Kaleb Johnson,dk,6000,kaleb johnson,GB,RB,showdown,00-0040142,auto_fallback_team_mismatch,medium
WR,Zachariah Branch (44225941),Zachariah Branch,44225941,CPT,5700,ATL@GB 09/24/2026 08:15PM ET,ATL,1.7,,CPT,Zachariah Branch,dk,5700,zachariah branch,ATL,WR,showdown,00-0041044,auto_exact,high
RB,Chris Brooks (44225881),Chris Brooks,44225881,FLEX,5400,ATL@GB 09/24/2026 08:15PM ET,GB,3.3,,FLEX,Chris Brooks,dk,5400,chris brooks,GB,RB,showdown,00-0038685,auto_exact,high
K,Trey Smack (44225882),Trey Smack,44225882,FLEX,5200,ATL@GB 09/24/2026 08:15PM ET,GB,10.5,,FLEX,Trey Smack,dk,5200,trey smack,GB,K,showdown,00-0040899,auto_exact,high
K,Lenny Krieg (44225883),Lenny Krieg,44225883,FLEX,5200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Lenny Krieg,dk,5200,lenny krieg,GB,K,showdown,00-0040003,auto_exact,high
DST,Falcons (44225942),Falcons,44225942,CPT,5100,ATL@GB 09/24/2026 08:15PM ET,ATL,3.0,,CPT,Falcons,dk,5100,falcons,ATL,DST,showdown,DST_ATL,team_defense,high
DST,Packers (44225884),Packers,44225884,FLEX,5000,ATL@GB 09/24/2026 08:15PM ET,GB,3.0,,FLEX,Packers,dk,5000,packers,GB,DST,showdown,DST_GB,team_defense,high
K,Nick Folk (44225885),Nick Folk,44225885,FLEX,4800,ATL@GB 09/24/2026 08:15PM ET,ATL,7.0,,FLEX,Nick Folk,dk,4800,nick folk,ATL,K,showdown,00-0025565,auto_fallback_team_mismatch,medium
WR,Jahan Dotson (44225943),Jahan Dotson,44225943,CPT,4500,ATL@GB 09/24/2026 08:15PM ET,ATL,3.0,,CPT,Jahan Dotson,dk,4500,jahan dotson,ATL,WR,showdown,00-0037741,auto_fallback_team_mismatch,medium
RB,Brian Robinson Jr. (44225886),Brian Robinson Jr.,44225886,FLEX,4400,ATL@GB 09/24/2026 08:15PM ET,ATL,5.9,,FLEX,Brian Robinson Jr.,dk,4400,brian robinson,ATL,RB,showdown,00-0037746,auto_fallback_team_mismatch,medium
TE,Jonnu Smith (44225944),Jonnu Smith,44225944,CPT,4200,ATL@GB 09/24/2026 08:15PM ET,GB,3.5,,CPT,Jonnu Smith,dk,4200,jonnu smith,GB,TE,showdown,00-0033858,auto_fallback_team_mismatch,medium
RB,Kaleb Johnson (44225887),Kaleb Johnson,44225887,FLEX,4000,ATL@GB 09/24/2026 08:15PM ET,GB,1.6,,FLEX,Kaleb Johnson,dk,4000,kaleb johnson,GB,RB,showdown,00-0040142,auto_fallback_team_mismatch,medium
WR,Zachariah Branch (44225888),Zachariah Branch,44225888,FLEX,3800,ATL@GB 09/24/2026 08:15PM ET,ATL,1.7,,FLEX,Zachariah Branch,dk,3800,zachariah branch,ATL,WR,showdown,00-0041044,auto_exact,high
WR,Skyy Moore (44225945),Skyy Moore,44225945,CPT,3600,ATL@GB 09/24/2026 08:15PM ET,GB,1.3,,CPT,Skyy Moore,dk,3600,skyy moore,GB,WR,showdown,00-0038090,auto_fallback_team_mismatch,medium
DST,Falcons (44225889),Falcons,44225889,FLEX,3400,ATL@GB 09/24/2026 08:15PM ET,ATL,3.0,,FLEX,Falcons,dk,3400,falcons,ATL,DST,showdown,DST_ATL,team_defense,high
WR,Jahan Dotson (44225890),Jahan Dotson,44225890,FLEX,3000,ATL@GB 09/24/2026 08:15PM ET,ATL,3.0,,FLEX,Jahan Dotson,dk,3000,jahan dotson,ATL,WR,showdown,00-0037741,auto_fallback_team_mismatch,medium
WR,Olamide Zaccheaus (44225946),Olamide Zaccheaus,44225946,CPT,3000,ATL@GB 09/24/2026 08:15PM ET,ATL,1.4,,CPT,Olamide Zaccheaus,dk,3000,olamide zaccheaus,ATL,WR,showdown,00-0035208,auto_fallback_team_mismatch,medium
TE,Jonnu Smith (44225891),Jonnu Smith,44225891,FLEX,2800,ATL@GB 09/24/2026 08:15PM ET,GB,3.5,,FLEX,Jonnu Smith,dk,2800,jonnu smith,GB,TE,showdown,00-0033858,auto_fallback_team_mismatch,medium
WR,Skyy Moore (44225892),Skyy Moore,44225892,FLEX,2400,ATL@GB 09/24/2026 08:15PM ET,GB,1.3,,FLEX,Skyy Moore,dk,2400,skyy moore,GB,WR,showdown,00-0038090,auto_fallback_team_mismatch,medium
TE,Austin Hooper (44225947),Austin Hooper,44225947,CPT,2400,ATL@GB 09/24/2026 08:15PM ET,ATL,2.0,,CPT,Austin Hooper,dk,2400,austin hooper,ATL,TE,showdown,00-0032392,auto_fallback_team_mismatch,medium
WR,Olamide Zaccheaus (44225893),Olamide Zaccheaus,44225893,FLEX,2000,ATL@GB 09/24/2026 08:15PM ET,ATL,1.4,,FLEX,Olamide Zaccheaus,dk,2000,olamide zaccheaus,ATL,WR,showdown,00-0035208,auto_fallback_team_mismatch,medium
WR,Bo Melton (44225948),Bo Melton,44225948,CPT,1800,ATL@GB 09/24/2026 08:15PM ET,GB,1.0,,CPT,Bo Melton,dk,1800,bo melton,GB,WR,showdown,00-0037091,auto_exact,high
TE,Austin Hooper (44225894),Austin Hooper,44225894,FLEX,1600,ATL@GB 09/24/2026 08:15PM ET,ATL,2.0,,FLEX,Austin Hooper,dk,1600,austin hooper,ATL,TE,showdown,00-0032392,auto_fallback_team_mismatch,medium
WR,Chris Blair (44225949),Chris Blair,44225949,CPT,1500,ATL@GB 09/24/2026 08:15PM ET,ATL,0.8,,CPT,Chris Blair,dk,1500,chris blair,ATL,WR,showdown,00-0036463,auto_exact,high
WR,Bo Melton (44225895),Bo Melton,44225895,FLEX,1200,ATL@GB 09/24/2026 08:15PM ET,GB,1.0,,FLEX,Bo Melton,dk,1200,bo melton,GB,WR,showdown,00-0037091,auto_exact,high
WR,J. Michael Sturdivant (44225950),J. Michael Sturdivant,44225950,CPT,1200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,J. Michael Sturdivant,dk,1200,j michael sturdivant,GB,WR,showdown,00-0040948,auto_exact,high
WR,Chris Blair (44225896),Chris Blair,44225896,FLEX,1000,ATL@GB 09/24/2026 08:15PM ET,ATL,0.8,,FLEX,Chris Blair,dk,1000,chris blair,ATL,WR,showdown,00-0036463,auto_exact,high
TE,Charlie Woerner (44225951),Charlie Woerner,44225951,CPT,900,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Charlie Woerner,dk,900,charlie woerner,ATL,TE,showdown,00-0036429,auto_exact,high
WR,J. Michael Sturdivant (44225897),J. Michael Sturdivant,44225897,FLEX,800,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,J. Michael Sturdivant,dk,800,j michael sturdivant,GB,WR,showdown,00-0040948,auto_exact,high
TE,Charlie Woerner (44225898),Charlie Woerner,44225898,FLEX,600,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Charlie Woerner,dk,600,charlie woerner,ATL,TE,showdown,00-0036429,auto_exact,high
RB,Pierre Strong Jr. (44225952),Pierre Strong Jr.,44225952,CPT,600,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,Q,CPT,Pierre Strong Jr.,dk,600,pierre strong,GB,RB,showdown,00-0038098,auto_exact,high
RB,Pierre Strong Jr. (44225899),Pierre Strong Jr.,44225899,FLEX,400,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,Q,FLEX,Pierre Strong Jr.,dk,400,pierre strong,GB,RB,showdown,00-0038098,auto_exact,high
RB,Damon Bankston (44225953),Damon Bankston,44225953,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Damon Bankston,dk,300,damon bankston,GB,RB,showdown,00-0041139,auto_exact,high
RB,Trey Sermon (44225954),Trey Sermon,44225954,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,IR,CPT,Trey Sermon,dk,300,trey sermon,ATL,RB,showdown,00-0036984,auto_fallback_team_mismatch,medium
RB,Cash Jones (44225955),Cash Jones,44225955,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Cash Jones,dk,300,cash jones,ATL,RB,showdown,00-0041191,auto_exact,high
RB,Khalil Herbert (44225956),Khalil Herbert,44225956,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Khalil Herbert,dk,300,khalil herbert,ATL,RB,showdown,00-0036906,auto_fallback_team_mismatch,medium
WR,Savion Williams (44225957),Savion Williams,44225957,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,IR,CPT,Savion Williams,dk,300,savion williams,GB,WR,showdown,00-0040009,auto_exact,high
WR,Beaux Collins (44225958),Beaux Collins,44225958,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,IR,CPT,Beaux Collins,dk,300,beaux collins,ATL,WR,showdown,00-0040432,auto_fallback_team_mismatch,medium
WR,Quincy Skinner Jr. (44225959),Quincy Skinner Jr.,44225959,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Quincy Skinner Jr.,dk,300,quincy skinner,GB,WR,showdown,00-0040553,auto_exact,high
WR,Antwane Wells Jr. (44225960),Antwane Wells Jr.,44225960,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Antwane Wells Jr.,dk,300,antwane wells,ATL,WR,showdown,00-0040438,auto_exact,high
WR,Dylan Drummond (44225961),Dylan Drummond,44225961,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Dylan Drummond,dk,300,dylan drummond,ATL,WR,showdown,00-0038953,auto_exact,high
WR,Vinny Anthony II (44225962),Vinny Anthony II,44225962,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Vinny Anthony II,dk,300,vinny anthony,ATL,WR,showdown,00-0041185,auto_exact,high
WR,Isaiah Neyor (44225963),Isaiah Neyor,44225963,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Isaiah Neyor,dk,300,isaiah neyor,GB,WR,showdown,00-0040558,auto_exact,high
TE,Josh Whyle (44225964),Josh Whyle,44225964,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Josh Whyle,dk,300,josh whyle,GB,TE,showdown,00-0038589,auto_exact,high
TE,Mark Redman (44225965),Mark Redman,44225965,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Mark Redman,dk,300,mark redman,GB,TE,showdown,00-0040598,auto_exact,high
TE,Jack Velling (44225966),Jack Velling,44225966,CPT,300,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Jack Velling,dk,300,jack velling,ATL,TE,showdown,00-0041195,auto_exact,high
TE,Thomas Yassmin (44225967),Thomas Yassmin,44225967,CPT,300,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,IR,CPT,Thomas Yassmin,dk,300,thomas yassmin,GB,TE,showdown,00-0039936,auto_exact,high
