player_name,roster_role,actual_ownership_pct
Konata Mumpfield,FLEX,9.81%
Dominic Zvada,FLEX,9.33%
Darnell Mooney,FLEX,8.68%
Rams ,FLEX,8.32%
Malik Nabers,CPT,8.29%
Matthew Stafford,CPT,8.12%
Jaxson Dart,FLEX,60.87%
Kyren Williams,FLEX,53.06%
Cam Skattebo,CPT,5.05%
Davante Adams,FLEX,48.44%
Malik Nabers,FLEX,47.29%
Matthew Stafford,FLEX,46.32%
Isaiah Likely,FLEX,40.25%
Tyler Higbee,FLEX,4.91%
Xavier Smith,FLEX,4.36%
Giants ,FLEX,4.09%
Cam Skattebo,FLEX,34.55%
Tutu Atwell,FLEX,3.95%
Terrance Ferguson,CPT,3.13%
Blake Corum,FLEX,28.38%
Jaxson Dart,CPT,23.37%
Blake Corum,CPT,2.01%
Colby Parkinson,FLEX,17.32%
Malachi Fields,FLEX,15.43%
Terrance Ferguson,FLEX,15.35%
Davante Adams,CPT,14.96%
Devin Singletary,FLEX,14.61%
Harrison Mevis,FLEX,14.48%
Kyren Williams,CPT,13.24%
Isaiah Likely,CPT,12.22%
Odell Beckham Jr.,FLEX,1.69%
Colby Parkinson,CPT,1.59%
Devin Singletary,CPT,1.56%
Rams ,CPT,1.16%
Theo Johnson,FLEX,1.01%
Konata Mumpfield,CPT,1.00%
Davis Allen,FLEX,0.99%
Giants ,CPT,0.72%
Puka Nacua,FLEX,0.70%
Malachi Fields,CPT,0.70%
Najee Harris,FLEX,0.68%
Tyrone Tracy Jr.,FLEX,0.67%
Tyler Higbee,CPT,0.57%
Patrick Ricard,FLEX,0.52%
Harrison Mevis,CPT,0.38%
Ronnie Rivers,FLEX,0.36%
Dominic Zvada,CPT,0.28%
Tutu Atwell,CPT,0.24%
Darnell Mooney,CPT,0.22%
Odell Beckham Jr.,CPT,0.20%
Xavier Smith,CPT,0.13%
Puka Nacua,CPT,0.12%
Braxton Berrios,FLEX,0.10%
Chris Manhertz,FLEX,0.09%
Max Klare,FLEX,0.08%
Dean Connors,FLEX,0.08%
Jordan Whittington,FLEX,0.06%
CJ Daniels,FLEX,0.06%
Jameis Winston,FLEX,0.06%
Stetson Bennett IV,FLEX,0.06%
Jordan Waters,FLEX,0.04%
Phil Mafah,FLEX,0.04%
Najee Harris,CPT,0.04%
Ronnie Rivers,CPT,0.03%
Ty Simpson,FLEX,0.03%
Theo Johnson,CPT,0.03%
Grant Finley,FLEX,0.03%
Davis Allen,CPT,0.02%
Brennan Presley,FLEX,0.02%
Calvin Austin III,FLEX,0.02%
Jake Haener,FLEX,0.02%
Jameis Winston,CPT,0.01%
Jake Haener,CPT,0.01%
Matthew Caldwell,FLEX,0.01%
Gunner Olszewski,FLEX,0.01%
Tyrone Tracy Jr.,CPT,0.01%
Jalin Hyatt,FLEX,0.01%
Ben Mann,CPT,0.01%
Max Klare,CPT,0.01%
