player_name,roster_role,actual_fpts
Bijan Robinson,FLEX,38.3
Jordan Love,FLEX,22.48
Christian Watson,FLEX,22.6
Matthew Golden,FLEX,24.0
Tucker Kraft,FLEX,6.6
Drake London,FLEX,31.4
Trey Smack,FLEX,2.0
Michael Penix Jr.,FLEX,15.04
Kyle Pitts Sr.,FLEX,1.5
Bijan Robinson,CPT,57.45
Jahan Dotson,FLEX,2.1
Kaleb Johnson,FLEX,2.6
Packers,FLEX,-2.0
Nick Folk,FLEX,10.0
Skyy Moore,FLEX,6.1
Christian Watson,CPT,33.9
Tucker Kraft,CPT,9.9
Jordan Love,CPT,33.72
Jonnu Smith,FLEX,3.6
Drake London,CPT,47.1
Matthew Golden,CPT,36.0
Falcons,FLEX,6.0
MarShawn Lloyd,FLEX,3.8
Olamide Zaccheaus,FLEX,2.9
Brian Robinson Jr.,FLEX,11.0
Bo Melton,FLEX,0.0
Austin Hooper,FLEX,9.1
Chris Brooks,FLEX,1.4
Packers,CPT,-3.0
Kyle Pitts Sr.,CPT,2.25
Zachariah Branch,FLEX,1.7
Michael Penix Jr.,CPT,22.56
Charlie Woerner,FLEX,0.0
Trey Smack,CPT,3.0
Kaleb Johnson,CPT,3.9
MarShawn Lloyd,CPT,5.7
J. Michael Sturdivant,FLEX,5.2
Chris Blair,FLEX,2.0
Mark Redman,FLEX,0.0
Jahan Dotson,CPT,3.15
Lenny Krieg,FLEX,0.0
Skyy Moore,CPT,9.15
Nick Folk,CPT,15.0
Josh Whyle,FLEX,0.0
Falcons,CPT,9.0
Brian Robinson Jr.,CPT,16.5
Jonnu Smith,CPT,5.4
Chris Brooks,CPT,2.1
Damon Bankston,FLEX,0.0
Bo Melton,CPT,0.0
Tua Tagovailoa,FLEX,0.0
Nick Muse,FLEX,0.0
Austin Hooper,CPT,13.65
Olamide Zaccheaus,CPT,4.35
Pierre Strong Jr.,FLEX,0.0
Zachariah Branch,CPT,2.55
Khalil Herbert,FLEX,0.0
Cash Jones,FLEX,0.0
Tyrod Taylor,FLEX,0.0
Jack Strand,FLEX,0.0
Dylan Drummond,FLEX,0.0
Tua Tagovailoa,CPT,0.0
J. Michael Sturdivant,CPT,7.8
Chris Blair,CPT,3.0
Josh Jacobs,FLEX,0.0
Kedon Slovis,FLEX,0.0
Josh Whyle,CPT,0.0
Trey Sermon,FLEX,0.0
Luke Musgrave,FLEX,0.0
Tyrod Taylor,CPT,0.0
Mark Redman,CPT,0.0
Charlie Woerner,CPT,0.0
Dylan Drummond,CPT,0.0
Cooper Rush,FLEX,0.0
Savion Williams,FLEX,0.0
Beaux Collins,FLEX,0.0
Thomas Yassmin,FLEX,0.0
Josh Jacobs,CPT,0.0
Quincy Skinner Jr.,FLEX,0.0
Antwane Wells Jr.,FLEX,0.0
Drake Dabney,CPT,0.0
Jayden Reed,FLEX,0.0
