Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
RB,Christian McCaffrey (43636569),Christian McCaffrey,43636569,RB/FLEX,8900,NYJ@SF 07/24/2026 02:00PM ET,SF,22.0,,Christian McCaffrey,dk,8900,christian mccaffrey,SF,RB,00-0033280,auto_exact,high
QB,Kyler Murray (43636557),Kyler Murray,43636557,QB,8300,DEN@ARI 07/24/2026 04:00PM ET,ARI,27.7,,Kyler Murray,dk,8300,kyler murray,ARI,QB,00-0035228,auto_exact,high
RB,Breece Hall (43636571),Breece Hall,43636571,RB/FLEX,7800,NYJ@SF 07/24/2026 02:00PM ET,NYJ,18.2,,Breece Hall,dk,7800,breece hall,NYJ,RB,00-0038120,auto_exact,high
RB,Omarion Hampton (43636573),Omarion Hampton,43636573,RB/FLEX,7600,BAL@LAC 07/24/2026 12:00PM ET,LAC,16.4,,Omarion Hampton,dk,7600,omarion hampton,LAC,RB,00-0040666,auto_exact,high
QB,Lamar Jackson (43636558),Lamar Jackson,43636558,QB,7400,BAL@LAC 07/24/2026 12:00PM ET,BAL,25.3,,Lamar Jackson,dk,7400,lamar jackson,BAL,QB,00-0034796,auto_exact,high
WR,Ladd McConkey (43636615),Ladd McConkey,43636615,WR/FLEX,7200,BAL@LAC 07/24/2026 12:00PM ET,LAC,18.3,,Ladd McConkey,dk,7200,ladd mcconkey,LAC,WR,00-0039915,auto_exact,high
RB,J.K. Dobbins (43636575),J.K. Dobbins,43636575,RB/FLEX,6700,DEN@ARI 07/24/2026 04:00PM ET,DEN,15.2,,J.K. Dobbins,dk,6700,jk dobbins,DEN,RB,00-0036158,auto_exact,high
RB,Derrick Henry (43636577),Derrick Henry,43636577,RB/FLEX,6600,BAL@LAC 07/24/2026 12:00PM ET,BAL,14.4,,Derrick Henry,dk,6600,derrick henry,BAL,RB,00-0032764,auto_exact,high
QB,Bo Nix (43636559),Bo Nix,43636559,QB,6300,DEN@ARI 07/24/2026 04:00PM ET,DEN,22.8,,Bo Nix,dk,6300,bo nix,DEN,QB,00-0039732,auto_exact,high
WR,Garrett Wilson (43636617),Garrett Wilson,43636617,WR/FLEX,6200,NYJ@SF 07/24/2026 02:00PM ET,NYJ,15.0,,Garrett Wilson,dk,6200,garrett wilson,NYJ,WR,00-0037740,auto_exact,high
QB,Justin Herbert (43636560),Justin Herbert,43636560,QB,6100,BAL@LAC 07/24/2026 12:00PM ET,LAC,21.9,,Justin Herbert,dk,6100,justin herbert,LAC,QB,00-0036355,auto_exact,high
RB,James Conner (43636579),James Conner,43636579,RB/FLEX,6100,DEN@ARI 07/24/2026 04:00PM ET,ARI,15.2,,James Conner,dk,6100,james conner,ARI,RB,00-0033553,auto_exact,high
TE,Mark Andrews (43636685),Mark Andrews,43636685,TE/FLEX,6100,BAL@LAC 07/24/2026 12:00PM ET,BAL,14.2,,Mark Andrews,dk,6100,mark andrews,BAL,TE,00-0034753,auto_exact,high
WR,Marvin Harrison Jr. (43636619),Marvin Harrison Jr.,43636619,WR/FLEX,5900,DEN@ARI 07/24/2026 04:00PM ET,ARI,14.2,,Marvin Harrison Jr.,dk,5900,marvin harrison,ARI,WR,00-0039849,auto_exact,high
WR,Marvin Mims Jr. (43636621),Marvin Mims Jr.,43636621,WR/FLEX,5800,DEN@ARI 07/24/2026 04:00PM ET,DEN,13.5,,Marvin Mims Jr.,dk,5800,marvin mims,DEN,WR,00-0038976,auto_exact,high
QB,Justin Fields (43636561),Justin Fields,43636561,QB,5700,NYJ@SF 07/24/2026 02:00PM ET,NYJ,24.5,,Justin Fields,dk,5700,justin fields,NYJ,QB,00-0036945,auto_exact,high
QB,Brock Purdy (43636562),Brock Purdy,43636562,QB,5400,NYJ@SF 07/24/2026 02:00PM ET,SF,20.6,,Brock Purdy,dk,5400,brock purdy,SF,QB,00-0037834,auto_exact,high
WR,Courtland Sutton (43636623),Courtland Sutton,43636623,WR/FLEX,5200,DEN@ARI 07/24/2026 04:00PM ET,DEN,12.9,,Courtland Sutton,dk,5200,courtland sutton,DEN,WR,00-0034348,auto_exact,high
QB,Jacoby Brissett (43636563),Jacoby Brissett,43636563,QB,5000,DEN@ARI 07/24/2026 04:00PM ET,ARI,0.7,,Jacoby Brissett,dk,5000,jacoby brissett,ARI,QB,00-0033119,auto_exact,high
QB,Tyrod Taylor (43636564),Tyrod Taylor,43636564,QB,5000,NYJ@SF 07/24/2026 02:00PM ET,NYJ,0.0,,Tyrod Taylor,dk,5000,tyrod taylor,NYJ,QB,00-0028118,auto_exact,high
QB,Mac Jones (43636565),Mac Jones,43636565,QB,5000,NYJ@SF 07/24/2026 02:00PM ET,SF,0.0,,Mac Jones,dk,5000,mac jones,SF,QB,00-0036972,auto_exact,high
QB,Cooper Rush (43636566),Cooper Rush,43636566,QB,5000,BAL@LAC 07/24/2026 12:00PM ET,BAL,0.0,,Cooper Rush,dk,5000,cooper rush,BAL,QB,00-0033662,auto_exact,high
QB,Trey Lance (43636567),Trey Lance,43636567,QB,5000,BAL@LAC 07/24/2026 12:00PM ET,LAC,0.0,,Trey Lance,dk,5000,trey lance,LAC,QB,00-0037012,auto_exact,high
QB,Jarrett Stidham (43636568),Jarrett Stidham,43636568,QB,5000,DEN@ARI 07/24/2026 04:00PM ET,DEN,0.0,,Jarrett Stidham,dk,5000,jarrett stidham,DEN,QB,00-0035264,auto_exact,high
WR,Brandon Aiyuk (43636625),Brandon Aiyuk,43636625,WR/FLEX,4900,NYJ@SF 07/24/2026 02:00PM ET,SF,12.3,,Brandon Aiyuk,dk,4900,brandon aiyuk,SF,WR,,,
WR,Quentin Johnston (43636627),Quentin Johnston,43636627,WR/FLEX,4700,BAL@LAC 07/24/2026 12:00PM ET,LAC,12.9,,Quentin Johnston,dk,4700,quentin johnston,LAC,WR,00-0038544,auto_exact,high
WR,Zay Flowers (43636629),Zay Flowers,43636629,WR/FLEX,4600,BAL@LAC 07/24/2026 12:00PM ET,BAL,11.0,,Zay Flowers,dk,4600,zay flowers,BAL,WR,00-0039064,auto_exact,high
TE,George Kittle (43636687),George Kittle,43636687,TE/FLEX,4500,NYJ@SF 07/24/2026 02:00PM ET,SF,10.9,,George Kittle,dk,4500,george kittle,SF,TE,00-0033288,auto_exact,high
TE,Trey McBride (43636689),Trey McBride,43636689,TE/FLEX,4400,DEN@ARI 07/24/2026 04:00PM ET,ARI,11.5,,Trey McBride,dk,4400,trey mcbride,ARI,TE,00-0037744,auto_exact,high
TE,Tyler Conklin (43636691),Tyler Conklin,43636691,TE/FLEX,4300,BAL@LAC 07/24/2026 12:00PM ET,LAC,12.2,,Tyler Conklin,dk,4300,tyler conklin,LAC,TE,00-0034270,auto_exact,high
WR,Jauan Jennings (43636631),Jauan Jennings,43636631,WR/FLEX,4100,NYJ@SF 07/24/2026 02:00PM ET,SF,11.0,,Jauan Jennings,dk,4100,jauan jennings,SF,WR,00-0036259,auto_exact,high
WR,Michael Wilson (43636633),Michael Wilson,43636633,WR/FLEX,4000,DEN@ARI 07/24/2026 04:00PM ET,ARI,11.4,,Michael Wilson,dk,4000,michael wilson,ARI,WR,00-0038559,auto_exact,high
WR,Allen Lazard (43636635),Allen Lazard,43636635,WR/FLEX,3800,NYJ@SF 07/24/2026 02:00PM ET,NYJ,11.2,,Allen Lazard,dk,3800,allen lazard,NYJ,WR,00-0034521,auto_exact,high
WR,Ricky Pearsall (43636637),Ricky Pearsall,43636637,WR/FLEX,3700,NYJ@SF 07/24/2026 02:00PM ET,SF,11.0,,Ricky Pearsall,dk,3700,ricky pearsall,SF,WR,00-0039916,auto_exact,high
WR,Keenan Allen (43636639),Keenan Allen,43636639,WR/FLEX,3600,BAL@LAC 07/24/2026 12:00PM ET,LAC,11.9,,Keenan Allen,dk,3600,keenan allen,LAC,WR,00-0030279,auto_exact,high
WR,Zay Jones (43636641),Zay Jones,43636641,WR/FLEX,3500,DEN@ARI 07/24/2026 04:00PM ET,ARI,9.2,,Zay Jones,dk,3500,zay jones,ARI,WR,00-0033891,auto_exact,high
TE,Evan Engram (43636693),Evan Engram,43636693,TE/FLEX,3500,DEN@ARI 07/24/2026 04:00PM ET,DEN,9.5,,Evan Engram,dk,3500,evan engram,DEN,TE,00-0033881,auto_exact,high
RB,Najee Harris (43636581),Najee Harris,43636581,RB/FLEX,3400,BAL@LAC 07/24/2026 12:00PM ET,LAC,2.0,,Najee Harris,dk,3400,najee harris,LAC,RB,00-0036893,auto_exact,high
WR,Troy Franklin (43636643),Troy Franklin,43636643,WR/FLEX,3400,DEN@ARI 07/24/2026 04:00PM ET,DEN,9.0,,Troy Franklin,dk,3400,troy franklin,DEN,WR,00-0039868,auto_exact,high
DST,Ravens (43636721),Ravens,43636721,DST,3400,BAL@LAC 07/24/2026 12:00PM ET,BAL,4.3,,Ravens,dk,3400,ravens,BAL,DST,DST_BAL,team_defense,high
RB,RJ Harvey (43636583),RJ Harvey,43636583,RB/FLEX,3300,DEN@ARI 07/24/2026 04:00PM ET,DEN,4.9,,RJ Harvey,dk,3300,rj harvey,DEN,RB,00-0040730,auto_exact,high
WR,DeAndre Hopkins (43636645),DeAndre Hopkins,43636645,WR/FLEX,3300,BAL@LAC 07/24/2026 12:00PM ET,BAL,7.6,,DeAndre Hopkins,dk,3300,deandre hopkins,BAL,WR,00-0030564,auto_exact,high
DST,Broncos (43636722),Broncos,43636722,DST,3300,DEN@ARI 07/24/2026 04:00PM ET,DEN,3.4,,Broncos,dk,3300,broncos,DEN,DST,DST_DEN,team_defense,high
