player_name,actual_fpts
Bijan Robinson,11.1
Derrick Henry,17.7
Justin Jefferson,8.5
Buccaneers ,2.0
Jalen Coker,14.6
Emeka Egbuka,10.3
Christian Watson,14.1
Matthew Golden,9.8
Baker Mayfield,13.18
Dalton Schultz,29.0
Caleb Williams,8.72
Ja'Marr Chase,26.5
Aaron Jones Sr.,13.5
Garrett Wilson,16.7
Dallas Goedert,1.4
David Montgomery,4.4
Luther Burden III,6.2
Bucky Irving,13.0
Carson Wentz,6.32
Devaughn Vele,11.4
Mark Andrews,10.9
Eagles ,3.0
Saquon Barkley,3.0
Rashod Bateman,21.8
Lamar Jackson,15.8
Colston Loveland,1.3
DK Metcalf,6.7
Breece Hall,14.2
Steelers ,8.0
Bryce Young,24.08
Ravens ,3.0
D'Andre Swift,13.9
Mike Gesicki,0.0
Chris Godwin Jr.,8.8
Patriots ,21.0
Jordan Love,13.8
Rome Odunze,7.3
Tetairoa McMillan,18.1
Jets ,6.0
Panthers ,26.0
DeVonta Smith,30.7
Kalif Raymond,9.0
Dontayvion Wicks,12.4
Jalen Hurts,18.16
Chuba Hubbard,14.4
Juwan Johnson,10.6
T.J. Hockenson,5.9
Chris Olave,22.6
Rhamondre Stevenson,4.6
Xavier Hutchinson,6.7
Kayshon Boutte,6.7
Tee Higgins,14.5
Drake London,8.9
Bengals ,11.0
Jordan Addison,4.1
Tyler Shough,22.38
Tucker Kraft,3.5
Kenyon Sadiq,3.7
Texans ,6.0
Hunter Henry,7.0
Pat Freiermuth,7.4
Travis Etienne Jr.,7.1
Bears ,7.0
Harold Fannin Jr.,10.4
C.J. Stroud,20.02
Romeo Doubs,12.6
Titans ,7.0
Kyle Monangai,7.8
Mack Hollins,3.8
Drake Maye,9.02
Browns ,6.0
DeMario Douglas,1.9
Jaylin Noel,5.4
Joe Burrow,16.18
Packers ,5.0
Jayden Reed,1.4
TreVeyon Henderson,13.6
Chase Brown,11.2
Cade Otton,8.8
Wan'Dale Robinson,1.9
Vikings ,17.0
Quinshon Judkins,9.8
Falcons ,1.0
KC Concepcion Jr.,8.2
Roman Wilson,7.8
Kyle Pitts Sr.,2.5
Darren Waller,18.3
Cole Kmet,0.0
Jaylen Warren,9.7
Adonai Mitchell,12.3
Carnell Tate,5.7
Geno Smith,15.58
Devontez Walker,5.7
Cooper Rush,2.44
MarShawn Lloyd,9.6
Noah Fant,0.0
Denzel Boston,20.5
Alvin Kamara,7.2
Makai Lemon,1.9
Saints ,8.0
Aaron Rodgers,5.98
Kenny Gainwell,4.5
Ted Hurst III,4.7
Tony Pollard,7.5
LaJohntay Wester,2.4
Tommy Tremble,1.4
Woody Marks,8.5
Rico Dowdle,6.4
Deshaun Watson,19.72
Chris Moore,1.6
Jerry Jeudy,0.0
Bryce Lance,1.8
Germie Bernard,7.5
Kyle Williams,2.0
Elijah Sarratt,0.0
Jonathon Brooks,2.1
Gunnar Helm,3.3
Cam Ward,20.02
Jahdae Walker,0.0
Jalen McMillan,0.0
Andrei Iosivas,1.7
Chris Brooks,3.6
Zay Flowers,0.0
Demond Claiborne,1.2
Michael Pittman Jr.,0.0
Nico Collins,0.0
Darnell Washington,1.7
Samaje Perine,3.2
Jonnu Smith,0.0
Justice Hill,3.8
Brian Robinson Jr.,8.7
Josh Oliver,3.4
Elic Ayomanor,8.9
Mason Taylor,0.0
Braelon Allen,8.5
Foster Moreau,5.4
Matt Hibner,0.0
Kendre Miller,0.0
Eli Raridon,4.0
Tank Bigsby,11.8
Efton Chism III,0.8
Tai Felton,0.0
Jahan Dotson,3.1
Calvin Ridley,5.5
Raheim Sanders,2.1
Corey Kiner,0.0
Olamide Zaccheaus,1.3
Shedeur Sanders,0.0
Drew Sample,0.0
Mitchell Evans,2.3
Hollywood Brown,1.2
Xavier Legette,8.4
Kameron Johnson,0.0
Isaiah Williams,10.8
Sean Tucker,0.0
J.J. McCarthy,0.0
DeeJay Dallas,3.0
Jordan Mason,0.0
Jeremy Ruckert,2.5
Zavion Thomas,0.0
Tyjae Spears,9.0
Nick Singleton,1.0
Marlin Klein,0.0
John Metchie III,0.0
Barion Brown,0.0
Jack Strand,1.96
Kaleb Johnson,3.2
