Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133104-86543,WR,Erik,Erik Ezukanma,Ezukanma,0.0,1,4000,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,Erik Ezukanma,fd,4000,erik ezukanma,PHI,WR,classic,00-0038092,auto_exact,high
133104-183828,WR,Kevin,Kevin Coleman Jr.,Coleman Jr.,,0,4000,MIA@LV,MIA,LV,,,,,,WR/FLEX,Kevin Coleman Jr.,fd,4000,kevin coleman,MIA,WR,classic,00-0041529,auto_exact,high
133104-129560,WR,Xavier,Xavier Restrepo,Restrepo,2.799999952316284,2,4000,NYJ@TEN,TEN,NYJ,,,,,,WR/FLEX,Xavier Restrepo,fd,4000,xavier restrepo,TEN,WR,classic,00-0040522,auto_exact,high
133104-89627,WR,Brycen,Brycen Tremayne,Tremayne,1.7692307692307692,13,4000,CHI@CAR,CAR,CHI,,,,,,WR/FLEX,Brycen Tremayne,fd,4000,brycen tremayne,CAR,WR,classic,00-0038840,auto_exact,high
133104-160287,RB,Amar,Amar Johnson,Johnson,0.800000011920929,1,4000,ARI@LAC,LAC,ARI,,,,,,RB/FLEX,Amar Johnson,fd,4000,amar johnson,LAC,RB,classic,00-0040039,auto_exact,high
133104-73247,RB,Kene,Kene Nwangwu,Nwangwu,1.0899999618530274,10,4000,NYJ@TEN,NYJ,TEN,,,,,,RB/FLEX,Kene Nwangwu,fd,4000,kene nwangwu,NYJ,RB,classic,00-0036842,auto_exact,high
133104-173606,WR,Dillon,Dillon Bell,Bell,,0,4000,GB@MIN,MIN,GB,,,,,,WR/FLEX,Dillon Bell,fd,4000,dillon bell,MIN,WR,classic,00-0041342,auto_exact,high
133104-156197,TE,Bryson,Bryson Nesbit,Nesbit,,0,4000,GB@MIN,MIN,GB,Q,Undisclosed,,,,TE/FLEX,Bryson Nesbit,fd,4000,bryson nesbit,MIN,TE,classic,00-0040504,auto_exact,high
133104-226856,TE,JJ,JJ Galbreath,Galbreath,,0,4000,BAL@IND,IND,BAL,,,,,,TE/FLEX,JJ Galbreath,fd,4000,jj galbreath,IND,TE,classic,00-0040528,auto_exact,high
133104-208430,WR,Bryce,Bryce Lance,Lance,,0,4000,NO@DET,NO,DET,,,,,,WR/FLEX,Bryce Lance,fd,4000,bryce lance,NO,WR,classic,00-0041067,auto_exact,high
133104-201260,WR,Mason,Mason Tipton,Tipton,1.862499952316284,8,4000,NO@DET,NO,DET,,Leg,,,,WR/FLEX,Mason Tipton,fd,4000,mason tipton,NO,WR,classic,00-0039623,auto_exact,high
133104-226866,WR,Joaquin,Joaquin Davis,Davis,,0,4000,ATL@PIT,PIT,ATL,,,,,,WR/FLEX,Joaquin Davis,fd,4000,joaquin davis,PIT,WR,classic,,,
133104-157232,WR,Jalen,Jalen Walthall,Walthall,,0,4000,NYJ@TEN,NYJ,TEN,Q,Undisclosed,,,,WR/FLEX,Jalen Walthall,fd,4000,jalen walthall,NYJ,WR,classic,,,
133104-238135,TE,Layne,Layne Pryor,Pryor,,0,4000,BUF@HOU,HOU,BUF,,,,,,TE/FLEX,Layne Pryor,fd,4000,layne pryor,HOU,TE,classic,00-0040792,auto_exact,high
