Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Puka Nacua (44191175),Puka Nacua,44191175,CPT,17100,NYG@LAR 09/21/2026 08:15PM ET,LAR,12.4,Q,CPT,Puka Nacua,dk,17100,puka nacua,LA,WR,showdown,00-0039075,auto_exact,high
QB,Matthew Stafford (44191176),Matthew Stafford,44191176,CPT,15000,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.1,,CPT,Matthew Stafford,dk,15000,matthew stafford,LA,QB,showdown,00-0026498,auto_exact,high
QB,Jaxson Dart (44191177),Jaxson Dart,44191177,CPT,14700,NYG@LAR 09/21/2026 08:15PM ET,NYG,26.6,,CPT,Jaxson Dart,dk,14700,jaxson dart,NYG,QB,showdown,00-0040691,auto_exact,high
RB,Kyren Williams (44191178),Kyren Williams,44191178,CPT,14400,NYG@LAR 09/21/2026 08:15PM ET,LAR,15.5,,CPT,Kyren Williams,dk,14400,kyren williams,LA,RB,showdown,00-0037840,auto_exact,high
RB,Cam Skattebo (44191179),Cam Skattebo,44191179,CPT,14100,NYG@LAR 09/21/2026 08:15PM ET,NYG,14.1,,CPT,Cam Skattebo,dk,14100,cam skattebo,NYG,RB,showdown,00-0040715,auto_exact,high
WR,Malik Nabers (44191180),Malik Nabers,44191180,CPT,13500,NYG@LAR 09/21/2026 08:15PM ET,NYG,12.9,,CPT,Malik Nabers,dk,13500,malik nabers,NYG,WR,showdown,00-0039337,auto_exact,high
WR,Davante Adams (44191181),Davante Adams,44191181,CPT,13200,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.6,,CPT,Davante Adams,dk,13200,davante adams,LA,WR,showdown,00-0031381,auto_exact,high
WR,Puka Nacua (44191122),Puka Nacua,44191122,FLEX,11400,NYG@LAR 09/21/2026 08:15PM ET,LAR,12.4,Q,FLEX,Puka Nacua,dk,11400,puka nacua,LA,WR,showdown,00-0039075,auto_exact,high
TE,Isaiah Likely (44191182),Isaiah Likely,44191182,CPT,11100,NYG@LAR 09/21/2026 08:15PM ET,NYG,27.8,,CPT,Isaiah Likely,dk,11100,isaiah likely,NYG,TE,showdown,00-0037838,auto_fallback_team_mismatch,medium
QB,Matthew Stafford (44191123),Matthew Stafford,44191123,FLEX,10000,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.1,,FLEX,Matthew Stafford,dk,10000,matthew stafford,LA,QB,showdown,00-0026498,auto_exact,high
QB,Jaxson Dart (44191124),Jaxson Dart,44191124,FLEX,9800,NYG@LAR 09/21/2026 08:15PM ET,NYG,26.6,,FLEX,Jaxson Dart,dk,9800,jaxson dart,NYG,QB,showdown,00-0040691,auto_exact,high
RB,Kyren Williams (44191125),Kyren Williams,44191125,FLEX,9600,NYG@LAR 09/21/2026 08:15PM ET,LAR,15.5,,FLEX,Kyren Williams,dk,9600,kyren williams,LA,RB,showdown,00-0037840,auto_exact,high
RB,Cam Skattebo (44191126),Cam Skattebo,44191126,FLEX,9400,NYG@LAR 09/21/2026 08:15PM ET,NYG,14.1,,FLEX,Cam Skattebo,dk,9400,cam skattebo,NYG,RB,showdown,00-0040715,auto_exact,high
WR,Malik Nabers (44191127),Malik Nabers,44191127,FLEX,9000,NYG@LAR 09/21/2026 08:15PM ET,NYG,12.9,,FLEX,Malik Nabers,dk,9000,malik nabers,NYG,WR,showdown,00-0039337,auto_exact,high
QB,Ty Simpson (44191183),Ty Simpson,44191183,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0.0,,CPT,Ty Simpson,dk,9000,ty simpson,LA,QB,showdown,00-0041568,auto_exact,high
QB,Jake Haener (44191184),Jake Haener,44191184,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0.0,,CPT,Jake Haener,dk,9000,jake haener,NYG,QB,showdown,00-0038998,auto_exact,high
QB,Matthew Caldwell (44191185),Matthew Caldwell,44191185,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0.0,IR,CPT,Matthew Caldwell,dk,9000,matthew caldwell,LA,QB,showdown,00-0041414,auto_exact,high
QB,Jameis Winston (44191186),Jameis Winston,44191186,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0.0,,CPT,Jameis Winston,dk,9000,jameis winston,NYG,QB,showdown,00-0031503,auto_exact,high
QB,Stetson Bennett IV (44191187),Stetson Bennett IV,44191187,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,LAR,1.42,,CPT,Stetson Bennett IV,dk,9000,stetson bennett,LA,QB,showdown,00-0039107,auto_exact,high
WR,Davante Adams (44191128),Davante Adams,44191128,FLEX,8800,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.6,,FLEX,Davante Adams,dk,8800,davante adams,LA,WR,showdown,00-0031381,auto_exact,high
WR,Malachi Fields (44191188),Malachi Fields,44191188,CPT,8400,NYG@LAR 09/21/2026 08:15PM ET,NYG,4.5,,CPT,Malachi Fields,dk,8400,malachi fields,NYG,WR,showdown,00-0041042,auto_exact,high
K,Harrison Mevis (44191189),Harrison Mevis,44191189,CPT,7500,NYG@LAR 09/21/2026 08:15PM ET,LAR,1.0,,CPT,Harrison Mevis,dk,7500,harrison mevis,LA,K,showdown,00-0039498,auto_exact,high
TE,Isaiah Likely (44191129),Isaiah Likely,44191129,FLEX,7400,NYG@LAR 09/21/2026 08:15PM ET,NYG,27.8,,FLEX,Isaiah Likely,dk,7400,isaiah likely,NYG,TE,showdown,00-0037838,auto_fallback_team_mismatch,medium
