player_name,roster_role,actual_fpts
Patrick Mahomes,FLEX,31.98
Jonathan Taylor,FLEX,29.2
Kenneth Walker III,FLEX,26.8
Kenneth Walker III,CPT,40.2
Tyler Warren,FLEX,14.4
Travis Kelce,FLEX,28.1
Xavier Worthy,FLEX,13.5
Harrison Butker,FLEX,17.0
Chiefs ,FLEX,1.0
Emmett Johnson,FLEX,5.5
Keenan Allen,FLEX,1.5
Rashee Rice,FLEX,12.3
Spencer Shrader,FLEX,14.0
Daniel Jones,FLEX,12.4
Alec Pierce,FLEX,2.1
Josh Downs,FLEX,14.2
Patrick Mahomes,CPT,47.97
Tyquan Thornton,FLEX,12.6
Noah Gray,FLEX,0.0
Jonathan Taylor,CPT,43.8
Tyler Warren,CPT,21.6
Xavier Worthy,CPT,20.25
Rashee Rice,CPT,18.45
Colts ,FLEX,1.0
Travis Kelce,CPT,42.15
Chiefs ,CPT,1.5
Mo Alie-Cox,FLEX,0.0
Jake Briningstool,FLEX,0.0
Brashard Smith,FLEX,0.0
Daniel Jones,CPT,18.6
Alec Pierce,CPT,3.15
Cyrus Allen,FLEX,0.0
Drew Ogletree,FLEX,0.0
Keenan Allen,CPT,2.25
Emmett Johnson,CPT,8.25
Laquon Treadwell,FLEX,9.1
Josh Downs,CPT,21.3
Harrison Butker,CPT,25.5
Jalen Royals,FLEX,8.6
Seth McGowan,FLEX,0.0
Tyquan Thornton,CPT,18.9
Nikko Remigio,FLEX,0.0
Anthony Gould,FLEX,0.0
Deion Burks,FLEX,1.4
Spencer Shrader,CPT,21.0
Colts ,CPT,1.5
Noah Gray,CPT,0.0
Nick Westbrook-Ikhine,FLEX,0.0
Ben VanSumeren,FLEX,0.0
Justin Fields,FLEX,0.0
Anthony Richardson Sr.,FLEX,0.0
Mo Alie-Cox,CPT,0.0
Brashard Smith,CPT,0.0
Nikko Remigio,CPT,0.0
Anderson Castle,FLEX,0.0
Jaydn Ott,FLEX,0.0
Cyrus Allen,CPT,0.0
DJ Giddens,FLEX,0.0
Kenny Fletcher Jr.,FLEX,0.0
Garrett Nussmeier,FLEX,0.0
Nate Carter,FLEX,0.0
Justin Fields,CPT,0.0
Drew Ogletree,CPT,0.0
Jake Briningstool,CPT,0.0
