Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Marcus Mariota,QB,TEN,5500,1466,QB,TEN@HOU,14.706666666666663,rotoguru_gid,Marcus Mariota,dk,5500,marcus mariota,TEN,QB,00-0032268,auto_exact,high
Trevor Siemian,QB,DEN,5400,1488,QB,DEN@TB,18.48,rotoguru_gid,Trevor Siemian,dk,5400,trevor siemian,DEN,QB,00-0032156,auto_exact,high
Joe Webb,QB,CAR,5000,5071,QB,CAR@ATL,0.0,rotoguru_gid,Joe Webb,dk,5000,joe webb,CAR,QB,00-0027796,auto_exact,high
Landry Jones,QB,PIT,5000,1430,QB,PIT@KC,,rotoguru_gid,Landry Jones,dk,5000,landry jones,PIT,QB,00-0030524,auto_exact,high
Drew Stanton,QB,ARI,5000,1290,QB,ARI@LA,0.44,rotoguru_gid,Drew Stanton,dk,5000,drew stanton,ARI,QB,00-0025430,auto_exact,high
Isaiah Crowell,RB,CLE,4400,2969,RB,CLE@WAS,16.166666666666668,rotoguru_gid,Isaiah Crowell,dk,4400,isaiah crowell,CLE,RB,00-0030656,auto_exact,high
DeMarco Murray,RB,TEN,6800,2831,RB,TEN@HOU,24.9,rotoguru_gid,DeMarco Murray,dk,6800,demarco murray,TEN,RB,00-0028009,auto_exact,high
Le'Veon Bell,RB,PIT,7500,2888,RB,PIT@KC,,rotoguru_gid,Le'Veon Bell,dk,7500,leveon bell,PIT,RB,00-0030496,auto_exact,high
Ezekiel Elliott,RB,DAL,6900,5444,RB,DAL@SF,16.3,rotoguru_gid,Ezekiel Elliott,dk,6900,ezekiel elliott,DAL,RB,00-0033045,auto_exact,high
Melvin Gordon,RB,SDG,6300,2991,RB,SDG@NO,19.83333333333333,rotoguru_gid,Melvin Gordon,dk,6300,melvin gordon,SDG,RB,00-0032144,auto_fallback_team_mismatch,medium
Matt Jones,RB,WAS,4300,3552,RB,WAS@CLE,9.233333333333334,rotoguru_gid,Matt Jones,dk,4300,matt jones,WAS,RB,00-0031939,auto_exact,high
LeSean McCoy,RB,BUF,6700,2707,RB,BUF@NE,19.866666666666667,rotoguru_gid,LeSean McCoy,dk,6700,lesean mccoy,BUF,RB,00-0027029,auto_exact,high
Mark Ingram,RB,NO,5900,2793,RB,NO@SDG,14.033333333333331,rotoguru_gid,Mark Ingram,dk,5900,mark ingram,NO,RB,00-0027966,auto_exact,high
John Kuhn,RB,NO,3000,2549,RB,NO@SDG,3.233333333333333,rotoguru_gid,John Kuhn,dk,3000,john kuhn,NO,RB,00-0022999,auto_exact,high
Frank Gore,RB,IND,5200,2467,RB,IND@JAX,14.133333333333336,rotoguru_gid,Frank Gore,dk,5200,frank gore,IND,RB,00-0023500,auto_exact,high
Terrance West,RB,BAL,3500,2929,RB,BAL@LV,6.266666666666667,rotoguru_gid,Terrance West,dk,3500,terrance west,BAL,RB,00-0031375,auto_exact,high
Christine Michael,RB,SEA,6000,2898,RB,SEA@NYJ,15.933333333333332,rotoguru_gid,Christine Michael,dk,6000,christine michael,SEA,RB,00-0030432,auto_fallback_team_mismatch,medium
Jordan Howard,RB,CHI,3700,5447,RB,CHI@DET,9.15,rotoguru_gid,Jordan Howard,dk,3700,jordan howard,CHI,RB,00-0032780,auto_exact,high
Jerick McKinnon,RB,MIN,3900,2935,RB,MIN@NYG,3.5666666666666664,rotoguru_gid,Jerick McKinnon,dk,3900,jerick mckinnon,MIN,RB,00-0031376,auto_exact,high
Fozzy Whittaker,RB,CAR,3900,2916,RB,CAR@ATL,10.466666666666669,rotoguru_gid,Fozzy Whittaker,dk,3900,fozzy whittaker,CAR,RB,00-0029731,auto_exact,high
T.J. Yeldon,RB,JAX,5600,2993,RB,JAX@IND,11.166666666666666,rotoguru_gid,T.J. Yeldon,dk,5600,tj yeldon,JAX,RB,00-0032209,auto_exact,high
David Johnson,RB,ARI,7800,5395,RB,ARI@LA,22.2,rotoguru_gid,David Johnson,dk,7800,david johnson,ARI,RB,00-0032187,auto_exact,high
Carlos Hyde,RB,SF,4200,2933,RB,SF@DAL,19.666666666666668,rotoguru_gid,Carlos Hyde,dk,4200,carlos hyde,SF,RB,00-0031045,auto_exact,high
Devonta Freeman,RB,ATL,5500,2930,RB,ATL@CAR,17.333333333333332,rotoguru_gid,Devonta Freeman,dk,5500,devonta freeman,ATL,RB,00-0031285,auto_exact,high
Bilal Powell,RB,NYJ,3300,2819,RB,NYJ@SEA,6.733333333333333,rotoguru_gid,Bilal Powell,dk,3300,bilal powell,NYJ,RB,00-0028064,auto_exact,high
Lamar Miller,RB,HOU,7000,2859,RB,HOU@TEN,15.033333333333331,rotoguru_gid,Lamar Miller,dk,7000,lamar miller,HOU,RB,00-0029615,auto_exact,high
Bobby Rainey,RB,NYG,3000,2863,RB,NYG@MIN,1.7,rotoguru_gid,Bobby Rainey,dk,3000,bobby rainey,NYG,RB,00-0029384,auto_exact,high
Todd Gurley,RB,LA,6700,2992,RB,LA@ARI,11.4,rotoguru_gid,Todd Gurley,dk,6700,todd gurley,LA,RB,00-0032241,auto_exact,high
Duke Johnson,RB,CLE,4000,2997,RB,CLE@WAS,10.233333333333333,rotoguru_gid,Duke Johnson,dk,4000,duke johnson,CLE,RB,00-0032257,auto_exact,high
C.J. Anderson,RB,DEN,6500,2924,RB,DEN@TB,17.766666666666666,rotoguru_gid,C.J. Anderson,dk,6500,cj anderson,DEN,RB,00-0029854,auto_exact,high
Chris Thompson,RB,WAS,3400,2915,RB,WAS@CLE,7.766666666666667,rotoguru_gid,Chris Thompson,dk,3400,chris thompson,WAS,RB,00-0030404,auto_exact,high
Kyle Juszczyk,RB,BAL,3000,2908,RB,BAL@LV,2.433333333333333,rotoguru_gid,Kyle Juszczyk,dk,3000,kyle juszczyk,BAL,RB,00-0029892,auto_exact,high
James White,RB,NE,3600,2954,RB,NE@BUF,5.566666666666666,rotoguru_gid,James White,dk,3600,james white,NE,RB,00-0031062,auto_exact,high
Orleans Darkwa,RB,NYG,3000,2976,RB,NYG@MIN,4.8,rotoguru_gid,Orleans Darkwa,dk,3000,orleans darkwa,NYG,RB,00-0030860,auto_exact,high
Josh Ferguson,RB,IND,3000,5484,RB,IND@JAX,6.366666666666667,rotoguru_gid,Josh Ferguson,dk,3000,josh ferguson,IND,RB,00-0032377,auto_exact,high
Paul Perkins,RB,NYG,3000,5472,RB,NYG@MIN,0.0,rotoguru_gid,Paul Perkins,dk,3000,paul perkins,NYG,RB,00-0032417,auto_exact,high
Theo Riddick,RB,DET,5200,2907,RB,DET@CHI,16.7,rotoguru_gid,Theo Riddick,dk,5200,theo riddick,DET,RB,00-0030107,auto_exact,high
