Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
RB,Christian McCaffrey (43725072),Christian McCaffrey,43725072,RB/FLEX,9100,CIN@SF 08/03/2026 12:00PM ET,SF,21.9,,Christian McCaffrey,dk,9100,christian mccaffrey,SF,RB,00-0033280,auto_exact,high
RB,Kenneth Walker III (43725074),Kenneth Walker III,43725074,RB/FLEX,8500,SEA@NYJ 08/03/2026 02:00PM ET,SEA,20.4,,Kenneth Walker III,dk,8500,kenneth walker,SEA,RB,00-0038134,auto_exact,high
RB,Breece Hall (43725076),Breece Hall,43725076,RB/FLEX,8200,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,18.2,,Breece Hall,dk,8200,breece hall,NYJ,RB,00-0038120,auto_exact,high
RB,Chase Brown (43725078),Chase Brown,43725078,RB/FLEX,7500,CIN@SF 08/03/2026 12:00PM ET,CIN,19.3,,Chase Brown,dk,7500,chase brown,CIN,RB,00-0038597,auto_exact,high
RB,D'Andre Swift (43725080),D'Andre Swift,43725080,RB/FLEX,7200,NE@CHI 08/03/2026 04:00PM ET,CHI,16.0,,D'Andre Swift,dk,7200,dandre swift,CHI,RB,00-0036275,auto_exact,high
WR,Ja'Marr Chase (43725116),Ja'Marr Chase,43725116,WR/FLEX,7100,CIN@SF 08/03/2026 12:00PM ET,CIN,20.0,,Ja'Marr Chase,dk,7100,jamarr chase,CIN,WR,00-0036900,auto_exact,high
QB,Joe Burrow (43725060),Joe Burrow,43725060,QB,7000,CIN@SF 08/03/2026 12:00PM ET,CIN,25.7,,Joe Burrow,dk,7000,joe burrow,CIN,QB,00-0036442,auto_exact,high
WR,Garrett Wilson (43725118),Garrett Wilson,43725118,WR/FLEX,6400,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,14.9,,Garrett Wilson,dk,6400,garrett wilson,NYJ,WR,00-0037740,auto_exact,high
QB,Caleb Williams (43725061),Caleb Williams,43725061,QB,6200,NE@CHI 08/03/2026 04:00PM ET,CHI,23.1,,Caleb Williams,dk,6200,caleb williams,CHI,QB,00-0039918,auto_exact,high
WR,Stefon Diggs (43725120),Stefon Diggs,43725120,WR/FLEX,6100,NE@CHI 08/03/2026 04:00PM ET,NE,14.7,,Stefon Diggs,dk,6100,stefon diggs,NE,WR,00-0031588,auto_exact,high
QB,Justin Fields (43725062),Justin Fields,43725062,QB,6000,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,24.2,,Justin Fields,dk,6000,justin fields,NYJ,QB,00-0036945,auto_exact,high
TE,Hunter Henry (43725186),Hunter Henry,43725186,TE/FLEX,5900,NE@CHI 08/03/2026 04:00PM ET,NE,15.3,,Hunter Henry,dk,5900,hunter henry,NE,TE,00-0033090,auto_exact,high
QB,Sam Darnold (43725063),Sam Darnold,43725063,QB,5800,SEA@NYJ 08/03/2026 02:00PM ET,SEA,22.4,,Sam Darnold,dk,5800,sam darnold,SEA,QB,00-0034869,auto_exact,high
QB,Drake Maye (43725064),Drake Maye,43725064,QB,5600,NE@CHI 08/03/2026 04:00PM ET,NE,22.5,,Drake Maye,dk,5600,drake maye,NE,QB,00-0039851,auto_exact,high
QB,Brock Purdy (43725065),Brock Purdy,43725065,QB,5300,CIN@SF 08/03/2026 12:00PM ET,SF,20.3,,Brock Purdy,dk,5300,brock purdy,SF,QB,00-0037834,auto_exact,high
RB,TreVeyon Henderson (43725082),TreVeyon Henderson,43725082,RB/FLEX,5300,NE@CHI 08/03/2026 04:00PM ET,NE,13.1,,TreVeyon Henderson,dk,5300,treveyon henderson,NE,RB,00-0040734,auto_exact,high
WR,Tee Higgins (43725122),Tee Higgins,43725122,WR/FLEX,5300,CIN@SF 08/03/2026 12:00PM ET,CIN,15.0,,Tee Higgins,dk,5300,tee higgins,CIN,WR,00-0036410,auto_exact,high
QB,Tyrod Taylor (43725066),Tyrod Taylor,43725066,QB,5000,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,0.0,,Tyrod Taylor,dk,5000,tyrod taylor,NYJ,QB,00-0028118,auto_exact,high
QB,Mac Jones (43725067),Mac Jones,43725067,QB,5000,CIN@SF 08/03/2026 12:00PM ET,SF,0.0,,Mac Jones,dk,5000,mac jones,SF,QB,00-0036972,auto_exact,high
QB,Joshua Dobbs (43725068),Joshua Dobbs,43725068,QB,5000,NE@CHI 08/03/2026 04:00PM ET,NE,0.0,,Joshua Dobbs,dk,5000,joshua dobbs,NE,QB,00-0033949,auto_exact,high
QB,Jake Browning (43725069),Jake Browning,43725069,QB,5000,CIN@SF 08/03/2026 12:00PM ET,CIN,0.0,,Jake Browning,dk,5000,jake browning,CIN,QB,00-0035100,auto_exact,high
QB,Jalen Milroe (43725070),Jalen Milroe,43725070,QB,5000,SEA@NYJ 08/03/2026 02:00PM ET,SEA,0.0,,Jalen Milroe,dk,5000,jalen milroe,SEA,QB,00-0040673,auto_exact,high
QB,Case Keenum (43725071),Case Keenum,43725071,QB,5000,NE@CHI 08/03/2026 04:00PM ET,CHI,0.0,,Case Keenum,dk,5000,case keenum,CHI,QB,,,
WR,Brandon Aiyuk (43725124),Brandon Aiyuk,43725124,WR/FLEX,5000,CIN@SF 08/03/2026 12:00PM ET,SF,12.2,,Brandon Aiyuk,dk,5000,brandon aiyuk,SF,WR,,,
WR,Jaxon Smith-Njigba (43725126),Jaxon Smith-Njigba,43725126,WR/FLEX,4700,SEA@NYJ 08/03/2026 02:00PM ET,SEA,10.4,,Jaxon Smith-Njigba,dk,4700,jaxon smith njigba,SEA,WR,00-0038543,auto_exact,high
WR,Rome Odunze (43725128),Rome Odunze,43725128,WR/FLEX,4600,NE@CHI 08/03/2026 04:00PM ET,CHI,11.0,,Rome Odunze,dk,4600,rome odunze,CHI,WR,00-0039919,auto_exact,high
TE,Mike Gesicki (43725188),Mike Gesicki,43725188,TE/FLEX,4600,CIN@SF 08/03/2026 12:00PM ET,CIN,14.0,,Mike Gesicki,dk,4600,mike gesicki,CIN,TE,00-0034829,auto_exact,high
TE,George Kittle (43725190),George Kittle,43725190,TE/FLEX,4500,CIN@SF 08/03/2026 12:00PM ET,SF,10.9,,George Kittle,dk,4500,george kittle,SF,TE,00-0033288,auto_exact,high
WR,Luther Burden III (43725130),Luther Burden III,43725130,WR/FLEX,4400,NE@CHI 08/03/2026 04:00PM ET,CHI,10.8,,Luther Burden III,dk,4400,luther burden,CHI,WR,00-0040735,auto_exact,high
WR,Jauan Jennings (43725132),Jauan Jennings,43725132,WR/FLEX,4300,CIN@SF 08/03/2026 12:00PM ET,SF,10.9,,Jauan Jennings,dk,4300,jauan jennings,SF,WR,00-0036259,auto_exact,high
WR,Allen Lazard (43725134),Allen Lazard,43725134,WR/FLEX,4200,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,11.1,,Allen Lazard,dk,4200,allen lazard,NYJ,WR,00-0034521,auto_exact,high
TE,Elijah Arroyo (43725192),Elijah Arroyo,43725192,TE/FLEX,4200,SEA@NYJ 08/03/2026 02:00PM ET,SEA,10.4,,Elijah Arroyo,dk,4200,elijah arroyo,SEA,TE,00-0040739,auto_exact,high
WR,DJ Moore (43725136),DJ Moore,43725136,WR/FLEX,4100,NE@CHI 08/03/2026 04:00PM ET,CHI,11.6,,DJ Moore,dk,4100,dj moore,CHI,WR,00-0034827,auto_exact,high
WR,Cooper Kupp (43725138),Cooper Kupp,43725138,WR/FLEX,4000,SEA@NYJ 08/03/2026 02:00PM ET,SEA,10.7,,Cooper Kupp,dk,4000,cooper kupp,SEA,WR,00-0033908,auto_exact,high
WR,Ricky Pearsall (43725140),Ricky Pearsall,43725140,WR/FLEX,3900,CIN@SF 08/03/2026 12:00PM ET,SF,10.9,,Ricky Pearsall,dk,3900,ricky pearsall,SF,WR,00-0039916,auto_exact,high
WR,Kayshon Boutte (43725142),Kayshon Boutte,43725142,WR/FLEX,3600,NE@CHI 08/03/2026 04:00PM ET,NE,10.7,,Kayshon Boutte,dk,3600,kayshon boutte,NE,WR,00-0038608,auto_exact,high
WR,Andrei Iosivas (43725144),Andrei Iosivas,43725144,WR/FLEX,3500,CIN@SF 08/03/2026 12:00PM ET,CIN,11.0,,Andrei Iosivas,dk,3500,andrei iosivas,CIN,WR,00-0038619,auto_exact,high
TE,Cole Kmet (43725194),Cole Kmet,43725194,TE/FLEX,3500,NE@CHI 08/03/2026 04:00PM ET,CHI,9.4,,Cole Kmet,dk,3500,cole kmet,CHI,TE,00-0036290,auto_exact,high
RB,Antonio Gibson (43725084),Antonio Gibson,43725084,RB/FLEX,3400,NE@CHI 08/03/2026 04:00PM ET,NE,6.0,,Antonio Gibson,dk,3400,antonio gibson,NE,RB,00-0036328,auto_exact,high
