Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
132913-102696,WR,John,John Metchie III,Metchie III,4.261538578913762,13,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,John Metchie III,fd,8000,john metchie,CAR,WR,showdown,00-0037614,auto_fallback_team_mismatch,medium
132913-87467,RB,Chuba,Chuba Hubbard,Hubbard,8.081250190734863,16,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Chuba Hubbard,fd,8000,chuba hubbard,CAR,RB,showdown,00-0036555,auto_exact,high
132913-128944,QB,Haynes,Haynes King,King,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Haynes King,fd,8000,haynes king,CAR,QB,showdown,00-0041149,auto_exact,high
132913-93107,RB,A.J.,A.J. Dillon,Dillon,1.2666666507720947,6,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,A.J. Dillon,fd,8000,aj dillon,CAR,RB,showdown,00-0036265,auto_fallback_team_mismatch,medium
132913-69302,QB,Feleipe,Feleipe Franks,Franks,0.0800000011920929,5,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Feleipe Franks,fd,8000,feleipe franks,CAR,QB,showdown,00-0036825,auto_fallback_name_only_position_mismatch,low
132913-119606,QB,Bryce,Bryce Young,Young,15.117647058823527,17,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Bryce Young,fd,8000,bryce young,CAR,QB,showdown,00-0039150,auto_exact,high
132913-137525,WR,Malick,Malick Meiga,Meiga,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Malick Meiga,fd,8000,malick meiga,CAR,WR,showdown,00-0041542,auto_exact,high
132913-226875,WR,Ja'seem,Ja'seem Reed,Reed,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Ja'seem Reed,fd,8000,jaseem reed,CAR,WR,showdown,00-0040265,auto_exact,high
132913-114109,WR,Ainias,Ainias Smith,Smith,2.839999961853027,5,8000,12000,CAR@ARI,CAR,ARI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Ainias Smith,fd,8000,ainias smith,CAR,WR,showdown,00-0039747,auto_exact,high
132913-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.823529411764706,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Tyler Allgeier,fd,8000,tyler allgeier,ARI,RB,showdown,00-0037263,auto_fallback_team_mismatch,medium
132913-151740,RB,Corey,Corey Kiner,Kiner,2.075000047683716,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Corey Kiner,fd,8000,corey kiner,ARI,RB,showdown,00-0040556,auto_exact,high
132913-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.72222222222222,18,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Tetairoa McMillan,fd,8000,tetairoa mcmillan,CAR,WR,showdown,00-0040124,auto_exact,high
132913-171332,WR,Reggie,Reggie Virgil,Virgil,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Reggie Virgil,fd,8000,reggie virgil,ARI,WR,showdown,00-0041070,auto_exact,high
132913-201547,WR,Jalen,Jalen Coker,Coker,8.40000025431315,12,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jalen Coker,fd,8000,jalen coker,CAR,WR,showdown,00-0039491,auto_exact,high
132913-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,8.941666920979818,12,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Marvin Harrison Jr.,fd,8000,marvin harrison,ARI,WR,showdown,00-0039849,auto_exact,high
132913-102986,TE,Elijah,Elijah Higgins,Higgins,2.873333231608073,15,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Elijah Higgins,fd,8000,elijah higgins,ARI,TE,showdown,00-0039041,auto_exact,high
132913-114252,WR,Xavier,Xavier Weaver,Weaver,1.4571428298950195,7,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Xavier Weaver,fd,8000,xavier weaver,ARI,WR,showdown,00-0039521,auto_exact,high
132913-103252,RB,Zonovan,Zonovan Knight,Knight,6.825000127156575,12,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Zonovan Knight,fd,8000,zonovan knight,ARI,RB,showdown,,,
132913-201685,WR,Gabriel,Gabriel Benyard,Benyard,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Gabriel Benyard,fd,8000,gabriel benyard,CAR,WR,showdown,00-0041222,auto_fallback_team_mismatch,medium
132913-72665,TE,Kenny,Kenny Yeboah,Yeboah,2.199999968210856,6,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Kenny Yeboah,fd,8000,kenny yeboah,ARI,TE,showdown,,,
132913-142042,RB,Trey,Trey Benson,Benson,7.224999904632568,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Trey Benson,fd,8000,trey benson,ARI,RB,showdown,00-0039921,auto_exact,high
132913-91101,TE,Tommy,Tommy Tremble,Tremble,3.3812499046325684,16,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Tommy Tremble,fd,8000,tommy tremble,CAR,TE,showdown,00-0037005,auto_exact,high
132913-152159,WR,Bryson,Bryson Green,Green,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Bryson Green,fd,8000,bryson green,ARI,WR,showdown,00-0040383,auto_exact,high
132913-86750,K,Chad,Chad Ryland,Ryland,7.647058823529412,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Chad Ryland,fd,8000,chad ryland,ARI,K,showdown,00-0038567,auto_exact,high
