Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
QB,Jacoby Brissett (43716743),Jacoby Brissett,43716743,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,18.0,,CPT,Jacoby Brissett,dk,11400,jacoby brissett,ARI,QB,showdown,00-0033119,auto_exact,high
QB,Bryce Young (43716744),Bryce Young,43716744,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,15.4,,CPT,Bryce Young,dk,11400,bryce young,CAR,QB,showdown,00-0039150,auto_exact,high
RB,Chuba Hubbard (43716745),Chuba Hubbard,43716745,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,9.1,,CPT,Chuba Hubbard,dk,11400,chuba hubbard,CAR,RB,showdown,00-0036555,auto_exact,high
RB,Jeremiyah Love (43716746),Jeremiyah Love,43716746,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,0.0,,CPT,Jeremiyah Love,dk,11400,jeremiyah love,ARI,RB,showdown,,,
WR,Tetairoa McMillan (43716747),Tetairoa McMillan,43716747,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,12.9,,CPT,Tetairoa McMillan,dk,11400,tetairoa mcmillan,CAR,WR,showdown,00-0040124,auto_exact,high
WR,Marvin Harrison Jr. (43716748),Marvin Harrison Jr.,43716748,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,10.7,,CPT,Marvin Harrison Jr.,dk,11400,marvin harrison,ARI,WR,showdown,00-0039849,auto_exact,high
TE,Trey McBride (43716749),Trey McBride,43716749,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,19.1,,CPT,Trey McBride,dk,11400,trey mcbride,ARI,TE,showdown,00-0037744,auto_exact,high
TE,Tommy Tremble (43716750),Tommy Tremble,43716750,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,3.8,,CPT,Tommy Tremble,dk,11400,tommy tremble,CAR,TE,showdown,00-0037005,auto_exact,high
K,Ryan Fitzgerald (43716751),Ryan Fitzgerald,43716751,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,6.6,,CPT,Ryan Fitzgerald,dk,11400,ryan fitzgerald,CAR,K,showdown,00-0040279,auto_exact,high
K,Chad Ryland (43716752),Chad Ryland,43716752,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,ARI,7.6,,CPT,Chad Ryland,dk,11400,chad ryland,ARI,K,showdown,00-0038567,auto_exact,high
DST,Panthers (43716753),Panthers,43716753,CPT,11400,CAR@ARI 08/06/2026 08:00PM ET,CAR,5.9,,CPT,Panthers,dk,11400,panthers,CAR,DST,showdown,DST_CAR,team_defense,high
