Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Patrick Mahomes II,QB,KC,7200,1523,QB,KC@LV,23.006666666666668,rotoguru_gid,Patrick Mahomes II,dk,7200,patrick mahomes,KC,QB,00-0033873,auto_exact,high
Dak Prescott,QB,DAL,6900,1501,QB,DAL@ATL,23.62857142857143,rotoguru_gid,Dak Prescott,dk,6900,dak prescott,DAL,QB,00-0033077,auto_exact,high
Josh Allen,QB,BUF,7900,1529,QB,BUF@NYJ,26.4175,rotoguru_gid,Josh Allen,dk,7900,josh allen,BUF,QB,00-0034857,auto_exact,high
Trevor Siemian,QB,NO,5200,1488,QB,NO@TEN,13.760000000000002,rotoguru_gid,Trevor Siemian,dk,5200,trevor siemian,NO,QB,00-0032156,auto_exact,high
Mac Jones,QB,NE,5300,1572,QB,NE@CLE,14.371111111111112,rotoguru_gid,Mac Jones,dk,5300,mac jones,NE,QB,00-0036972,auto_exact,high
Jalen Hurts,QB,PHI,6500,1554,QB,PHI@DEN,23.293333333333333,rotoguru_gid,Jalen Hurts,dk,6500,jalen hurts,PHI,QB,00-0036389,auto_exact,high
Derek Carr,QB,LV,6000,1441,QB,LV@KC,20.625,rotoguru_gid,Derek Carr,dk,6000,derek carr,LV,QB,00-0031280,auto_exact,high
Ryan Tannehill,QB,TEN,6200,1410,QB,TEN@NO,18.288888888888888,rotoguru_gid,Ryan Tannehill,dk,6200,ryan tannehill,TEN,QB,00-0029701,auto_exact,high
Kirk Cousins,QB,MIN,6100,1415,QB,MIN@LAC,21.275,rotoguru_gid,Kirk Cousins,dk,6100,kirk cousins,MIN,QB,00-0029604,auto_exact,high
Lamar Jackson,QB,BAL,7800,1527,QB,BAL@MIA,27.295,rotoguru_gid,Lamar Jackson,dk,7800,lamar jackson,BAL,QB,00-0034796,auto_exact,high
Mason Rudolph,QB,PIT,4100,1526,QB,PIT@DET,,rotoguru_gid,Mason Rudolph,dk,4100,mason rudolph,PIT,QB,00-0034771,auto_exact,high
Taylor Heinicke,QB,WAS,5400,1487,QB,WAS@TB,18.015,rotoguru_gid,Taylor Heinicke,dk,5400,taylor heinicke,WAS,QB,00-0031800,auto_exact,high
Jimmy Garoppolo,QB,SF,5500,1452,QB,SF@LA,18.06571428571429,rotoguru_gid,Jimmy Garoppolo,dk,5500,jimmy garoppolo,SF,QB,00-0031345,auto_exact,high
Tom Brady,QB,TB,7600,1131,QB,TB@WAS,27.6125,rotoguru_gid,Tom Brady,dk,7600,tom brady,TB,QB,00-0019596,auto_exact,high
Justin Herbert,QB,LAC,7300,1552,QB,LAC@MIN,24.8125,rotoguru_gid,Justin Herbert,dk,7300,justin herbert,LAC,QB,00-0036355,auto_exact,high
Tua Tagovailoa,QB,MIA,5600,1551,QB,MIA@BAL,17.56,rotoguru_gid,Tua Tagovailoa,dk,5600,tua tagovailoa,MIA,QB,00-0036212,auto_exact,high
Matthew Stafford,QB,LA,7000,1340,QB,LA@SF,24.17111111111111,rotoguru_gid,Matthew Stafford,dk,7000,matthew stafford,LA,QB,00-0026498,auto_exact,high
Cam Newton,QB,CAR,0,1378,QB,CAR@ARI,,rotoguru_gid,Cam Newton,dk,0,cam newton,CAR,QB,00-0027939,auto_exact,high
Aaron Rodgers,QB,GB,7100,1252,QB,GB@SEA,20.1325,rotoguru_gid,Aaron Rodgers,dk,7100,aaron rodgers,GB,QB,00-0023459,auto_exact,high
Trevor Lawrence,QB,JAX,5300,1565,QB,JAX@IND,15.555,rotoguru_gid,Trevor Lawrence,dk,5300,trevor lawrence,JAX,QB,00-0036971,auto_exact,high
Teddy Bridgewater,QB,DEN,5500,1439,QB,DEN@PHI,17.491111111111113,rotoguru_gid,Teddy Bridgewater,dk,5500,teddy bridgewater,DEN,QB,00-0031237,auto_exact,high
Russell Wilson,QB,SEA,6700,1412,QB,SEA@GB,20.528,rotoguru_gid,Russell Wilson,dk,6700,russell wilson,SEA,QB,00-0029263,auto_exact,high
P.J. Walker,QB,CAR,5000,1558,QB,CAR@ARI,0.84,rotoguru_gid,P.J. Walker,dk,5000,pj walker,CAR,QB,00-0033275,auto_exact,high
Brian Hoyer,QB,NE,4000,1336,QB,NE@CLE,1.28,rotoguru_gid,Brian Hoyer,dk,4000,brian hoyer,NE,QB,00-0026625,auto_exact,high
Carson Wentz,QB,IND,5900,1514,QB,IND@JAX,19.224444444444444,rotoguru_gid,Carson Wentz,dk,5900,carson wentz,IND,QB,00-0032950,auto_exact,high
Jacoby Brissett,QB,MIA,5100,1496,QB,MIA@BAL,10.354285714285714,rotoguru_gid,Jacoby Brissett,dk,5100,jacoby brissett,MIA,QB,00-0033119,auto_exact,high
Mike White,QB,NYJ,5100,1576,QB,NYJ@BUF,16.326666666666664,rotoguru_gid,Mike White,dk,5100,mike white,NYJ,QB,00-0034401,auto_exact,high
Baker Mayfield,QB,CLE,5400,1528,QB,CLE@NE,16.0975,rotoguru_gid,Baker Mayfield,dk,5400,baker mayfield,CLE,QB,00-0034855,auto_exact,high
Joe Flacco,QB,NYJ,4500,1302,QB,NYJ@BUF,,rotoguru_gid,Joe Flacco,dk,4500,joe flacco,NYJ,QB,00-0026158,auto_exact,high
Taysom Hill,QB,NO,5200,1530,QB,NO@TEN,5.6000000000000005,rotoguru_gid,Taysom Hill,dk,5200,taysom hill,NO,QB,00-0033357,auto_fallback_name_only_position_mismatch,low
Jared Goff,QB,DET,5200,1490,QB,DET@PIT,15.05,rotoguru_gid,Jared Goff,dk,5200,jared goff,DET,QB,00-0033106,auto_exact,high
Case Keenum,QB,CLE,4900,1435,QB,CLE@NE,3.225,rotoguru_gid,Case Keenum,dk,4900,case keenum,CLE,QB,00-0028986,auto_exact,high
Matt Ryan,QB,ATL,6000,1301,QB,ATL@DAL,20.2475,rotoguru_gid,Matt Ryan,dk,6000,matt ryan,ATL,QB,00-0026143,auto_exact,high
Colt McCoy,QB,ARI,5000,1361,QB,ARI@CAR,3.915000000000001,rotoguru_gid,Colt McCoy,dk,5000,colt mccoy,ARI,QB,00-0027688,auto_exact,high
Chris Streveler,QB,ARI,4000,1553,QB,ARI@CAR,0.2,rotoguru_gid,Chris Streveler,dk,4000,chris streveler,ARI,QB,00-0035752,auto_exact,high
Cooper Rush,QB,DAL,4800,1521,QB,DAL@ATL,11.1,rotoguru_gid,Cooper Rush,dk,4800,cooper rush,DAL,QB,00-0033662,auto_exact,high
Marcus Mariota,QB,LV,4000,1466,QB,LV@KC,1.3666666666666665,rotoguru_gid,Marcus Mariota,dk,4000,marcus mariota,LV,QB,00-0032268,auto_exact,high
Feleipe Franks,QB,ATL,4000,1575,QB,ATL@DAL,0.1999999999999999,rotoguru_gid,Feleipe Franks,dk,4000,feleipe franks,ATL,QB,00-0036825,auto_fallback_name_only_position_mismatch,low
Chad Henne,QB,KC,4000,1309,QB,KC@LV,3.68,rotoguru_gid,Chad Henne,dk,4000,chad henne,KC,QB,00-0026197,auto_exact,high
Davis Webb,QB,BUF,4000,1531,QB,BUF@NYJ,,rotoguru_gid,Davis Webb,dk,4000,davis webb,BUF,QB,00-0033550,auto_exact,high
Josh Rosen,QB,ATL,4200,1525,QB,ATL@DAL,0.0,rotoguru_gid,Josh Rosen,dk,4200,josh rosen,ATL,QB,00-0034343,auto_exact,high
Darrel Williams,RB,KC,5400,5708,RB,KC@LV,10.333333333333334,rotoguru_gid,Darrel Williams,dk,5400,darrel williams,KC,RB,00-0034301,auto_exact,high
Rhamondre Stevenson,RB,NE,4500,5918,RB,NE@CLE,7.040000000000001,rotoguru_gid,Rhamondre Stevenson,dk,4500,rhamondre stevenson,NE,RB,00-0036875,auto_exact,high
Jonathan Taylor,RB,IND,8100,5820,RB,IND@JAX,22.48888888888889,rotoguru_gid,Jonathan Taylor,dk,8100,jonathan taylor,IND,RB,00-0036223,auto_exact,high
AJ Dillon,RB,GB,4800,5825,RB,GB@SEA,7.544444444444445,rotoguru_gid,AJ Dillon,dk,4800,aj dillon,GB,RB,00-0036265,auto_exact,high
Christian McCaffrey,RB,CAR,8400,5536,RB,CAR@ARI,18.25,rotoguru_gid,Christian McCaffrey,dk,8400,christian mccaffrey,CAR,RB,00-0033280,auto_exact,high
D'Ernest Johnson,RB,CLE,4700,5746,RB,CLE@NE,4.677777777777778,rotoguru_gid,D'Ernest Johnson,dk,4700,dernest johnson,CLE,RB,00-0035628,auto_exact,high
Antonio Gibson,RB,WAS,5500,5827,RB,WAS@TB,12.2,rotoguru_gid,Antonio Gibson,dk,5500,antonio gibson,WAS,RB,00-0036328,auto_exact,high
Ezekiel Elliott,RB,DAL,7000,5444,RB,DAL@ATL,18.0625,rotoguru_gid,Ezekiel Elliott,dk,7000,ezekiel elliott,DAL,RB,00-0033045,auto_exact,high
Dalvin Cook,RB,MIN,8000,5559,RB,MIN@LAC,16.483333333333334,rotoguru_gid,Dalvin Cook,dk,8000,dalvin cook,MIN,RB,00-0033893,auto_exact,high
Mark Ingram,RB,NO,4500,2793,RB,NO@TEN,7.044444444444444,rotoguru_gid,Mark Ingram,dk,4500,mark ingram,NO,RB,00-0027966,auto_exact,high
Najee Harris,RB,PIT,7900,5904,RB,PIT@DET,20.625,rotoguru_gid,Najee Harris,dk,7900,najee harris,PIT,RB,00-0036893,auto_exact,high
D'Andre Swift,RB,DET,6800,5822,RB,DET@PIT,18.3,rotoguru_gid,D'Andre Swift,dk,6800,dandre swift,DET,RB,00-0036275,auto_exact,high
Matt Breida,RB,BUF,4000,5567,RB,BUF@NYJ,0.2,rotoguru_gid,Matt Breida,dk,4000,matt breida,BUF,RB,00-0033308,auto_exact,high
James Robinson,RB,JAX,6200,5849,RB,JAX@IND,16.071428571428573,rotoguru_gid,James Robinson,dk,6200,james robinson,JAX,RB,00-0035831,auto_exact,high
Michael Carter,RB,NYJ,5600,5907,RB,NYJ@BUF,12.8875,rotoguru_gid,Michael Carter,dk,5600,michael carter,NYJ,RB,00-0036924,auto_exact,high
Leonard Fournette,RB,TB,6100,5534,RB,TB@WAS,15.2125,rotoguru_gid,Leonard Fournette,dk,6100,leonard fournette,TB,RB,00-0033856,auto_exact,high
Tony Pollard,RB,DAL,4600,5718,RB,DAL@ATL,10.1375,rotoguru_gid,Tony Pollard,dk,4600,tony pollard,DAL,RB,00-0035261,auto_exact,high
James Conner,RB,ARI,6300,5537,RB,ARI@CAR,14.72222222222222,rotoguru_gid,James Conner,dk,6300,james conner,ARI,RB,00-0033553,auto_exact,high
Austin Ekeler,RB,LAC,7600,5575,RB,LAC@MIN,21.05,rotoguru_gid,Austin Ekeler,dk,7600,austin ekeler,LAC,RB,00-0033699,auto_exact,high
Aaron Jones,RB,GB,6900,5543,RB,GB@SEA,16.922222222222224,rotoguru_gid,Aaron Jones,dk,6900,aaron jones,GB,RB,00-0033293,auto_exact,high
Boston Scott,RB,PHI,4900,5624,RB,PHI@DEN,3.822222222222222,rotoguru_gid,Boston Scott,dk,4900,boston scott,PHI,RB,00-0034414,auto_exact,high
Devin Singletary,RB,BUF,4700,5717,RB,BUF@NYJ,8.8375,rotoguru_gid,Devin Singletary,dk,4700,devin singletary,BUF,RB,00-0035250,auto_exact,high
Godwin Igwebuike,RB,DET,4000,5950,RB,DET@PIT,1.1,rotoguru_gid,Godwin Igwebuike,dk,4000,godwin igwebuike,DET,RB,00-0034614,auto_exact,high
Melvin Gordon,RB,DEN,5300,2991,RB,DEN@PHI,13.566666666666666,rotoguru_gid,Melvin Gordon,dk,5300,melvin gordon,DEN,RB,00-0032144,auto_exact,high
Jermar Jefferson,RB,DET,4000,5913,RB,DET@PIT,6.45,rotoguru_gid,Jermar Jefferson,dk,4000,jermar jefferson,DET,RB,00-0036670,auto_exact,high
Brandon Bolden,RB,NE,4400,2874,RB,NE@CLE,6.411111111111111,rotoguru_gid,Brandon Bolden,dk,4400,brandon bolden,NE,RB,00-0029239,auto_exact,high
D'Onta Foreman,RB,TEN,4000,5539,RB,TEN@NO,2.9,rotoguru_gid,D'Onta Foreman,dk,4000,donta foreman,TEN,RB,00-0033925,auto_exact,high
Elijah Mitchell,RB,SF,5700,5947,RB,SF@LA,15.033333333333331,rotoguru_gid,Elijah Mitchell,dk,5700,elijah mitchell,SF,RB,00-0036567,auto_exact,high
Ameer Abdullah,RB,CAR,4000,2995,RB,CAR@ARI,3.0375,rotoguru_gid,Ameer Abdullah,dk,4000,ameer abdullah,CAR,RB,00-0032104,auto_exact,high
Ty Johnson,RB,NYJ,4500,5742,RB,NYJ@BUF,9.05,rotoguru_gid,Ty Johnson,dk,4500,ty johnson,NYJ,RB,00-0035537,auto_exact,high
