Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Aaron Rodgers,QB,GB,6300,1252,QB,GB@DET,19.475,rotoguru_gid,Aaron Rodgers,dk,6300,aaron rodgers,GB,QB,00-0023459,auto_exact,high
Tom Brady,QB,NE,6300,1131,QB,NE@IND,17.28,rotoguru_gid,Tom Brady,dk,6300,tom brady,NE,QB,00-0019596,auto_exact,high
Drew Brees,QB,NO,6400,1151,QB,NO@WAS,26.075,rotoguru_gid,Drew Brees,dk,6400,drew brees,NO,QB,00-0020531,auto_exact,high
Blake Bortles,QB,JAX,5500,1442,QB,JAX@KC,22.01,rotoguru_gid,Blake Bortles,dk,5500,blake bortles,JAX,QB,00-0031407,auto_exact,high
C.J. Beathard,QB,SF,4900,1520,QB,SF@ARI,9.91,rotoguru_gid,C.J. Beathard,dk,4900,cj beathard,SF,QB,00-0033936,auto_exact,high
Andrew Luck,QB,IND,5800,1409,QB,IND@NE,22.585,rotoguru_gid,Andrew Luck,dk,5800,andrew luck,IND,QB,00-0029668,auto_exact,high
Case Keenum,QB,DEN,5600,1435,QB,DEN@NYJ,14.03,rotoguru_gid,Case Keenum,dk,5600,case keenum,DEN,QB,00-0028986,auto_exact,high
Carson Wentz,QB,PHI,5800,1514,QB,PHI@MIN,18.96,rotoguru_gid,Carson Wentz,dk,5800,carson wentz,PHI,QB,00-0032950,auto_exact,high
Deshaun Watson,QB,HOU,6200,1518,QB,HOU@DAL,25.985,rotoguru_gid,Deshaun Watson,dk,6200,deshaun watson,HOU,QB,00-0033537,auto_exact,high
Philip Rivers,QB,LAC,6700,1231,QB,LAC@LV,23.86,rotoguru_gid,Philip Rivers,dk,6700,philip rivers,LAC,QB,00-0022942,auto_exact,high
Eli Manning,QB,NYG,4900,1225,QB,NYG@CAR,14.55,rotoguru_gid,Eli Manning,dk,4900,eli manning,NYG,QB,00-0022803,auto_exact,high
Ben Roethlisberger,QB,PIT,6900,1232,QB,PIT@ATL,25.715,rotoguru_gid,Ben Roethlisberger,dk,6900,ben roethlisberger,PIT,QB,00-0022924,auto_exact,high
Baker Mayfield,QB,CLE,5300,1528,QB,CLE@BAL,13.32,rotoguru_gid,Baker Mayfield,dk,5300,baker mayfield,CLE,QB,00-0034855,auto_exact,high
Patrick Mahomes II,QB,KC,6200,1523,QB,KC@JAX,31.075000000000003,rotoguru_gid,Patrick Mahomes II,dk,6200,patrick mahomes,KC,QB,00-0033873,auto_exact,high
Russell Wilson,QB,SEA,5100,1412,QB,SEA@LA,15.93,rotoguru_gid,Russell Wilson,dk,5100,russell wilson,SEA,QB,00-0029263,auto_exact,high
Sam Darnold,QB,NYJ,4700,1524,QB,NYJ@DEN,12.38,rotoguru_gid,Sam Darnold,dk,4700,sam darnold,NYJ,QB,00-0034869,auto_exact,high
Jared Goff,QB,LA,6500,1490,QB,LA@SEA,27.86,rotoguru_gid,Jared Goff,dk,6500,jared goff,LA,QB,00-0033106,auto_exact,high
Cam Newton,QB,CAR,6400,1378,QB,CAR@NYG,26.48,rotoguru_gid,Cam Newton,dk,6400,cam newton,CAR,QB,00-0027939,auto_exact,high
Kirk Cousins,QB,MIN,6000,1415,QB,MIN@PHI,26.645,rotoguru_gid,Kirk Cousins,dk,6000,kirk cousins,MIN,QB,00-0029604,auto_exact,high
Alex Smith,QB,WAS,5700,1254,QB,WAS@NO,16.826666666666668,rotoguru_gid,Alex Smith,dk,5700,alex smith,WAS,QB,00-0023436,auto_exact,high
Matt Ryan,QB,ATL,6600,1301,QB,ATL@PIT,29.235,rotoguru_gid,Matt Ryan,dk,6600,matt ryan,ATL,QB,00-0026143,auto_exact,high
Matthew Stafford,QB,DET,5700,1340,QB,DET@GB,20.745,rotoguru_gid,Matthew Stafford,dk,5700,matthew stafford,DET,QB,00-0026498,auto_exact,high
Derek Carr,QB,LV,5200,1441,QB,LV@LAC,20.73,rotoguru_gid,Derek Carr,dk,5200,derek carr,LV,QB,00-0031280,auto_exact,high
Andy Dalton,QB,CIN,5900,1403,QB,CIN@MIA,23.495,rotoguru_gid,Andy Dalton,dk,5900,andy dalton,CIN,QB,00-0027973,auto_exact,high
Dak Prescott,QB,DAL,5500,1501,QB,DAL@HOU,13.455,rotoguru_gid,Dak Prescott,dk,5500,dak prescott,DAL,QB,00-0033077,auto_exact,high
Joe Flacco,QB,BAL,5400,1302,QB,BAL@CLE,21.52,rotoguru_gid,Joe Flacco,dk,5400,joe flacco,BAL,QB,00-0026158,auto_exact,high
Josh Rosen,QB,ARI,4700,1525,QB,ARI@SF,7.07,rotoguru_gid,Josh Rosen,dk,4700,josh rosen,ARI,QB,00-0034343,auto_exact,high
Josh Allen,QB,BUF,4800,1529,QB,BUF@TEN,13.31,rotoguru_gid,Josh Allen,dk,4800,josh allen,BUF,QB,00-0034857,auto_exact,high
Ryan Tannehill,QB,MIA,5200,1410,QB,MIA@CIN,15.47,rotoguru_gid,Ryan Tannehill,dk,5200,ryan tannehill,MIA,QB,00-0029701,auto_exact,high
Taysom Hill,QB,NO,4000,1530,QB,NO@WAS,1.925,rotoguru_gid,Taysom Hill,dk,4000,taysom hill,NO,QB,00-0033357,auto_fallback_name_only_position_mismatch,low
Marcus Mariota,QB,TEN,6100,1466,QB,TEN@BUF,15.693333333333332,rotoguru_gid,Marcus Mariota,dk,6100,marcus mariota,TEN,QB,00-0032268,auto_exact,high
