Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Drew Brees,QB,NO,8400,1151,QB,NO@CHI,22.10153846153846,rotoguru_gid,Drew Brees,dk,8400,drew brees,NO,QB,00-0020531,auto_exact,high
Matt Ryan,QB,ATL,6600,1301,QB,ATL@PIT,20.275384615384613,rotoguru_gid,Matt Ryan,dk,6600,matt ryan,ATL,QB,00-0026143,auto_exact,high
Eli Manning,QB,NYG,6400,1225,QB,NYG@WAS,17.46153846153846,rotoguru_gid,Eli Manning,dk,6400,eli manning,NYG,QB,00-0022803,auto_exact,high
Alex Smith,QB,KC,5500,1254,QB,KC@LV,15.029230769230768,rotoguru_gid,Alex Smith,dk,5500,alex smith,KC,QB,00-0023436,auto_exact,high
Tony Romo,QB,DAL,7300,1233,QB,DAL@PHI,17.776666666666667,rotoguru_gid,Tony Romo,dk,7300,tony romo,DAL,QB,00-0021678,auto_exact,high
Ryan Tannehill,QB,MIA,6500,1410,QB,MIA@NE,17.835384615384616,rotoguru_gid,Ryan Tannehill,dk,6500,ryan tannehill,MIA,QB,00-0029701,auto_exact,high
Teddy Bridgewater,QB,MIN,5400,1439,QB,MIN@DET,14.824000000000002,rotoguru_gid,Teddy Bridgewater,dk,5400,teddy bridgewater,MIN,QB,00-0031237,auto_exact,high
Tom Brady,QB,NE,8100,1131,QB,NE@MIA,20.72307692307692,rotoguru_gid,Tom Brady,dk,8100,tom brady,NE,QB,00-0019596,auto_exact,high
Ben Roethlisberger,QB,PIT,7900,1232,QB,PIT@ATL,22.73846153846154,rotoguru_gid,Ben Roethlisberger,dk,7900,ben roethlisberger,PIT,QB,00-0022924,auto_exact,high
Robert Griffin III,QB,WAS,5600,1408,QB,WAS@NYG,8.18,rotoguru_gid,Robert Griffin III,dk,5600,robert griffin,WAS,QB,00-0029665,auto_exact,high
Jay Cutler,QB,CHI,7500,1263,QB,CHI@NO,20.364615384615384,rotoguru_gid,Jay Cutler,dk,7500,jay cutler,CHI,QB,00-0024226,auto_exact,high
Derek Anderson,QB,CAR,5000,1239,QB,CAR@TB,6.792,rotoguru_gid,Derek Anderson,dk,5000,derek anderson,CAR,QB,00-0023645,auto_exact,high
Andrew Luck,QB,IND,9300,1409,QB,IND@HOU,28.4,rotoguru_gid,Andrew Luck,dk,9300,andrew luck,IND,QB,00-0029668,auto_exact,high
Josh McCown,QB,TB,5600,1175,QB,TB@CAR,15.325,rotoguru_gid,Josh McCown,dk,5600,josh mccown,TB,QB,00-0021206,auto_exact,high
Joe Flacco,QB,BAL,6900,1302,QB,BAL@JAX,18.37846153846154,rotoguru_gid,Joe Flacco,dk,6900,joe flacco,BAL,QB,00-0026158,auto_exact,high
Peyton Manning,QB,DEN,8900,1081,QB,DEN@SDG,23.753846153846155,rotoguru_gid,Peyton Manning,dk,8900,peyton manning,DEN,QB,00-0010346,auto_exact,high
Geno Smith,QB,NYJ,5100,1426,QB,NYJ@TEN,10.692727272727272,rotoguru_gid,Geno Smith,dk,5100,geno smith,NYJ,QB,00-0030565,auto_exact,high
Russell Wilson,QB,SEA,8000,1412,QB,SEA@SF,22.273846153846154,rotoguru_gid,Russell Wilson,dk,8000,russell wilson,SEA,QB,00-0029263,auto_exact,high
Derek Carr,QB,LV,5200,1441,QB,LV@KC,13.318461538461538,rotoguru_gid,Derek Carr,dk,5200,derek carr,LV,QB,00-0031280,auto_exact,high
Philip Rivers,QB,SDG,6200,1231,QB,SDG@DEN,19.013846153846156,rotoguru_gid,Philip Rivers,dk,6200,philip rivers,SDG,QB,00-0022942,auto_fallback_team_mismatch,medium
Matthew Stafford,QB,DET,7800,1340,QB,DET@MIN,18.25846153846154,rotoguru_gid,Matthew Stafford,dk,7800,matthew stafford,DET,QB,00-0026498,auto_exact,high
Colin Kaepernick,QB,SF,5600,1404,QB,SF@SEA,15.961538461538462,rotoguru_gid,Colin Kaepernick,dk,5600,colin kaepernick,SF,QB,00-0027974,auto_exact,high
Charlie Whitehurst,QB,TEN,5000,1272,QB,TEN@NYJ,13.39,rotoguru_gid,Charlie Whitehurst,dk,5000,charlie whitehurst,TEN,QB,00-0024296,auto_exact,high
Shaun Hill,QB,LA,5600,1213,QB,LA@ARI,10.45,rotoguru_gid,Shaun Hill,dk,5600,shaun hill,LA,QB,00-0020679,auto_exact,high
Aaron Rodgers,QB,GB,9200,1252,QB,GB@BUF,25.68307692307692,rotoguru_gid,Aaron Rodgers,dk,9200,aaron rodgers,GB,QB,00-0023459,auto_exact,high
Mark Sanchez,QB,PHI,6500,1339,QB,PHI@DAL,18.383333333333333,rotoguru_gid,Mark Sanchez,dk,6500,mark sanchez,PHI,QB,00-0026898,auto_exact,high
Blake Bortles,QB,JAX,5200,1442,QB,JAX@BAL,14.29090909090909,rotoguru_gid,Blake Bortles,dk,5200,blake bortles,JAX,QB,00-0031407,auto_exact,high
Kyle Orton,QB,BUF,5500,1250,QB,BUF@GB,17.477777777777778,rotoguru_gid,Kyle Orton,dk,5500,kyle orton,BUF,QB,00-0023541,auto_exact,high
Drew Stanton,QB,ARI,5400,1290,QB,ARI@LA,12.260000000000002,rotoguru_gid,Drew Stanton,dk,5400,drew stanton,ARI,QB,00-0025430,auto_exact,high
Andy Dalton,QB,CIN,6100,1403,QB,CIN@CLE,16.74923076923077,rotoguru_gid,Andy Dalton,dk,6100,andy dalton,CIN,QB,00-0027973,auto_exact,high
Colt McCoy,QB,WAS,5600,1361,QB,WAS@NYG,16.48,rotoguru_gid,Colt McCoy,dk,5600,colt mccoy,WAS,QB,00-0027688,auto_exact,high
Jake Locker,QB,TEN,5400,1382,QB,TEN@NYJ,11.49,rotoguru_gid,Jake Locker,dk,5400,jake locker,TEN,QB,00-0027946,auto_exact,high
Ryan Fitzpatrick,QB,HOU,5800,1242,QB,HOU@IND,17.21090909090909,rotoguru_gid,Ryan Fitzpatrick,dk,5800,ryan fitzpatrick,HOU,QB,00-0023682,auto_exact,high
Tom Savage,QB,HOU,5000,1443,QB,HOU@IND,-0.2,rotoguru_gid,Tom Savage,dk,5000,tom savage,HOU,QB,00-0031064,auto_exact,high
Johnny Manziel,QB,CLE,5900,1438,QB,CLE@CIN,2.455,rotoguru_gid,Johnny Manziel,dk,5900,johnny manziel,CLE,QB,00-0031409,auto_exact,high
Ryan Lindley,QB,ARI,5000,1416,QB,ARI@LA,,rotoguru_gid,Ryan Lindley,dk,5000,ryan lindley,ARI,QB,00-0029531,auto_exact,high
Luke McCown,QB,NO,5000,1227,QB,NO@CHI,0.0,rotoguru_gid,Luke McCown,dk,5000,luke mccown,NO,QB,00-0022864,manual_override,high
Jimmy Garoppolo,QB,NE,5000,1452,QB,NE@MIA,1.745,rotoguru_gid,Jimmy Garoppolo,dk,5000,jimmy garoppolo,NE,QB,00-0031345,auto_exact,high
Brock Osweiler,QB,DEN,5000,1414,QB,DEN@SDG,0.36,rotoguru_gid,Brock Osweiler,dk,5000,brock osweiler,DEN,QB,00-0029682,auto_exact,high
Chase Daniel,QB,KC,5000,1334,QB,KC@LV,0.0,rotoguru_gid,Chase Daniel,dk,5000,chase daniel,KC,QB,00-0026544,auto_exact,high
Jeremy Hill,RB,CIN,4300,2928,RB,CIN@CLE,12.153846153846152,rotoguru_gid,Jeremy Hill,dk,4300,jeremy hill,CIN,RB,00-0031301,auto_exact,high
