Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Josh Jacobs (43727347),Josh Jacobs,43727347,RB/FLEX,6300,GB@MIN 09/13/2026 04:25PM ET,GB,15.4,OUT,Josh Jacobs,dk,6300,josh jacobs,GB,RB,classic,00-0035700,auto_exact,high
WR,Tee Higgins (43727647),Tee Higgins,43727647,WR/FLEX,6300,TB@CIN 09/13/2026 01:00PM ET,CIN,14.3,Q,Tee Higgins,dk,6300,tee higgins,CIN,WR,classic,00-0036410,auto_exact,high
RB,Breece Hall (43727349),Breece Hall,43727349,RB/FLEX,6200,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,13.9,Q,Breece Hall,dk,6200,breece hall,NYJ,RB,classic,00-0038120,auto_exact,high
WR,Emeka Egbuka (43727649),Emeka Egbuka,43727649,WR/FLEX,6200,TB@CIN 09/13/2026 01:00PM ET,TB,12.0,Q,Emeka Egbuka,dk,6200,emeka egbuka,TB,WR,classic,00-0040129,auto_exact,high
QB,Justin Herbert (43727240),Justin Herbert,43727240,QB,6100,ARI@LAC 09/13/2026 04:25PM ET,LAC,19.1,,Justin Herbert,dk,6100,justin herbert,LAC,QB,classic,00-0036355,auto_exact,high
RB,D'Andre Swift (43727351),D'Andre Swift,43727351,RB/FLEX,6100,CHI@CAR 09/13/2026 01:00PM ET,CHI,14.7,,D'Andre Swift,dk,6100,dandre swift,CHI,RB,classic,00-0036275,auto_exact,high
WR,Tetairoa McMillan (43727651),Tetairoa McMillan,43727651,WR/FLEX,6100,CHI@CAR 09/13/2026 01:00PM ET,CAR,12.9,,Tetairoa McMillan,dk,6100,tetairoa mcmillan,CAR,WR,classic,00-0040124,auto_exact,high
QB,Jared Goff (43727241),Jared Goff,43727241,QB,6000,NO@DET 09/13/2026 01:00PM ET,DET,19.3,,Jared Goff,dk,6000,jared goff,DET,QB,classic,00-0033106,auto_exact,high
RB,David Montgomery (43727353),David Montgomery,43727353,RB/FLEX,6000,BUF@HOU 09/13/2026 01:00PM ET,HOU,10.1,,David Montgomery,dk,6000,david montgomery,HOU,RB,classic,00-0035685,auto_fallback_team_mismatch,medium
WR,Jameson Williams (43727653),Jameson Williams,43727653,WR/FLEX,6000,NO@DET 09/13/2026 01:00PM ET,DET,13.6,,Jameson Williams,dk,6000,jameson williams,DET,WR,classic,00-0037240,auto_exact,high
QB,Baker Mayfield (43727242),Baker Mayfield,43727242,QB,5900,TB@CIN 09/13/2026 01:00PM ET,TB,17.2,,Baker Mayfield,dk,5900,baker mayfield,TB,QB,classic,00-0034855,auto_exact,high
RB,Travis Etienne Jr. (43727355),Travis Etienne Jr.,43727355,RB/FLEX,5900,NO@DET 09/13/2026 01:00PM ET,NO,15.7,,Travis Etienne Jr.,dk,5900,travis etienne,NO,RB,classic,00-0036973,auto_fallback_team_mismatch,medium
WR,Christian Watson (43727655),Christian Watson,43727655,WR/FLEX,5900,GB@MIN 09/13/2026 04:25PM ET,GB,13.5,,Christian Watson,dk,5900,christian watson,GB,WR,classic,00-0038124,auto_exact,high
WR,Ladd McConkey (43727657),Ladd McConkey,43727657,WR/FLEX,5900,ARI@LAC 09/13/2026 04:25PM ET,LAC,11.4,,Ladd McConkey,dk,5900,ladd mcconkey,LAC,WR,classic,00-0039915,auto_exact,high
QB,Trevor Lawrence (43727243),Trevor Lawrence,43727243,QB,5800,CLE@JAX 09/13/2026 01:00PM ET,JAX,21.0,,Trevor Lawrence,dk,5800,trevor lawrence,JAX,QB,classic,00-0036971,auto_exact,high
RB,Bhayshul Tuten (43727357),Bhayshul Tuten,43727357,RB/FLEX,5800,CLE@JAX 09/13/2026 01:00PM ET,JAX,5.9,Q,Bhayshul Tuten,dk,5800,bhayshul tuten,JAX,RB,classic,00-0040719,auto_exact,high
WR,Jordan Addison (43727659),Jordan Addison,43727659,WR/FLEX,5800,GB@MIN 09/13/2026 04:25PM ET,MIN,10.1,,Jordan Addison,dk,5800,jordan addison,MIN,WR,classic,00-0038994,auto_exact,high
WR,Garrett Wilson (43727661),Garrett Wilson,43727661,WR/FLEX,5800,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,14.2,,Garrett Wilson,dk,5800,garrett wilson,NYJ,WR,classic,00-0037740,auto_exact,high
QB,Jordan Love (43727244),Jordan Love,43727244,QB,5700,GB@MIN 09/13/2026 04:25PM ET,GB,17.6,,Jordan Love,dk,5700,jordan love,GB,QB,classic,00-0036264,auto_exact,high
RB,Bucky Irving (43727359),Bucky Irving,43727359,RB/FLEX,5700,TB@CIN 09/13/2026 01:00PM ET,TB,14.3,,Bucky Irving,dk,5700,bucky irving,TB,RB,classic,00-0039361,auto_exact,high
WR,Terry McLaurin (43727663),Terry McLaurin,43727663,WR/FLEX,5700,WAS@PHI 09/13/2026 04:25PM ET,WAS,11.4,,Terry McLaurin,dk,5700,terry mclaurin,WAS,WR,classic,00-0035659,auto_exact,high
WR,Alec Pierce (43727665),Alec Pierce,43727665,WR/FLEX,5700,BAL@IND 09/13/2026 01:00PM ET,IND,12.6,Q,Alec Pierce,dk,5700,alec pierce,IND,WR,classic,00-0037664,auto_exact,high
QB,Tyler Shough (43727245),Tyler Shough,43727245,QB,5600,NO@DET 09/13/2026 01:00PM ET,NO,15.6,,Tyler Shough,dk,5600,tyler shough,NO,QB,classic,00-0040743,auto_exact,high
RB,Tony Pollard (43727361),Tony Pollard,43727361,RB/FLEX,5600,NYJ@TEN 09/13/2026 01:00PM ET,TEN,11.6,,Tony Pollard,dk,5600,tony pollard,TEN,RB,classic,00-0035261,auto_exact,high
