site,source_name,source_team,source_position,player_id,notes
dk,Joshua Perkins,,TE,00-0032599,auto-resolved from RotoGuru unmatched (14 weeks); Josh Perkins in nflverse; team-agnostic
dk,D'Wayne Eskridge,,WR,00-0036620,auto-resolved from RotoGuru unmatched (12 weeks); Dee Eskridge in nflverse; team-agnostic
dk,Tim Wright,,TE,00-0029910,auto-resolved from RotoGuru unmatched (10 weeks); Timothy Wright in nflverse; team-agnostic
dk,Andrew Beck,,FB,00-0034959,auto-resolved from RotoGuru unmatched (9 weeks); Andrew Beck in nflverse; team-agnostic
dk,Khari Lee,,TE,00-0031922,auto-resolved from RotoGuru unmatched (8 weeks); Khari Lee in nflverse; team-agnostic
fd,Robby Anderson,,WR,00-0032688,auto-resolved from RotoGuru unmatched (96 weeks); Robbie Chosen in nflverse; team-agnostic
fd,Ben Watson,,TE,00-0022943,auto-resolved from RotoGuru unmatched (28 weeks); Benjamin Watson in nflverse; team-agnostic
fd,Dan Vitale,,RB,00-0032794,auto-resolved from RotoGuru unmatched (19 weeks); Danny Vitale in nflverse; team-agnostic
fd,Joshua Perkins,,TE,00-0032599,auto-resolved from RotoGuru unmatched (14 weeks); Josh Perkins in nflverse; team-agnostic
fd,D'Wayne Eskridge,,WR,00-0036620,auto-resolved from RotoGuru unmatched (12 weeks); Dee Eskridge in nflverse; team-agnostic
fd,Tim Wright,,TE,00-0029910,auto-resolved from RotoGuru unmatched (10 weeks); Timothy Wright in nflverse; team-agnostic
fd,Andrew Beck,,FB,00-0034959,auto-resolved from RotoGuru unmatched (9 weeks); Andrew Beck in nflverse; team-agnostic
fd,Khari Lee,,TE,00-0031922,auto-resolved from RotoGuru unmatched (8 weeks); Khari Lee in nflverse; team-agnostic
dk,Kenneth Gainwell,PIT,RB,00-0036919,Gainwell matched via nflverse 2025 weekly stats
dk,Scotty Miller,PIT,WR,00-0035298,S.Miller WR PIT in nflverse 2025 weekly stats
dk,M.Tinsley,CIN,WR,00-0038839,matched via nflverse 2025
dk,Joshua Palmer,BUF,WR,00-0036988,DK lists "Joshua Palmer"; nflverse uses "J.Palmer" - found via real Week 2 2026 DK Showdown export
dk,Nick Singleton,TEN,RB,00-0040886,matched via nflverse 2026 roster (Nicholas Singleton) - Week 2 2026 DK classic early
dk,Audric Estime,NO,RB,00-0039373,matched via nflverse 2026 roster (encoding fix for accented e) - Week 2 2026 DK classic early
dk,Hollywood Brown,PHI,WR,00-0035662,matched via nflverse (Marquise Brown nickname) - Week 2 2026 DK classic early
dk,Scotty Miller,CHI,WR,00-0035298,matched via nflverse 2026 roster (Scott Miller now on CHI) - Week 2 2026 DK classic early
dk,Mitch Tinsley,HOU,WR,00-0038839,matched via nflverse 2026 roster (Mitchell Tinsley now on HOU) - Week 2 2026 DK classic early
dk,Matt Hibner,BAL,TE,00-0040879,matched via nflverse 2026 roster (Matthew Hibner) - Week 2 2026 DK classic early
dk,Brandon Aiyuk,SF,WR,00-0036261,matched via nflverse 2025 roster - no 2025 stats (ACL recovery) and not yet on 2026 roster snapshot - Week 2 2026 DK classic afternoon
fd,Nick Singleton,TEN,RB,00-0040886,matched via nflverse 2026 roster (Nicholas Singleton) - Week 2 2026 FD classic main
fd,Audric Estime,NO,RB,00-0039373,matched via nflverse 2026 roster (encoding fix for accented e) - Week 2 2026 FD classic main
fd,Hollywood Brown,PHI,WR,00-0035662,matched via nflverse (Marquise Brown nickname) - Week 2 2026 FD classic main
fd,Scotty Miller,CHI,WR,00-0035298,matched via nflverse 2026 roster (Scott Miller now on CHI) - Week 2 2026 FD classic main
fd,Mitch Tinsley,HOU,WR,00-0038839,matched via nflverse 2026 roster (Mitchell Tinsley now on HOU) - Week 2 2026 FD classic main
fd,Matt Hibner,BAL,TE,00-0040879,matched via nflverse 2026 roster (Matthew Hibner) - Week 2 2026 FD classic main
fd,Matt Orzech,GB,TE,00-0035118,matched via nflverse 2026 roster (Matthew Orzech LS listed as TE by FD) - Week 2 2026 FD classic main
fd,Joshua Palmer,BUF,WR,00-0036988,FD lists formal 'Joshua'; nflverse uses 'Josh Palmer' - Week 3 2026 wk3_main unmatched fix
fd,Drew Ogletree,IND,TE,00-0037292,FD lists nickname 'Drew'; nflverse uses formal 'Andrew Ogletree' - Week 3 2026 wk3_main unmatched fix
