raw_name,normalized_name,actual_fpts,reason
Hollywood Brown,hollywood brown,0.0,no exact name match in final_projections; not a recognized DST format
Joshua Palmer,joshua palmer,10.4,no exact name match in final_projections; not a recognized DST format
Matt Hibner,matt hibner,2.3,no exact name match in final_projections; not a recognized DST format
Nick Singleton,nick singleton,0.0,no exact name match in final_projections; not a recognized DST format
Scotty Miller,scotty miller,0.0,no exact name match in final_projections; not a recognized DST format
