Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133105-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,18.53999938964844,20,13000,19500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jaxon Smith-Njigba,fd,13000,jaxon smith njigba,SEA,WR,showdown,00-0038543,auto_exact,high
133105-152316,QB,Drake,Drake Maye,Maye,20.54190499441964,21,12400,18600,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Drake Maye,fd,12400,drake maye,NE,QB,showdown,00-0039851,auto_exact,high
133105-63589,QB,Sam,Sam Darnold,Darnold,15.335000610351562,20,11600,17400,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Sam Darnold,fd,11600,sam darnold,SEA,QB,showdown,00-0034869,auto_exact,high
133105-72846,WR,A.J.,A.J. Brown,Brown,12.518750190734863,16,10800,16200,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,A.J. Brown,fd,10800,aj brown,NE,WR,showdown,00-0035676,auto_fallback_team_mismatch,medium
133105-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,11.783333672417534,18,10000,15000,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Rhamondre Stevenson,fd,10000,rhamondre stevenson,NE,RB,showdown,00-0036875,auto_exact,high
133105-103376,RB,Zach,Zach Charbonnet,Charbonnet,10.376470229204964,17,9600,14400,NE@SEA,SEA,NE,,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Zach Charbonnet,fd,9600,zach charbonnet,SEA,RB,showdown,00-0039165,auto_exact,high
133105-169381,RB,Jadarian,Jadarian Price,Price,,0,9200,13800,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jadarian Price,fd,9200,jadarian price,SEA,RB,showdown,00-0041512,auto_exact,high
133105-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,9.909524100167411,21,8600,12900,NE@SEA,NE,SEA,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX,FLEX,TreVeyon Henderson,fd,8600,treveyon henderson,NE,RB,showdown,00-0040734,auto_exact,high
133105-94370,WR,Romeo,Romeo Doubs,Doubs,9.60588253245634,17,8200,12300,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Romeo Doubs,fd,8200,romeo doubs,NE,WR,showdown,00-0037816,auto_fallback_team_mismatch,medium
133105-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118164,2,8000,12000,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Tommy DeVito,fd,8000,tommy devito,NE,QB,showdown,00-0038476,auto_exact,high
133105-64051,QB,Drew,Drew Lock,Lock,0.0333333338300387,3,8000,12000,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Drew Lock,fd,8000,drew lock,SEA,QB,showdown,00-0035704,auto_exact,high
133105-40845,TE,Hunter,Hunter Henry,Henry,8.261904761904763,21,7600,11400,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Hunter Henry,fd,7600,hunter henry,NE,TE,showdown,00-0033090,auto_exact,high
133105-170287,WR,Rashid,Rashid Shaheed,Shaheed,7.02857171921503,21,7200,10800,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Rashid Shaheed,fd,7200,rashid shaheed,SEA,WR,showdown,00-0037545,auto_exact,high
133105-12550,D,Seattle,Seattle Seahawks,Seahawks,11.4,20,6800,10200,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Seattle Seahawks,fd,6800,seattle seahawks,SEA,D,showdown,DST_SEA,team_defense,high
133105-12541,D,New England,New England Patriots,Patriots,8.380952380952381,21,6600,9900,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,New England Patriots,fd,6600,new england patriots,NE,D,showdown,DST_NE,team_defense,high
133105-60745,K,Jason,Jason Myers,Myers,11.95,20,6400,9600,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jason Myers,fd,6400,jason myers,SEA,K,showdown,00-0031492,auto_exact,high
133105-152260,K,Andy,Andy Borregales,Borregales,8.0,21,6200,9300,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Andy Borregales,fd,6200,andy borregales,NE,K,showdown,00-0040200,auto_exact,high
133105-25267,WR,Mack,Mack Hollins,Hollins,7.206250190734863,16,5800,8700,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Mack Hollins,fd,5800,mack hollins,NE,WR,showdown,00-0033555,auto_exact,high
133105-79970,WR,Cooper,Cooper Kupp,Kupp,6.473684210526316,19,5400,8100,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Cooper Kupp,fd,5400,cooper kupp,SEA,WR,showdown,00-0033908,auto_exact,high
133105-114231,RB,George,George Holani,Holani,1.8363637057217683,11,5000,7500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,George Holani,fd,5000,george holani,SEA,RB,showdown,00-0039299,auto_exact,high
133105-137953,TE,AJ,AJ Barner,Barner,6.8599998474121096,20,4800,7200,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,AJ Barner,fd,4800,aj barner,SEA,TE,showdown,00-0039793,auto_exact,high
133105-185861,RB,Emanuel,Emanuel Wilson,Wilson,5.016666836208767,18,4200,6300,NE@SEA,SEA,NE,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Emanuel Wilson,fd,4200,emanuel wilson,SEA,RB,showdown,00-0038797,auto_fallback_team_mismatch,medium
133105-111876,WR,DeMario,DeMario Douglas,Douglas,5.084999847412109,20,3800,5700,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,DeMario Douglas,fd,3800,demario douglas,NE,WR,showdown,00-0038621,auto_exact,high
133105-152258,TE,Elijah,Elijah Arroyo,Arroyo,2.2615384321946363,13,3400,5100,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Elijah Arroyo,fd,3400,elijah arroyo,SEA,TE,showdown,00-0040739,auto_exact,high
133105-136538,WR,Kyle,Kyle Williams,Williams,2.7411763808306526,17,3000,4500,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Kyle Williams,fd,3000,kyle williams,NE,WR,showdown,00-0040131,auto_exact,high
