player_name,actual_ownership_pct
Christian McCaffrey,52.82
Ashton Jeanty,50.67
Javonte Williams,43.99
CeeDee Lamb,36.56
Michael Mayer,35.35
Jaxon Smith-Njigba,35.22
49ers ,30.11
Brock Purdy,29.88
George Pickens,30.15
Parker Washington,26.41
Terry McLaurin,24.85
Deebo Samuel Sr.,25.72
Mike Evans,23.74
Jaguars ,21.68
Dak Prescott,20.56
Stefon Diggs,21.91
Trey McBride,23.59
Caleb Douglas,17.15
Trevor Lawrence,14.36
Jayden Daniels,14.34
Jacory Croskey-Merritt,16.38
Quentin Johnston,14.97
Seahawks ,11.48
Jake Ferguson,12.42
Bhayshul Tuten,13.21
Omarion Hampton,11.56
George Kittle,12.91
Antonio Williams,11.43
Broncos ,9.0
Jadarian Price,12.28
Brenton Strange,9.46
Cardinals ,8.35
De'Von Achane,10.62
Evan Engram,9.57
J.K. Dobbins,9.19
Chargers ,6.79
Ladd McConkey,7.63
Jaylen Waddle,7.45
Jeremiyah Love,8.77
Raiders ,6.43
Justin Herbert,6.35
David Njoku,6.95
Pat Bryant,7.62
Kendrick Bourne,6.12
Michael Wilson,5.47
Jakobi Meyers,5.64
Demarcus Robinson,4.71
Bo Nix,3.83
Drew Lock,3.45
Malik Washington,3.7
Courtland Sutton,3.85
Cowboys ,2.82
Jacoby Brissett,2.78
Brian Thomas Jr.,2.84
Tre Tucker,2.43
Malik Willis,2.12
Tre' Harris,2.21
Kaelon Black,2.65
Dolphins ,1.96
Marvin Harrison Jr.,2.1
Jack Bech,2.19
Kirk Cousins,1.81
Tyler Allgeier,2.27
Cooper Kupp,2.48
John Bates,2.0
AJ Barner,2.06
Rashid Shaheed,1.47
Ryan Flournoy,1.39
Oronde Gadsden II,1.22
Luke Farrell,1.26
Jalen Nailor,1.12
Commanders ,0.88
Rachaad White,0.82
Ben Sinnott,0.68
Jonah Coleman,0.71
Chris Rodriguez Jr.,0.51
Greg Dulcich,0.48
Chris Bell,0.27
George Holani,0.34
Josh Cameron,0.25
Brevyn Spann-Ford,0.25
Troy Franklin,0.23
Mike Washington Jr.,0.3
Keaton Mitchell,0.19
KaVontae Turpin,0.15
RJ Harvey,0.13
Adam Trautman,0.12
Tory Horton,0.1
Kimani Vidal,0.1
Kaytron Allen,0.08
Ameer Abdullah,0.12
Charlie Kolar,0.06
Jordan James,0.08
Travis Hunter,0.1
Jaylen Wright,0.04
Elijah Arroyo,0.06
Kyle Juszczyk,0.06
Lil'Jordan Humphrey,0.06
Luke Schoonmaker,0.04
Dyami Brown,0.02
Brenen Thompson,0.02
Aidan O'Connell,0.02
Carlos Washington Jr.,0.02
Jacob Cowing,0.02
Ollie Gordon II,0.02
Will Kacmarek,0.02
Derius Davis,0.02
Dare Ogunbowale,0.02
Kevin Coleman Jr.,0.02
Ian Thomas,0.02
Brock Bowers,0.02
J'Mari Taylor,0.02
Malik Benson,0.02
Emari Demercado,0.02
Nate Boerkircher,0.02
Elijah Higgins,0.02
