Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Dak Prescott,QB,DAL,7200,1501,QB,DAL@CLE,31.64,rotoguru_gid,Dak Prescott,dk,7200,dak prescott,DAL,QB,00-0033077,auto_exact,high
Tom Brady,QB,TB,6100,1131,QB,TB@LAC,19.006666666666664,rotoguru_gid,Tom Brady,dk,6100,tom brady,TB,QB,00-0019596,auto_exact,high
Aaron Rodgers,QB,GB,7100,1252,QB,GB@ATL,25.826666666666664,rotoguru_gid,Aaron Rodgers,dk,7100,aaron rodgers,GB,QB,00-0023459,auto_exact,high
Teddy Bridgewater,QB,CAR,5600,1439,QB,CAR@ARI,16.226666666666667,rotoguru_gid,Teddy Bridgewater,dk,5600,teddy bridgewater,CAR,QB,00-0031237,auto_exact,high
Ryan Fitzpatrick,QB,MIA,5400,1242,QB,MIA@SEA,20.32,rotoguru_gid,Ryan Fitzpatrick,dk,5400,ryan fitzpatrick,MIA,QB,00-0023682,auto_exact,high
Lamar Jackson,QB,BAL,8100,1527,QB,BAL@WAS,20.08,rotoguru_gid,Lamar Jackson,dk,8100,lamar jackson,BAL,QB,00-0034796,auto_exact,high
Josh Allen,QB,BUF,7300,1529,QB,BUF@LV,35.63333333333333,rotoguru_gid,Josh Allen,dk,7300,josh allen,BUF,QB,00-0034857,auto_exact,high
Gardner Minshew,QB,JAX,5900,1540,QB,JAX@CIN,20.16,rotoguru_gid,Gardner Minshew,dk,5900,gardner minshew,JAX,QB,00-0035289,auto_exact,high
Russell Wilson,QB,SEA,7800,1412,QB,SEA@MIA,36.333333333333336,rotoguru_gid,Russell Wilson,dk,7800,russell wilson,SEA,QB,00-0029263,auto_exact,high
Derek Carr,QB,LV,5300,1441,QB,LV@BUF,17.86,rotoguru_gid,Derek Carr,dk,5300,derek carr,LV,QB,00-0031280,auto_exact,high
Kyler Murray,QB,ARI,7000,1537,QB,ARI@CAR,28.38,rotoguru_gid,Kyler Murray,dk,7000,kyler murray,ARI,QB,00-0035228,auto_exact,high
Justin Herbert,QB,LAC,5800,1552,QB,LAC@TB,22.97,rotoguru_gid,Justin Herbert,dk,5800,justin herbert,LAC,QB,00-0036355,auto_exact,high
Deshaun Watson,QB,HOU,6600,1518,QB,HOU@MIN,18.526666666666667,rotoguru_gid,Deshaun Watson,dk,6600,deshaun watson,HOU,QB,00-0033537,auto_exact,high
Sam Darnold,QB,NYJ,5300,1524,QB,NYJ@DEN,11.26,rotoguru_gid,Sam Darnold,dk,5300,sam darnold,NYJ,QB,00-0034869,auto_exact,high
Matthew Stafford,QB,DET,5900,1340,QB,DET@NO,17.613333333333333,rotoguru_gid,Matthew Stafford,dk,5900,matthew stafford,DET,QB,00-0026498,auto_exact,high
Carson Wentz,QB,PHI,5600,1514,QB,PHI@SF,17.96,rotoguru_gid,Carson Wentz,dk,5600,carson wentz,PHI,QB,00-0032950,auto_exact,high
Dwayne Haskins,QB,WAS,5000,1538,QB,WAS@BAL,12.9,rotoguru_gid,Dwayne Haskins,dk,5000,dwayne haskins,WAS,QB,00-0035232,auto_exact,high
Patrick Mahomes II,QB,KC,7400,1523,QB,KC@NE,31.30666666666667,rotoguru_gid,Patrick Mahomes II,dk,7400,patrick mahomes,KC,QB,00-0033873,auto_exact,high
Joe Burrow,QB,CIN,6300,1550,QB,CIN@JAX,23.08,rotoguru_gid,Joe Burrow,dk,6300,joe burrow,CIN,QB,00-0036442,auto_exact,high
Drew Brees,QB,NO,5800,1151,QB,NO@DET,18.8,rotoguru_gid,Drew Brees,dk,5800,drew brees,NO,QB,00-0020531,auto_exact,high
Baker Mayfield,QB,CLE,5800,1528,QB,CLE@DAL,13.82,rotoguru_gid,Baker Mayfield,dk,5800,baker mayfield,CLE,QB,00-0034855,auto_exact,high
Kirk Cousins,QB,MIN,5600,1415,QB,MIN@HOU,15.24,rotoguru_gid,Kirk Cousins,dk,5600,kirk cousins,MIN,QB,00-0029604,auto_exact,high
Brett Rypien,QB,DEN,5500,1555,QB,DEN@NYJ,1.12,rotoguru_gid,Brett Rypien,dk,5500,brett rypien,DEN,QB,00-0034955,auto_exact,high
Nick Foles,QB,CHI,5700,1413,QB,CHI@IND,18.22,rotoguru_gid,Nick Foles,dk,5700,nick foles,CHI,QB,00-0029567,auto_exact,high
Matt Ryan,QB,ATL,6000,1301,QB,ATL@GB,22.94666666666667,rotoguru_gid,Matt Ryan,dk,6000,matt ryan,ATL,QB,00-0026143,auto_exact,high
Jared Goff,QB,LA,6700,1490,QB,LA@NYG,22.24,rotoguru_gid,Jared Goff,dk,6700,jared goff,LA,QB,00-0033106,auto_exact,high
Philip Rivers,QB,IND,5500,1231,QB,IND@CHI,14.786666666666669,rotoguru_gid,Philip Rivers,dk,5500,philip rivers,IND,QB,00-0022942,auto_exact,high
Daniel Jones,QB,NYG,5100,1539,QB,NYG@LA,13.053333333333333,rotoguru_gid,Daniel Jones,dk,5100,daniel jones,NYG,QB,00-0035710,auto_exact,high
Nick Mullens,QB,SF,5200,1534,QB,SF@PHI,11.18,rotoguru_gid,Nick Mullens,dk,5200,nick mullens,SF,QB,00-0033319,auto_exact,high
C.J. Beathard,QB,SF,4700,1520,QB,SF@PHI,,rotoguru_gid,C.J. Beathard,dk,4700,cj beathard,SF,QB,00-0033936,auto_exact,high
