Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Tom Brady,QB,TB,7400,1131,QB,TB@NO,27.1,rotoguru_gid,Tom Brady,dk,7400,tom brady,TB,QB,00-0019596,auto_exact,high
Mike White,QB,NYJ,5000,1576,QB,NYJ@CIN,10.08,rotoguru_gid,Mike White,dk,5000,mike white,NYJ,QB,00-0034401,auto_exact,high
Jimmy Garoppolo,QB,SF,5600,1452,QB,SF@CHI,14.568,rotoguru_gid,Jimmy Garoppolo,dk,5600,jimmy garoppolo,SF,QB,00-0031345,auto_exact,high
Josh Allen,QB,BUF,8100,1529,QB,BUF@MIA,28.22,rotoguru_gid,Josh Allen,dk,8100,josh allen,BUF,QB,00-0034857,auto_exact,high
Justin Fields,QB,CHI,5000,1567,QB,CHI@SF,7.52,rotoguru_gid,Justin Fields,dk,5000,justin fields,CHI,QB,00-0036945,auto_exact,high
Matthew Stafford,QB,LA,7600,1340,QB,LA@HOU,25.04,rotoguru_gid,Matthew Stafford,dk,7600,matthew stafford,LA,QB,00-0026498,auto_exact,high
Davis Mills,QB,HOU,4800,1574,QB,HOU@LA,9.613333333333337,rotoguru_gid,Davis Mills,dk,4800,davis mills,HOU,QB,00-0036898,auto_exact,high
Ryan Tannehill,QB,TEN,6600,1410,QB,TEN@IND,18.054285714285715,rotoguru_gid,Ryan Tannehill,dk,6600,ryan tannehill,TEN,QB,00-0029701,auto_exact,high
Geno Smith,QB,SEA,5300,1426,QB,SEA@JAX,8.42,rotoguru_gid,Geno Smith,dk,5300,geno smith,SEA,QB,00-0030565,auto_exact,high
Cooper Rush,QB,DAL,4000,1521,QB,DAL@MIN,0.0,rotoguru_gid,Cooper Rush,dk,4000,cooper rush,DAL,QB,00-0033662,auto_exact,high
Joe Burrow,QB,CIN,7100,1550,QB,CIN@NYJ,21.52,rotoguru_gid,Joe Burrow,dk,7100,joe burrow,CIN,QB,00-0036442,auto_exact,high
Carson Wentz,QB,IND,5700,1514,QB,IND@TEN,18.357142857142858,rotoguru_gid,Carson Wentz,dk,5700,carson wentz,IND,QB,00-0032950,auto_exact,high
Daniel Jones,QB,NYG,5600,1539,QB,NYG@KC,18.51142857142857,rotoguru_gid,Daniel Jones,dk,5600,daniel jones,NYG,QB,00-0035710,auto_exact,high
Tua Tagovailoa,QB,MIA,5500,1551,QB,MIA@BUF,17.9,rotoguru_gid,Tua Tagovailoa,dk,5500,tua tagovailoa,MIA,QB,00-0036212,auto_exact,high
Justin Herbert,QB,LAC,7300,1552,QB,LAC@NE,24.67333333333333,rotoguru_gid,Justin Herbert,dk,7300,justin herbert,LAC,QB,00-0036355,auto_exact,high
Aaron Rodgers,QB,GB,7400,1252,QB,GB@ARI,20.77142857142857,rotoguru_gid,Aaron Rodgers,dk,7400,aaron rodgers,GB,QB,00-0023459,auto_exact,high
Patrick Mahomes II,QB,KC,7900,1523,QB,KC@NYG,25.945714285714285,rotoguru_gid,Patrick Mahomes II,dk,7900,patrick mahomes,KC,QB,00-0033873,auto_exact,high
Ben Roethlisberger,QB,PIT,5400,1232,QB,PIT@CLE,14.199999999999998,rotoguru_gid,Ben Roethlisberger,dk,5400,ben roethlisberger,PIT,QB,00-0022924,auto_exact,high
Taylor Heinicke,QB,WAS,5300,1487,QB,WAS@DEN,18.617142857142856,rotoguru_gid,Taylor Heinicke,dk,5300,taylor heinicke,WAS,QB,00-0031800,auto_exact,high
Trevor Lawrence,QB,JAX,5500,1565,QB,JAX@SEA,17.616666666666667,rotoguru_gid,Trevor Lawrence,dk,5500,trevor lawrence,JAX,QB,00-0036971,auto_exact,high
Kirk Cousins,QB,MIN,6500,1415,QB,MIN@DAL,22.576666666666668,rotoguru_gid,Kirk Cousins,dk,6500,kirk cousins,MIN,QB,00-0029604,auto_exact,high
Teddy Bridgewater,QB,DEN,5400,1439,QB,DEN@WAS,17.562857142857144,rotoguru_gid,Teddy Bridgewater,dk,5400,teddy bridgewater,DEN,QB,00-0031237,auto_exact,high
Sam Darnold,QB,CAR,5600,1524,QB,CAR@ATL,19.62285714285714,rotoguru_gid,Sam Darnold,dk,5600,sam darnold,CAR,QB,00-0034869,auto_exact,high
Mac Jones,QB,NE,5200,1572,QB,NE@LAC,15.665714285714284,rotoguru_gid,Mac Jones,dk,5200,mac jones,NE,QB,00-0036972,auto_exact,high
Jalen Hurts,QB,PHI,7200,1554,QB,PHI@DET,25.962857142857143,rotoguru_gid,Jalen Hurts,dk,7200,jalen hurts,PHI,QB,00-0036389,auto_exact,high
Kyler Murray,QB,ARI,8300,1537,QB,ARI@GB,25.66857142857143,rotoguru_gid,Kyler Murray,dk,8300,kyler murray,ARI,QB,00-0035228,auto_exact,high
Trevor Siemian,QB,NO,4000,1488,QB,NO@TB,,rotoguru_gid,Trevor Siemian,dk,4000,trevor siemian,NO,QB,00-0032156,auto_exact,high
Jameis Winston,QB,NO,6000,1465,QB,NO@TB,18.526666666666667,rotoguru_gid,Jameis Winston,dk,6000,jameis winston,NO,QB,00-0031503,auto_exact,high
Baker Mayfield,QB,CLE,5500,1528,QB,CLE@PIT,17.093333333333334,rotoguru_gid,Baker Mayfield,dk,5500,baker mayfield,CLE,QB,00-0034855,auto_exact,high
Jared Goff,QB,DET,5200,1490,QB,DET@PHI,15.93142857142857,rotoguru_gid,Jared Goff,dk,5200,jared goff,DET,QB,00-0033106,auto_exact,high
