Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Jonathan Taylor (44191068),Jonathan Taylor,44191068,CPT,16500,IND@KC 09/20/2026 08:20PM ET,IND,26.1,,CPT,Jonathan Taylor,dk,16500,jonathan taylor,IND,RB,showdown,00-0036223,auto_exact,high
RB,Kenneth Walker III (44191069),Kenneth Walker III,44191069,CPT,15900,IND@KC 09/20/2026 08:20PM ET,KC,37.1,,CPT,Kenneth Walker III,dk,15900,kenneth walker,KC,RB,showdown,00-0038134,auto_fallback_team_mismatch,medium
QB,Patrick Mahomes (44191070),Patrick Mahomes,44191070,CPT,15000,IND@KC 09/20/2026 08:20PM ET,KC,22.7,,CPT,Patrick Mahomes,dk,15000,patrick mahomes,KC,QB,showdown,00-0033873,auto_exact,high
WR,Rashee Rice (44191071),Rashee Rice,44191071,CPT,14100,IND@KC 09/20/2026 08:20PM ET,KC,9.9,,CPT,Rashee Rice,dk,14100,rashee rice,KC,WR,showdown,00-0039067,auto_exact,high
QB,Daniel Jones (44191072),Daniel Jones,44191072,CPT,13800,IND@KC 09/20/2026 08:20PM ET,IND,10.0,,CPT,Daniel Jones,dk,13800,daniel jones,IND,QB,showdown,00-0035710,auto_exact,high
WR,Alec Pierce (44191073),Alec Pierce,44191073,CPT,11400,IND@KC 09/20/2026 08:20PM ET,IND,10.1,,CPT,Alec Pierce,dk,11400,alec pierce,IND,WR,showdown,00-0037664,auto_exact,high
RB,Jonathan Taylor (44191014),Jonathan Taylor,44191014,FLEX,11000,IND@KC 09/20/2026 08:20PM ET,IND,26.1,,FLEX,Jonathan Taylor,dk,11000,jonathan taylor,IND,RB,showdown,00-0036223,auto_exact,high
TE,Tyler Warren (44191074),Tyler Warren,44191074,CPT,10800,IND@KC 09/20/2026 08:20PM ET,IND,10.3,,CPT,Tyler Warren,dk,10800,tyler warren,IND,TE,showdown,00-0040128,auto_exact,high
RB,Kenneth Walker III (44191015),Kenneth Walker III,44191015,FLEX,10600,IND@KC 09/20/2026 08:20PM ET,KC,37.1,,FLEX,Kenneth Walker III,dk,10600,kenneth walker,KC,RB,showdown,00-0038134,auto_fallback_team_mismatch,medium
QB,Patrick Mahomes (44191016),Patrick Mahomes,44191016,FLEX,10000,IND@KC 09/20/2026 08:20PM ET,KC,22.7,,FLEX,Patrick Mahomes,dk,10000,patrick mahomes,KC,QB,showdown,00-0033873,auto_exact,high
WR,Josh Downs (44191075),Josh Downs,44191075,CPT,9900,IND@KC 09/20/2026 08:20PM ET,IND,5.7,,CPT,Josh Downs,dk,9900,josh downs,IND,WR,showdown,00-0038997,auto_exact,high
WR,Rashee Rice (44191017),Rashee Rice,44191017,FLEX,9400,IND@KC 09/20/2026 08:20PM ET,KC,9.9,,FLEX,Rashee Rice,dk,9400,rashee rice,KC,WR,showdown,00-0039067,auto_exact,high
