Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Kenneth Walker III (44105012),Kenneth Walker III,44105012,CPT,15900,DEN@KC 09/14/2026 08:15PM ET,KC,13.9,,CPT,Kenneth Walker III,dk,15900,kenneth walker,KC,RB,showdown,00-0038134,auto_fallback_team_mismatch,medium
QB,Bo Nix (44105013),Bo Nix,44105013,CPT,14700,DEN@KC 09/14/2026 08:15PM ET,DEN,19.7,,CPT,Bo Nix,dk,14700,bo nix,DEN,QB,showdown,00-0039732,auto_exact,high
QB,Patrick Mahomes (44105014),Patrick Mahomes,44105014,CPT,14400,DEN@KC 09/14/2026 08:15PM ET,KC,21.6,,CPT,Patrick Mahomes,dk,14400,patrick mahomes,KC,QB,showdown,00-0033873,auto_exact,high
WR,Rashee Rice (44105015),Rashee Rice,44105015,CPT,14100,DEN@KC 09/14/2026 08:15PM ET,KC,19.1,,CPT,Rashee Rice,dk,14100,rashee rice,KC,WR,showdown,00-0039067,auto_exact,high
WR,Jaylen Waddle (44105016),Jaylen Waddle,44105016,CPT,13500,DEN@KC 09/14/2026 08:15PM ET,DEN,12.3,,CPT,Jaylen Waddle,dk,13500,jaylen waddle,DEN,WR,showdown,00-0036613,auto_fallback_team_mismatch,medium
QB,Justin Fields (44105017),Justin Fields,44105017,CPT,12900,DEN@KC 09/14/2026 08:15PM ET,KC,16.3,,CPT,Justin Fields,dk,12900,justin fields,KC,QB,showdown,00-0036945,auto_fallback_team_mismatch,medium
WR,Courtland Sutton (44105018),Courtland Sutton,44105018,CPT,12000,DEN@KC 09/14/2026 08:15PM ET,DEN,12.9,,CPT,Courtland Sutton,dk,12000,courtland sutton,DEN,WR,showdown,00-0034348,auto_exact,high
RB,RJ Harvey (44105019),RJ Harvey,44105019,CPT,11100,DEN@KC 09/14/2026 08:15PM ET,DEN,12.1,,CPT,RJ Harvey,dk,11100,rj harvey,DEN,RB,showdown,00-0040730,auto_exact,high
RB,Kenneth Walker III (44104957),Kenneth Walker III,44104957,FLEX,10600,DEN@KC 09/14/2026 08:15PM ET,KC,13.9,,FLEX,Kenneth Walker III,dk,10600,kenneth walker,KC,RB,showdown,00-0038134,auto_fallback_team_mismatch,medium
TE,Travis Kelce (44105020),Travis Kelce,44105020,CPT,10500,DEN@KC 09/14/2026 08:15PM ET,KC,11.4,,CPT,Travis Kelce,dk,10500,travis kelce,KC,TE,showdown,00-0030506,auto_exact,high
WR,Xavier Worthy (44105021),Xavier Worthy,44105021,CPT,9900,DEN@KC 09/14/2026 08:15PM ET,KC,7.9,,CPT,Xavier Worthy,dk,9900,xavier worthy,KC,WR,showdown,00-0039894,auto_exact,high
QB,Bo Nix (44104958),Bo Nix,44104958,FLEX,9800,DEN@KC 09/14/2026 08:15PM ET,DEN,19.7,,FLEX,Bo Nix,dk,9800,bo nix,DEN,QB,showdown,00-0039732,auto_exact,high
QB,Patrick Mahomes (44104959),Patrick Mahomes,44104959,FLEX,9600,DEN@KC 09/14/2026 08:15PM ET,KC,21.6,,FLEX,Patrick Mahomes,dk,9600,patrick mahomes,KC,QB,showdown,00-0033873,auto_exact,high
RB,J.K. Dobbins (44105022),J.K. Dobbins,44105022,CPT,9600,DEN@KC 09/14/2026 08:15PM ET,DEN,12.2,,CPT,J.K. Dobbins,dk,9600,jk dobbins,DEN,RB,showdown,00-0036158,auto_exact,high
WR,Rashee Rice (44104960),Rashee Rice,44104960,FLEX,9400,DEN@KC 09/14/2026 08:15PM ET,KC,19.1,,FLEX,Rashee Rice,dk,9400,rashee rice,KC,WR,showdown,00-0039067,auto_exact,high
WR,Jaylen Waddle (44104961),Jaylen Waddle,44104961,FLEX,9000,DEN@KC 09/14/2026 08:15PM ET,DEN,12.3,,FLEX,Jaylen Waddle,dk,9000,jaylen waddle,DEN,WR,showdown,00-0036613,auto_fallback_team_mismatch,medium
QB,Jarrett Stidham (44105023),Jarrett Stidham,44105023,CPT,9000,DEN@KC 09/14/2026 08:15PM ET,DEN,4.8,,CPT,Jarrett Stidham,dk,9000,jarrett stidham,DEN,QB,showdown,00-0035264,auto_exact,high
QB,Sam Ehlinger (44105024),Sam Ehlinger,44105024,CPT,9000,DEN@KC 09/14/2026 08:15PM ET,DEN,0.0,,CPT,Sam Ehlinger,dk,9000,sam ehlinger,DEN,QB,showdown,00-0036879,auto_exact,high
QB,Garrett Nussmeier (44105025),Garrett Nussmeier,44105025,CPT,9000,DEN@KC 09/14/2026 08:15PM ET,KC,0.0,,CPT,Garrett Nussmeier,dk,9000,garrett nussmeier,KC,QB,showdown,00-0040906,auto_exact,high
QB,Justin Fields (44104962),Justin Fields,44104962,FLEX,8600,DEN@KC 09/14/2026 08:15PM ET,KC,16.3,,FLEX,Justin Fields,dk,8600,justin fields,KC,QB,showdown,00-0036945,auto_fallback_team_mismatch,medium
WR,Courtland Sutton (44104963),Courtland Sutton,44104963,FLEX,8000,DEN@KC 09/14/2026 08:15PM ET,DEN,12.9,,FLEX,Courtland Sutton,dk,8000,courtland sutton,DEN,WR,showdown,00-0034348,auto_exact,high
K,Wil Lutz (44105026),Wil Lutz,44105026,CPT,7800,DEN@KC 09/14/2026 08:15PM ET,DEN,8.0,,CPT,Wil Lutz,dk,7800,wil lutz,DEN,K,showdown,00-0032569,auto_exact,high
K,Harrison Butker (44105027),Harrison Butker,44105027,CPT,7500,DEN@KC 09/14/2026 08:15PM ET,KC,8.8,,CPT,Harrison Butker,dk,7500,harrison butker,KC,K,showdown,00-0033303,auto_exact,high
RB,RJ Harvey (44104964),RJ Harvey,44104964,FLEX,7400,DEN@KC 09/14/2026 08:15PM ET,DEN,12.1,,FLEX,RJ Harvey,dk,7400,rj harvey,DEN,RB,showdown,00-0040730,auto_exact,high
DST,Broncos (44105028),Broncos,44105028,CPT,7200,DEN@KC 09/14/2026 08:15PM ET,DEN,8.6,,CPT,Broncos,dk,7200,broncos,DEN,DST,showdown,DST_DEN,team_defense,high
TE,Travis Kelce (44104965),Travis Kelce,44104965,FLEX,7000,DEN@KC 09/14/2026 08:15PM ET,KC,11.4,,FLEX,Travis Kelce,dk,7000,travis kelce,KC,TE,showdown,00-0030506,auto_exact,high
WR,Xavier Worthy (44104966),Xavier Worthy,44104966,FLEX,6600,DEN@KC 09/14/2026 08:15PM ET,KC,7.9,,FLEX,Xavier Worthy,dk,6600,xavier worthy,KC,WR,showdown,00-0039894,auto_exact,high
DST,Chiefs (44105029),Chiefs,44105029,CPT,6600,DEN@KC 09/14/2026 08:15PM ET,KC,5.4,,CPT,Chiefs,dk,6600,chiefs,KC,DST,showdown,DST_KC,team_defense,high
RB,J.K. Dobbins (44104967),J.K. Dobbins,44104967,FLEX,6400,DEN@KC 09/14/2026 08:15PM ET,DEN,12.2,,FLEX,J.K. Dobbins,dk,6400,jk dobbins,DEN,RB,showdown,00-0036158,auto_exact,high
QB,Jarrett Stidham (44104968),Jarrett Stidham,44104968,FLEX,6000,DEN@KC 09/14/2026 08:15PM ET,DEN,4.8,,FLEX,Jarrett Stidham,dk,6000,jarrett stidham,DEN,QB,showdown,00-0035264,auto_exact,high
QB,Sam Ehlinger (44104969),Sam Ehlinger,44104969,FLEX,6000,DEN@KC 09/14/2026 08:15PM ET,DEN,0.0,,FLEX,Sam Ehlinger,dk,6000,sam ehlinger,DEN,QB,showdown,00-0036879,auto_exact,high
