player_name,roster_role,actual_ownership_pct
Patrick Mahomes,FLEX,60.11%
Jonathan Taylor,FLEX,50.86%
Kenneth Walker III,FLEX,43.10%
Kenneth Walker III,CPT,42.07%
Tyler Warren,FLEX,40.69%
Travis Kelce,FLEX,39.80%
Xavier Worthy,FLEX,32.42%
Harrison Butker,FLEX,31.16%
Chiefs ,FLEX,30.97%
Emmett Johnson,FLEX,21.70%
Keenan Allen,FLEX,20.69%
Rashee Rice,FLEX,20.21%
Spencer Shrader,FLEX,17.77%
Daniel Jones,FLEX,17.49%
Alec Pierce,FLEX,15.92%
Josh Downs,FLEX,15.48%
Patrick Mahomes,CPT,14.89%
Tyquan Thornton,FLEX,10.32%
Noah Gray,FLEX,8.70%
Jonathan Taylor,CPT,6.77%
Tyler Warren,CPT,5.42%
Xavier Worthy,CPT,5.32%
Rashee Rice,CPT,5.00%
Colts ,FLEX,4.86%
Travis Kelce,CPT,4.77%
Chiefs ,CPT,4.75%
Mo Alie-Cox,FLEX,2.59%
Jake Briningstool,FLEX,2.44%
Brashard Smith,FLEX,2.23%
Daniel Jones,CPT,2.19%
Alec Pierce,CPT,2.06%
Cyrus Allen,FLEX,2.00%
Drew Ogletree,FLEX,1.53%
Keenan Allen,CPT,1.39%
Emmett Johnson,CPT,1.28%
Laquon Treadwell,FLEX,1.20%
Josh Downs,CPT,1.16%
Harrison Butker,CPT,1.11%
Jalen Royals,FLEX,0.82%
Seth McGowan,FLEX,0.80%
Tyquan Thornton,CPT,0.53%
Nikko Remigio,FLEX,0.48%
Anthony Gould,FLEX,0.42%
Deion Burks,FLEX,0.29%
Spencer Shrader,CPT,0.23%
Colts ,CPT,0.19%
Noah Gray,CPT,0.13%
Nick Westbrook-Ikhine,FLEX,0.13%
Ben VanSumeren,FLEX,0.11%
Justin Fields,FLEX,0.06%
Anthony Richardson Sr.,FLEX,0.06%
Mo Alie-Cox,CPT,0.06%
Brashard Smith,CPT,0.04%
Nikko Remigio,CPT,0.04%
Anderson Castle,FLEX,0.04%
Jaydn Ott,FLEX,0.04%
Cyrus Allen,CPT,0.04%
DJ Giddens,FLEX,0.02%
Kenny Fletcher Jr.,FLEX,0.02%
Garrett Nussmeier,FLEX,0.02%
Nate Carter,FLEX,0.02%
Justin Fields,CPT,0.02%
Drew Ogletree,CPT,0.02%
Jake Briningstool,CPT,0.02%
