player_id,player_name,position,team,props_matched,props_rec_engine,props_rec_market,props_recyd_engine,props_recyd_market,props_rushyd_engine,props_rushyd_market,props_passyd_engine,props_passyd_market,props_td_engine,props_td_market
00-0040142,Kaleb Johnson,RB,GB,True,0.1891115074858395,,1.6264131256643484,,15.960133295848435,42.46082733639557,,,0.11517031704294128,0.3535410207254014
00-0041044,Zachariah Branch,WR,ATL,True,1.2022336446405453,,12.707505369333832,,0.1330738532607112,,,,0.0774796602375259,0.0601502648294001
00-0037741,Jahan Dotson,WR,ATL,True,1.8902777526642978,2.0085844346376422,20.189525453365814,23.679690618696025,0.08236612336215325,,,,0.1254311848926118,0.12508109946786283
00-0033858,Jonnu Smith,TE,GB,True,0.878978491984433,1.3383506424938023,11.380084442771205,10.310886488112637,0.0,,,,0.0780198577226314,0.13410597354863985
00-0038090,Skyy Moore,WR,GB,True,1.0230903729631893,1.3784034869467536,13.429292574635872,12.109694313182139,0.08324936868796497,,,,0.08611848084410188,0.15694557259060518
00-0035208,Olamide Zaccheaus,WR,ATL,True,1.284117202211353,1.3877237824686244,13.326006660404381,11.870293031211602,0.08236612336215325,,,,0.08492969298307099,0.10193039817905288
00-0032392,Austin Hooper,TE,ATL,True,1.0432326219087509,,9.681959355951609,,0.0,,,,0.07384827604391482,0.05875897756624887
00-0037091,Bo Melton,WR,GB,True,0.5748101608723637,,7.937744413956101,,0.08324936868796497,,,,0.04898688404734925,0.0916389273930363
00-0036463,Chris Blair,WR,ATL,True,1.0728399334918117,,11.49755995395403,,0.08236612336215325,,,,0.07271088042801427,0.027651623892477443
00-0040948,J. Michael Sturdivant,WR,GB,True,0.3330649940593426,,4.639711949716291,,0.14984886363833694,,,,0.029185905209412364,0.043560603551207264
00-0036429,Charlie Woerner,TE,ATL,True,0.5888219281070167,,5.498551043190575,,0.0,,,,0.042790527888022616,0.03763471201621646
00-0038098,Pierre Strong Jr.,RB,GB,False,,,,,,,,,,
00-0041139,Damon Bankston,RB,GB,False,,,,,,,,,,
00-0036984,Trey Sermon,RB,ATL,False,,,,,,,,,,
00-0041191,Cash Jones,RB,ATL,False,,,,,,,,,,
00-0036906,Khalil Herbert,RB,ATL,False,,,,,,,,,,
00-0040009,Savion Williams,WR,GB,False,,,,,,,,,,
00-0040432,Beaux Collins,WR,ATL,False,,,,,,,,,,
00-0040553,Quincy Skinner Jr.,WR,GB,False,,,,,,,,,,
00-0040438,Antwane Wells Jr.,WR,ATL,False,,,,,,,,,,
00-0038953,Dylan Drummond,WR,ATL,False,,,,,,,,,,
00-0041185,Vinny Anthony II,WR,ATL,False,,,,,,,,,,
00-0040558,Isaiah Neyor,WR,GB,False,,,,,,,,,,
00-0038589,Josh Whyle,TE,GB,True,0.10633058167605125,,1.2637402738110102,,0.0,,,,0.009674699137034504,0.06997013159378958
00-0040598,Mark Redman,TE,GB,True,0.10633058167605125,,1.2637402738110102,,0.0,,,,0.009674699137034504,0.051023681536175786
00-0041195,Jack Velling,TE,ATL,False,,,,,,,,,,
00-0039936,Thomas Yassmin,TE,GB,False,,,,,,,,,,
00-0040628,Drake Dabney,TE,GB,False,,,,,,,,,,
00-0037317,Nick Muse,TE,ATL,True,0.44891537619008864,,4.192072326500855,,0.0,,,,0.032092859078770866,0.021570744456331444
00-0039144,Luke Musgrave,TE,GB,False,,,,,,,,,,
