player_id,player_name,position,team,props_matched,props_rec_engine,props_rec_market,props_recyd_engine,props_recyd_market,props_rushyd_engine,props_rushyd_market,props_passyd_engine,props_passyd_market,props_td_engine,props_td_market
00-0038542,Bijan Robinson,RB,ATL,True,4.890768441009986,4.818782882360717,34.23313161695079,46.991868348606864,47.320637030239475,85.12681807720838,,,0.44236794778039634,0.7530427851511593
00-0036264,Jordan Love,QB,GB,True,,,,,,,271.64553084941883,235.68339964120366,0.03400199048756234,0.12515757058778063
00-0038124,Christian Watson,WR,GB,True,4.515570372971791,5.160539698934469,71.32220907278125,78.85525015250656,0.1622759433120477,,,,0.5287200484822476,0.43816619661792605
00-0039917,Michael Penix Jr.,QB,ATL,True,,,,,,,196.3278471346516,212.58832542146027,0.06364362102904862,0.07677544896314062
00-0037238,Drake London,WR,ATL,True,3.460728688137089,5.66606996811503,38.155749391891916,74.01498304332796,2.940359598892415,,,,0.22896642403249445,0.3729567456279001
00-0036212,Tua Tagovailoa,QB,ATL,False,,,,,,,,,,
00-0035700,Josh Jacobs,RB,GB,False,,,,,,,,,,
00-0041194,Jack Strand,QB,ATL,False,,,,,,,,,,
00-0033662,Cooper Rush,QB,ATL,False,,,,,,,,,,
00-0040667,Matthew Golden,WR,GB,True,3.99596276715375,4.498799134477055,58.72960720483708,59.81759110289048,0.1622759433120477,,,,0.3054102121627529,0.3544212534826397
00-0039811,MarShawn Lloyd,RB,GB,True,1.213279712585673,1.2198297643310045,10.030848846781005,7.0080925084007895,30.80803629172288,30.015686543697555,,,0.27298166408798585,0.3319394180573668
00-0038996,Tucker Kraft,TE,GB,True,2.4885917323742017,4.19838659423081,31.721838054395693,51.764517456851074,0.0,,,,0.21725132026995475,0.3470196083196929
00-0036970,Kyle Pitts Sr.,TE,ATL,True,2.0591297736111467,3.7344583652713705,19.484430928564528,41.9716433476144,0.0,,,,0.1510347975539068,0.20550477838882658
00-0039146,Jayden Reed,WR,GB,False,,,,,,,,,,
00-0028118,Tyrod Taylor,QB,GB,False,,,,,,,,,,
00-0039577,Kedon Slovis,QB,GB,False,,,,,,,,,,
00-0038685,Chris Brooks,RB,GB,True,1.0420573083224722,1.3563422381528962,9.218064731916751,9.008876310068754,20.707629391161888,17.69222011589169,,,0.18357181831587133,0.24663969241595063
00-0037746,Brian Robinson Jr.,RB,ATL,True,1.0795256072521255,,7.29841226722133,,24.931544351779316,26.53665576257381,,,0.18789729492560048,0.19738387500784602
