lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,value,opponent,site_player_id,sigma,sigma_source,stack_target
7,DST,DST_CLE,Browns,DST,CLE,2100,6.184406061000001,2.94,JAX,43728547,,,team:NO
7,RB1,00-0032764,Derrick Henry,RB,BAL,6700,20.32728933459965,3.03,IND,43727341,,,team:NO
7,RB2,00-0039361,Bucky Irving,RB,TB,5700,16.05567199636466,2.82,CIN,43727359,,,team:NO
7,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,22.182926210431493,2.96,NO,43727633,,,team:NO
7,WR2,00-0037239,Chris Olave,WR,NO,6700,22.160151698167315,3.31,DET,43727639,,,team:NO
7,WR3,00-0036410,Tee Higgins,WR,CIN,6300,18.695630030216,2.97,TB,43727647,,,team:NO
7,TE,00-0038129,Cade Otton,TE,TB,3700,16.164573006430746,4.37,CIN,43728243,,,team:NO
7,FLEX,00-0037664,Alec Pierce,WR,IND,5700,16.599077816430924,2.91,BAL,43727665,,,team:NO
8,QB,00-0040743,Tyler Shough,QB,NO,5600,18.117833392186697,3.24,DET,43727245,,,team:NO
8,DST,DST_LV,Raiders,DST,LV,2900,8.780254758,3.03,MIA,43728535,,,team:NO
8,RB1,00-0032764,Derrick Henry,RB,BAL,6700,20.32728933459965,3.03,IND,43727341,,,team:NO
8,RB2,00-0039361,Bucky Irving,RB,TB,5700,16.05567199636466,2.82,CIN,43727359,,,team:NO
8,WR1,00-0036963,Amon-Ra St. Brown,WR,DET,7500,22.182926210431493,2.96,NO,43727633,,,team:NO
8,WR2,00-0037239,Chris Olave,WR,NO,6700,22.160151698167315,3.31,DET,43727639,,,team:NO
8,WR3,00-0036410,Tee Higgins,WR,CIN,6300,18.695630030216,2.97,TB,43727647,,,team:NO
8,TE,00-0038129,Cade Otton,TE,TB,3700,16.164573006430746,4.37,CIN,43728243,,,team:NO
8,FLEX,00-0038117,Wan'Dale Robinson,WR,TEN,4800,13.596877046053535,2.83,NYJ,43727699,,,team:NO
