lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,opponent,site_player_id,stack_target
19,RB2,00-0036997,Javonte Williams,RB,DAL,7300,0.0,BYE_OR_UNKNOWN,,
19,WR1,00-0034775,Christian Kirk,WR,HOU,5600,5.444304401619104,JAX,,
19,WR2,00-0035659,Terry McLaurin,WR,WAS,7800,0.0,BYE_OR_UNKNOWN,,
19,WR3,00-0033040,Tyreek Hill,WR,MIA,7900,0.0,BYE_OR_UNKNOWN,,
19,TE,00-0040663,Harold Fannin Jr.,TE,CLE,3100,8.489006125238552,NYJ,,
19,FLEX,00-0040128,Tyler Warren,TE,IND,5000,3.9592263167665087,ATL,,
20,QB,00-0036212,Tua Tagovailoa,QB,MIA,7800,9.336311434776432,BUF,,
20,DEF,DST_WAS,Commanders ,DEF,WAS,3600,1.840554963306296,PHI,,
20,RB1,00-0034791,Nick Chubb,RB,HOU,3600,5.435969049651086,JAX,,
20,RB2,00-0040242,Jacory Croskey-Merritt,RB,WAS,3600,5.189711438468655,DET,,
20,WR1,00-0038979,Cedric Tillman,WR,CLE,4600,5.011334941701952,NYJ,,
20,WR2,00-0035659,Terry McLaurin,WR,WAS,7800,0.0,BYE_OR_UNKNOWN,,
20,WR3,00-0033040,Tyreek Hill,WR,MIA,7900,0.0,BYE_OR_UNKNOWN,,
20,TE,00-0040663,Harold Fannin Jr.,TE,CLE,3100,8.489006125238552,NYJ,,
20,FLEX,00-0036358,CeeDee Lamb,WR,DAL,7700,0.0,BYE_OR_UNKNOWN,,
