lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,opponent,site_player_id,stack_target
1,QB,90000003,Isaiah Rivers,QB,BUF,2500,0.89,KC,90000003,team:BUF
1,DST,90000049,Eagles,DST,PHI,3900,6.5,DAL,90000049,team:BUF
1,RB1,90000173,Jalen Monroe,RB,PIT,5500,14.34,JAX,90000173,team:BUF
1,RB2,90000053,DeAndre Denning,RB,MIA,4500,8.48,SF,90000053,team:BUF
1,WR1,90000019,Ryan Blackwell,WR,KC,7700,22.44,BUF,90000019,team:BUF
1,WR2,90000176,Levi Halsey,WR,PIT,8000,22.01,JAX,90000176,team:BUF
1,WR3,90000007,Brandon Hargrove,WR,BUF,7100,18.53,KC,90000007,team:BUF
1,TE,90000191,Cameron Winslow,TE,JAX,5400,12.37,PIT,90000191,team:BUF
1,FLEX,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,LAC,90000200,team:BUF
2,QB,90000098,Emmanuel Whitfield,QB,GB,7000,19.31,DET,90000098,team:GB
2,DST,90000217,Chargers,DST,LAC,4600,8.16,DEN,90000217,team:GB
2,RB1,90000088,Chris Pace,RB,CIN,8200,23.74,BAL,90000088,team:GB
2,RB2,90000114,Corey Bishop,RB,DET,2900,2.01,GB,90000114,team:GB
2,WR1,90000045,Levi Rourke,WR,PHI,6400,15.63,DAL,90000045,team:GB
2,WR2,90000213,Isaiah Sanders,WR,LAC,4500,8.97,DEN,90000213,team:GB
2,WR3,90000093,Brandon Fields,WR,CIN,4600,8.53,BAL,90000093,team:GB
2,TE,90000071,Kendall Whitfield,TE,SF,8500,23.0,MIA,90000071,team:GB
2,FLEX,90000106,Xavier Monroe,WR,GB,3300,3.69,DET,90000106,team:GB
3,QB,90000098,Emmanuel Whitfield,QB,GB,7000,19.31,DET,90000098,team:GB
3,DST,90000049,Eagles,DST,PHI,3900,6.5,DAL,90000049,team:GB
3,RB1,90000149,Grant Osei,RB,HOU,4700,9.16,MIN,90000149,team:GB
3,RB2,90000018,Jalen Ashworth,RB,KC,2500,0.71,BUF,90000018,team:GB
3,WR1,90000115,Cameron Whitfield,WR,DET,9800,29.32,GB,90000115,team:GB
3,WR2,90000103,Nate Monroe,WR,GB,8300,24.0,DET,90000103,team:GB
3,WR3,90000200,Emmanuel Ellison,WR,DEN,5400,13.26,LAC,90000200,team:GB
3,TE,90000047,Corey Manning,TE,PHI,5800,13.89,DAL,90000047,team:GB
3,FLEX,90000070,Antonio Odom,WR,SF,2600,1.22,MIA,90000070,team:GB
4,QB,90000086,Jalen Coleman,QB,CIN,4900,10.5,BAL,90000086,team:CIN
4,DST,90000181,Steelers,DST,PIT,4000,6.04,JAX,90000181,team:CIN
4,RB1,90000004,Reggie Marshall,RB,BUF,8600,24.92,KC,90000004,team:CIN
4,RB2,90000089,DeAndre Whitfield,RB,CIN,5300,12.45,BAL,90000089,team:CIN
4,WR1,90000079,Ryan Rivers,WR,BAL,8000,24.1,CIN,90000079,team:CIN
4,WR2,90000092,Jordan Coleman,WR,CIN,6000,13.99,BAL,90000092,team:CIN
4,WR3,90000213,Isaiah Sanders,WR,LAC,4500,8.97,DEN,90000213,team:CIN
4,TE,90000191,Cameron Winslow,TE,JAX,5400,12.37,PIT,90000191,team:CIN
4,FLEX,90000106,Xavier Monroe,WR,GB,3300,3.69,DET,90000106,team:CIN
5,QB,90000087,Trevor Denning,QB,CIN,2500,0.61,BAL,90000087,team:CIN
5,DST,90000097,Bengals,DST,CIN,4300,7.59,BAL,90000097,team:CIN
5,RB1,90000064,Jared Castillo,RB,SF,8600,25.29,MIA,90000064,team:CIN
5,RB2,90000136,Dominic Rourke,RB,LAR,7500,22.72,SEA,90000136,team:CIN
5,WR1,90000139,DeAndre Nakamura,WR,LAR,7700,21.35,SEA,90000139,team:CIN
5,WR2,90000044,Malik Delgado,WR,PHI,7000,18.59,DAL,90000044,team:CIN
5,WR3,90000091,Antonio Bishop,WR,CIN,6700,16.66,BAL,90000091,team:CIN
5,TE,90000084,Dominic Marshall,TE,BAL,3100,2.83,CIN,90000084,team:CIN
5,FLEX,90000142,Deshawn Larkin,WR,LAR,2600,1.33,SEA,90000142,team:CIN
