lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,opponent,stack_target
1,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
1,DST,DST_BAL,Ravens,DST,BAL,3400,4.372449178872614,IND,
1,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
1,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
1,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
1,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
1,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
1,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
1,FLEX,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
2,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
2,DST,DST_LAC,Chargers,DST,LAC,3000,4.130181408450705,ARI,
2,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
2,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
2,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
2,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
2,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
2,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
2,FLEX,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
3,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
3,DST,DST_BAL,Ravens,DST,BAL,3400,4.372449178872614,IND,
3,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
3,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
3,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
3,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
3,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
3,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
3,FLEX,00-0039868,Troy Franklin,WR,DEN,3400,14.847096749159268,LV,
4,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
4,DST,DST_DEN,Broncos,DST,DEN,3300,3.4073770778652666,KC,
4,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
4,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
4,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
4,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
4,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
4,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
4,FLEX,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
5,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
5,DST,DST_BAL,Ravens,DST,BAL,3400,4.372449178872614,IND,
5,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
5,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
5,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
5,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
5,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
5,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
5,FLEX,00-0034348,Courtland Sutton,WR,DEN,5200,14.733035310856256,LV,
6,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
6,DST,DST_NYJ,Jets,DST,NYJ,3100,3.3575378602833417,TEN,
6,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
6,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
6,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
6,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
6,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
6,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
6,FLEX,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
7,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
7,DST,DST_BAL,Ravens,DST,BAL,3400,4.372449178872614,IND,
7,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
7,RB2,00-0032764,Derrick Henry,RB,BAL,6600,12.338874670503545,MIN,
7,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
7,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
7,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
7,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
7,FLEX,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
8,QB,00-0036355,Justin Herbert,QB,LAC,6100,27.31948023551965,PIT,
8,DST,DST_LAC,Chargers,DST,LAC,3000,4.130181408450705,ARI,
8,RB1,00-0033280,Christian McCaffrey,RB,SF,8900,17.189371042813175,LA,
8,RB2,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
8,WR1,00-0038544,Quentin Johnston,WR,LAC,4700,19.10481441321032,PIT,
8,WR2,00-0039915,Ladd McConkey,WR,LAC,7200,18.50100379408468,PIT,
8,WR3,00-0030279,Keenan Allen,WR,LAC,3600,16.55819351987583,PIT,
8,TE,00-0040189,Oronde Gadsden II,TE,LAC,2500,19.16922536203743,PIT,
8,FLEX,00-0039868,Troy Franklin,WR,DEN,3400,14.847096749159268,LV,
9,QB,00-0034796,Lamar Jackson,QB,BAL,7400,22.486263084577114,MIN,
9,DST,DST_SF,49ers,DST,SF,3200,2.9889731389102074,LA,
9,RB1,00-0040730,RJ Harvey,RB,DEN,3300,13.447883657339016,LV,
9,RB2,00-0032764,Derrick Henry,RB,BAL,6600,12.338874670503545,MIN,
9,WR1,00-0039868,Troy Franklin,WR,DEN,3400,14.847096749159268,LV,
9,WR2,00-0034348,Courtland Sutton,WR,DEN,5200,14.733035310856256,LV,
9,WR3,00-0037740,Garrett Wilson,WR,NYJ,6200,14.502334187697228,CLE,
9,TE,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
9,FLEX,00-0036158,J.K. Dobbins,RB,DEN,6700,11.353080124580222,LV,
10,QB,00-0039732,Bo Nix,QB,DEN,6300,22.131842062673385,LV,
10,DST,DST_SF,49ers,DST,SF,3200,2.9889731389102074,LA,
10,RB1,00-0032764,Derrick Henry,RB,BAL,6600,12.338874670503545,MIN,
10,RB2,00-0036158,J.K. Dobbins,RB,DEN,6700,11.353080124580222,LV,
10,WR1,00-0039868,Troy Franklin,WR,DEN,3400,14.847096749159268,LV,
10,WR2,00-0034348,Courtland Sutton,WR,DEN,5200,14.733035310856256,LV,
10,WR3,00-0037740,Garrett Wilson,WR,NYJ,6200,14.502334187697228,CLE,
10,TE,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
10,FLEX,00-0039064,Zay Flowers,WR,BAL,4600,11.295905665258257,MIN,
11,QB,00-0034796,Lamar Jackson,QB,BAL,7400,22.486263084577114,MIN,
11,DST,DST_SF,49ers,DST,SF,3200,2.9889731389102074,LA,
11,RB1,00-0032764,Derrick Henry,RB,BAL,6600,12.338874670503545,MIN,
11,RB2,00-0038120,Breece Hall,RB,NYJ,7800,10.563735679875762,CLE,
11,WR1,00-0039868,Troy Franklin,WR,DEN,3400,14.847096749159268,LV,
11,WR2,00-0034348,Courtland Sutton,WR,DEN,5200,14.733035310856256,LV,
11,WR3,00-0037740,Garrett Wilson,WR,NYJ,6200,14.502334187697228,CLE,
11,TE,00-0037744,Trey McBride,TE,ARI,4400,15.71982160279896,SEA,
11,FLEX,00-0039064,Zay Flowers,WR,BAL,4600,11.295905665258257,MIN,
