Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134304-55050,RB,Christian,Christian McCaffrey,McCaffrey,11.300000190734863,1,9000,MIA@SF,SF,MIA,,,,,,RB/FLEX
134304-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,25.200000762939453,1,9000,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
134304-86631,WR,CeeDee,CeeDee Lamb,Lamb,12.899999618530273,1,8500,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
134304-138820,RB,De'Von,De'Von Achane,Achane,8.600000381469727,1,8200,MIA@SF,MIA,SF,,,,,,RB/FLEX
134304-32384,WR,Mike,Mike Evans,Evans,13.899999618530273,1,8200,MIA@SF,SF,MIA,,,,,,WR/FLEX
134304-85607,QB,Brock,Brock Purdy,Purdy,22.100000381469727,1,8100,MIA@SF,SF,MIA,,,,,,QB
134304-110246,WR,George,George Pickens,Pickens,4.300000190734863,1,8000,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
134304-31716,QB,Dak,Dak Prescott,Prescott,15.399999618530273,1,8000,WAS@DAL,DAL,WAS,,,,,,QB
134304-102785,QB,Jayden,Jayden Daniels,Daniels,17.65999984741211,1,7900,WAS@DAL,WAS,DAL,,,,,,QB
134304-89951,QB,Trevor,Trevor Lawrence,Lawrence,26.100000381469727,1,7800,JAC@DEN,JAC,DEN,,,,,,QB
134304-167031,RB,Ashton,Ashton Jeanty,Jeanty,32.70000076293945,1,7700,LV@LAC,LV,LAC,,,,,,RB/FLEX
134304-91750,TE,Trey,Trey McBride,McBride,20,1,7500,SEA@ARI,ARI,SEA,,,,,,TE/FLEX
134304-69189,QB,Justin,Justin Herbert,Herbert,14.260000228881836,1,7400,LV@LAC,LAC,LV,,,,,,QB
134304-93541,RB,Javonte,Javonte Williams,Williams,21.700000762939453,1,7400,WAS@DAL,DAL,WAS,,,,,,RB/FLEX
134304-102965,QB,Bo,Bo Nix,Nix,6.440000057220459,1,7300,JAC@DEN,DEN,JAC,,,,,,QB
134304-174215,RB,Omarion,Omarion Hampton,Hampton,8.300000190734863,1,7300,LV@LAC,LAC,LV,,,,,,RB/FLEX
134304-30231,QB,Jacoby,Jacoby Brissett,Brissett,16.479999542236328,1,6900,SEA@ARI,ARI,SEA,,,,,,QB
134304-22038,QB,Kirk,Kirk Cousins,Cousins,15.800000190734863,1,6800,LV@LAC,LV,LAC,,,,,,QB
134304-64051,QB,Drew,Drew Lock,Lock,12.779999732971191,1,6800,SEA@ARI,SEA,ARI,,,,,,QB
134304-63589,QB,Sam,Sam Darnold,Darnold,0.5199999809265137,1,6800,SEA@ARI,SEA,ARI,O,Lower body,,,,QB
134304-151794,TE,Brock,Brock Bowers,Bowers,12.516666412353516,12,6700,LV@LAC,LV,LAC,Q,Knee - meniscus,,,,TE/FLEX
134304-90573,WR,Jaylen,Jaylen Waddle,Waddle,0.699999988079071,1,6700,JAC@DEN,DEN,JAC,,,,,,WR/FLEX
134304-87691,QB,Malik,Malik Willis,Willis,17.700000762939453,1,6600,MIA@SF,MIA,SF,,,,,,QB
134304-137516,WR,Parker,Parker Washington,Washington,16.799999237060547,1,6600,JAC@DEN,JAC,DEN,,,,,,WR/FLEX
134304-169381,RB,Jadarian,Jadarian Price,Price,6.800000190734863,1,6500,SEA@ARI,SEA,ARI,,,,,,RB/FLEX
134304-60947,QB,Jarrett,Jarrett Stidham,Stidham,4.260000228881836,2,6400,JAC@DEN,DEN,JAC,,,,,,QB
134304-133472,WR,Ladd,Ladd McConkey,McConkey,16.700000762939453,1,6400,LV@LAC,LAC,LV,Q,Ribs,,,,WR/FLEX
134304-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,9.300000190734863,1,6400,JAC@DEN,JAC,DEN,,,,,,RB/FLEX
134304-175137,QB,Fernando,Fernando Mendoza,Mendoza,,0,6200,LV@LAC,LV,LAC,,,,,,QB
134304-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,15,1,6200,MIA@SF,SF,MIA,,,,,,WR/FLEX
134304-87787,RB,J.K.,J.K. Dobbins,Dobbins,3.5999999046325684,1,6200,JAC@DEN,DEN,JAC,,,,,,RB/FLEX
134304-57403,WR,Courtland,Courtland Sutton,Sutton,2.0999999046325684,1,6100,JAC@DEN,DEN,JAC,,,,,,WR/FLEX
134304-25079,WR,Stefon,Stefon Diggs,Diggs,13.5,1,6100,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
134304-89612,WR,Michael,Michael Wilson,Wilson,8.100000381469727,1,6000,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
134304-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@DAL,WAS,DAL,,,,,,QB
134304-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,MIA@SF,MIA,SF,,,,,,QB
134304-41562,QB,Nick,Nick Mullens,Mullens,-0.30000001192092896,1,6000,JAC@DEN,JAC,DEN,,,,,,QB
134304-152673,QB,Athan,Athan Kaliakmanis,Kaliakmanis,,0,6000,WAS@DAL,WAS,DAL,,,,,,QB
134304-104576,QB,Sam,Sam Howell,Howell,,0,6000,WAS@DAL,DAL,WAS,,,,,,QB
134304-187015,QB,Joey,Joey Aguilar,Aguilar,,0,6000,JAC@DEN,JAC,DEN,,,,,,QB
134304-160938,QB,Quinn,Quinn Ewers,Ewers,8.920000076293945,4,6000,JAC@DEN,JAC,DEN,,,,,,QB
134304-29358,QB,Marcus,Marcus Mariota,Mariota,13.25,10,6000,WAS@DAL,WAS,DAL,,,,,,QB
134304-149696,QB,Trey,Trey Lance,Lance,3.634999990463257,4,6000,LV@LAC,LAC,LV,,,,,,QB
134304-93382,QB,Aidan,Aidan O'Connell,O'Connell,4.78000020980835,1,6000,LV@LAC,LV,LAC,,,,,,QB
134304-91390,QB,Joe,Joe Milton III,Milton III,3.0799999237060547,4,6000,WAS@DAL,DAL,WAS,,,,,,QB
134304-119641,QB,Brady,Brady Cook,Cook,7.091999816894531,5,6000,MIA@SF,MIA,SF,,,,,,QB
134304-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806193,3,6000,SEA@ARI,SEA,ARI,,,,,,QB
134304-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.17000000178813934,4,6000,SEA@ARI,ARI,SEA,,,,,,QB
134304-104306,QB,Kurtis,Kurtis Rourke,Rourke,,0,6000,MIA@SF,SF,MIA,,,,,,QB
134304-119670,QB,Carson,Carson Beck,Beck,,0,6000,SEA@ARI,ARI,SEA,,,,,,QB
134304-92560,QB,Sam,Sam Ehlinger,Ehlinger,,0,6000,JAC@DEN,DEN,JAC,,,,,,QB
134304-56250,WR,Terry,Terry McLaurin,McLaurin,2.4000000953674316,1,6000,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
134304-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,12.100000381469727,1,6000,WAS@DAL,WAS,DAL,,,,,,RB/FLEX
134304-90584,QB,Mac,Mac Jones,Jones,12.158332824707031,12,6000,MIA@SF,SF,MIA,,,,,,QB
134304-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LV@LAC,LAC,LV,,,,,,QB
134304-39793,TE,George,George Kittle,Kittle,2.200000047683716,1,5900,MIA@SF,SF,MIA,Q,Achilles,,,,TE/FLEX
134304-120639,WR,Quentin,Quentin Johnston,Johnston,2.700000047683716,1,5800,LV@LAC,LAC,LV,,,,,,WR/FLEX
134304-110484,RB,RJ,RJ Harvey,Harvey,6.099999904632568,1,5800,JAC@DEN,DEN,JAC,Q,Hamstring,,,,RB/FLEX
134304-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,3.799999952316284,1,5700,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
134304-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,5.5,1,5700,JAC@DEN,JAC,DEN,Q,Shoulder,,,,WR/FLEX
134304-188171,RB,Jeremiyah,Jeremiyah Love,Love,12,1,5700,SEA@ARI,ARI,SEA,,,,,,RB/FLEX
134304-90428,RB,Tyler,Tyler Allgeier,Allgeier,8,1,5700,SEA@ARI,ARI,SEA,,,,,,RB/FLEX
134304-110974,WR,Malik,Malik Washington,Washington,4.800000190734863,1,5600,MIA@SF,MIA,SF,,,,,,WR/FLEX
134304-114231,RB,George,George Holani,Holani,2.9000000953674316,1,5500,SEA@ARI,SEA,ARI,,,,,,RB/FLEX
134304-63634,WR,Jakobi,Jakobi Meyers,Meyers,11.199999809265137,1,5500,JAC@DEN,JAC,DEN,Q,Thumb,,,,WR/FLEX
134304-170287,WR,Rashid,Rashid Shaheed,Shaheed,0.8999999761581421,1,5500,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
134304-89680,TE,Jake,Jake Ferguson,Ferguson,1.600000023841858,1,5400,WAS@DAL,DAL,WAS,,,,,,TE/FLEX
134304-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,2.299999952316284,1,5400,JAC@DEN,JAC,DEN,,,,,,RB/FLEX
134304-79970,WR,Cooper,Cooper Kupp,Kupp,4.5,1,5400,SEA@ARI,SEA,ARI,Q,Back,,,,WR/FLEX
134304-137902,RB,Rachaad,Rachaad White,White,3.700000047683716,1,5400,WAS@DAL,WAS,DAL,,,,,,RB/FLEX
134304-38264,WR,Demarcus,Demarcus Robinson,Robinson,12,1,5400,MIA@SF,SF,MIA,,,,,,WR/FLEX
134304-166323,WR,Antonio,Antonio Williams,Williams,14.399999618530273,1,5400,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
134304-103619,WR,Tre,Tre Tucker,Tucker,3.700000047683716,1,5300,LV@LAC,LV,LAC,,,,,,WR/FLEX
134304-138998,TE,Michael,Michael Mayer,Mayer,6.199999809265137,1,5300,LV@LAC,LV,LAC,,,,,,TE/FLEX
134304-167881,RB,Kaelon,Kaelon Black,Black,7.5,1,5300,MIA@SF,SF,MIA,,,,,,RB/FLEX
134304-201233,WR,Ryan,Ryan Flournoy,Flournoy,3.200000047683716,1,5200,WAS@DAL,DAL,WAS,,,,,,WR/FLEX
134304-172647,WR,Caleb,Caleb Douglas,Douglas,11.899999618530273,1,5100,MIA@SF,MIA,SF,,,,,,WR/FLEX
134304-103587,TE,Brenton,Brenton Strange,Strange,9.300000190734863,1,5100,JAC@DEN,JAC,DEN,,,,,,TE/FLEX
134304-94579,RB,Emari,Emari Demercado,Demercado,0.699999988079071,1,5100,WAS@DAL,DAL,WAS,,,,,,RB/FLEX
134304-55335,TE,David,David Njoku,Njoku,8.300000190734863,1,5000,LV@LAC,LAC,LV,,,,,,TE/FLEX
