Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jahmyr Gibbs (44246810),Jahmyr Gibbs,44246810,RB/FLEX,8800,NYJ@DET 09/27/2026 01:00PM ET,DET,30.5,
WR,Jaxon Smith-Njigba (44247024),Jaxon Smith-Njigba,44247024,WR/FLEX,8600,SEA@WAS 09/27/2026 01:00PM ET,SEA,37.4,
WR,Ja'Marr Chase (44247026),Ja'Marr Chase,44247026,WR/FLEX,8100,CIN@PIT 09/27/2026 01:00PM ET,CIN,14.9,
QB,Josh Allen (44246751),Josh Allen,44246751,QB,8000,LAC@BUF 09/27/2026 01:00PM ET,BUF,39.7,
WR,Amon-Ra St. Brown (44247028),Amon-Ra St. Brown,44247028,WR/FLEX,7900,NYJ@DET 09/27/2026 01:00PM ET,DET,33.5,
RB,Jonathan Taylor (44246812),Jonathan Taylor,44246812,RB/FLEX,7600,HOU@IND 09/27/2026 01:00PM ET,IND,27.7,
RB,Kenneth Walker III (44246814),Kenneth Walker III,44246814,RB/FLEX,7400,KC@MIA 09/27/2026 01:00PM ET,KC,32,
WR,Nico Collins (44247030),Nico Collins,44247030,WR/FLEX,7000,HOU@IND 09/27/2026 01:00PM ET,HOU,21.2,Q
RB,James Cook III (44246816),James Cook III,44246816,RB/FLEX,6900,LAC@BUF 09/27/2026 01:00PM ET,BUF,16.9,
RB,Omarion Hampton (44246818),Omarion Hampton,44246818,RB/FLEX,6800,LAC@BUF 09/27/2026 01:00PM ET,LAC,13.9,
QB,Joe Burrow (44246752),Joe Burrow,44246752,QB,6600,CIN@PIT 09/27/2026 01:00PM ET,CIN,15.7,
RB,Chase Brown (44246820),Chase Brown,44246820,RB/FLEX,6600,CIN@PIT 09/27/2026 01:00PM ET,CIN,15,
RB,De'Von Achane (44246822),De'Von Achane,44246822,RB/FLEX,6500,KC@MIA 09/27/2026 01:00PM ET,MIA,11.5,
WR,Malik Nabers (44247032),Malik Nabers,44247032,WR/FLEX,6500,TEN@NYG 09/27/2026 01:00PM ET,NYG,7,Q
RB,Breece Hall (44246824),Breece Hall,44246824,RB/FLEX,6400,NYJ@DET 09/27/2026 01:00PM ET,NYJ,18.5,
WR,Rashee Rice (44247034),Rashee Rice,44247034,WR/FLEX,6400,KC@MIA 09/27/2026 01:00PM ET,KC,11.1,
QB,Jared Goff (44246753),Jared Goff,44246753,QB,6300,NYJ@DET 09/27/2026 01:00PM ET,DET,24.6,
WR,Garrett Wilson (44247036),Garrett Wilson,44247036,WR/FLEX,6300,NYJ@DET 09/27/2026 01:00PM ET,NYJ,15.3,
QB,Patrick Mahomes (44246754),Patrick Mahomes,44246754,QB,6200,KC@MIA 09/27/2026 01:00PM ET,KC,27.3,
RB,Cam Skattebo (44246826),Cam Skattebo,44246826,RB/FLEX,6200,TEN@NYG 09/27/2026 01:00PM ET,NYG,11.8,
QB,Drake Maye (44246755),Drake Maye,44246755,QB,6100,NE@JAX 09/27/2026 01:00PM ET,NE,10.9,
RB,Chuba Hubbard (44246828),Chuba Hubbard,44246828,RB/FLEX,6100,CAR@CLE 09/27/2026 01:00PM ET,CAR,19.1,
WR,Tee Higgins (44247038),Tee Higgins,44247038,WR/FLEX,6100,CIN@PIT 09/27/2026 01:00PM ET,CIN,11.7,
QB,Jayden Daniels (44246756),Jayden Daniels,44246756,QB,6000,SEA@WAS 09/27/2026 01:00PM ET,WAS,16.2,D
RB,David Montgomery (44246830),David Montgomery,44246830,RB/FLEX,6000,HOU@IND 09/27/2026 01:00PM ET,HOU,16.7,
WR,Tetairoa McMillan (44247040),Tetairoa McMillan,44247040,WR/FLEX,6000,CAR@CLE 09/27/2026 01:00PM ET,CAR,14.8,
WR,Parker Washington (44247042),Parker Washington,44247042,WR/FLEX,6000,NE@JAX 09/27/2026 01:00PM ET,JAX,18.1,
QB,Jaxson Dart (44246757),Jaxson Dart,44246757,QB,5900,TEN@NYG 09/27/2026 01:00PM ET,NYG,13.7,D
WR,Ladd McConkey (44247044),Ladd McConkey,44247044,WR/FLEX,5900,LAC@BUF 09/27/2026 01:00PM ET,LAC,12.9,
QB,Justin Herbert (44246758),Justin Herbert,44246758,QB,5800,LAC@BUF 09/27/2026 01:00PM ET,LAC,12.1,
WR,DJ Moore (44247046),DJ Moore,44247046,WR/FLEX,5800,LAC@BUF 09/27/2026 01:00PM ET,BUF,12,Q
QB,Trevor Lawrence (44246759),Trevor Lawrence,44246759,QB,5700,NE@JAX 09/27/2026 01:00PM ET,JAX,16.6,
RB,Jaylen Warren (44246832),Jaylen Warren,44246832,RB/FLEX,5700,CIN@PIT 09/27/2026 01:00PM ET,PIT,10.5,
WR,Josh Downs (44247048),Josh Downs,44247048,WR/FLEX,5700,HOU@IND 09/27/2026 01:00PM ET,IND,10,
QB,Bryce Young (44246760),Bryce Young,44246760,QB,5600,CAR@CLE 09/27/2026 01:00PM ET,CAR,29.8,
RB,Bhayshul Tuten (44246834),Bhayshul Tuten,44246834,RB/FLEX,5600,NE@JAX 09/27/2026 01:00PM ET,JAX,12,
WR,Alec Pierce (44247050),Alec Pierce,44247050,WR/FLEX,5600,HOU@IND 09/27/2026 01:00PM ET,IND,6.1,D
QB,C.J. Stroud (44246761),C.J. Stroud,44246761,QB,5500,HOU@IND 09/27/2026 01:00PM ET,HOU,19.2,
RB,Quinshon Judkins (44246836),Quinshon Judkins,44246836,RB/FLEX,5500,CAR@CLE 09/27/2026 01:00PM ET,CLE,8.4,
WR,Stefon Diggs (44247052),Stefon Diggs,44247052,WR/FLEX,5500,SEA@WAS 09/27/2026 01:00PM ET,WAS,18.6,
WR,Jalen Coker (44247054),Jalen Coker,44247054,WR/FLEX,5500,CAR@CLE 09/27/2026 01:00PM ET,CAR,25.7,
TE,Dalton Kincaid (44247362),Dalton Kincaid,44247362,TE/FLEX,5500,LAC@BUF 09/27/2026 01:00PM ET,BUF,21.8,
QB,Sam Darnold (44246762),Sam Darnold,44246762,QB,5400,SEA@WAS 09/27/2026 01:00PM ET,SEA,0.5,Q
RB,Tony Pollard (44246838),Tony Pollard,44246838,RB/FLEX,5400,TEN@NYG 09/27/2026 01:00PM ET,TEN,6,
RB,Rhamondre Stevenson (44246840),Rhamondre Stevenson,44246840,RB/FLEX,5400,NE@JAX 09/27/2026 01:00PM ET,NE,9.6,
WR,DK Metcalf (44247056),DK Metcalf,44247056,WR/FLEX,5400,CIN@PIT 09/27/2026 01:00PM ET,PIT,7.4,
WR,Jameson Williams (44247058),Jameson Williams,44247058,WR/FLEX,5400,NYJ@DET 09/27/2026 01:00PM ET,DET,6.9,
RB,Jacory Croskey-Merritt (44246842),Jacory Croskey-Merritt,44246842,RB/FLEX,5300,SEA@WAS 09/27/2026 01:00PM ET,WAS,9.2,
RB,Jadarian Price (44246844),Jadarian Price,44246844,RB/FLEX,5300,SEA@WAS 09/27/2026 01:00PM ET,SEA,6.9,Q
TE,Tyler Warren (44247364),Tyler Warren,44247364,TE/FLEX,5300,HOU@IND 09/27/2026 01:00PM ET,IND,12.4,
QB,Drew Lock (44246763),Drew Lock,44246763,QB,5200,SEA@WAS 09/27/2026 01:00PM ET,SEA,17.1,
RB,TreVeyon Henderson (44246846),TreVeyon Henderson,44246846,RB/FLEX,5200,NE@JAX 09/27/2026 01:00PM ET,NE,13.6,
QB,Cam Ward (44246764),Cam Ward,44246764,QB,5100,TEN@NYG 09/27/2026 01:00PM ET,TEN,15.9,
RB,Rachaad White (44246848),Rachaad White,44246848,RB/FLEX,5100,SEA@WAS 09/27/2026 01:00PM ET,WAS,9.5,
WR,Terry McLaurin (44247060),Terry McLaurin,44247060,WR/FLEX,5100,SEA@WAS 09/27/2026 01:00PM ET,WAS,5.2,
WR,Romeo Doubs (44247062),Romeo Doubs,44247062,WR/FLEX,5100,NE@JAX 09/27/2026 01:00PM ET,NE,6.3,
QB,Daniel Jones (44246765),Daniel Jones,44246765,QB,5000,HOU@IND 09/27/2026 01:00PM ET,IND,11.2,
QB,Aaron Rodgers (44246766),Aaron Rodgers,44246766,QB,5000,CIN@PIT 09/27/2026 01:00PM ET,PIT,9.3,
RB,Woody Marks (44246850),Woody Marks,44246850,RB/FLEX,5000,HOU@IND 09/27/2026 01:00PM ET,HOU,6.8,
WR,Carnell Tate (44247064),Carnell Tate,44247064,WR/FLEX,5000,TEN@NYG 09/27/2026 01:00PM ET,TEN,6.8,
QB,Geno Smith (44246767),Geno Smith,44246767,QB,4900,NYJ@DET 09/27/2026 01:00PM ET,NYJ,12.4,
QB,Malik Willis (44246768),Malik Willis,44246768,QB,4900,KC@MIA 09/27/2026 01:00PM ET,MIA,15.1,
RB,Emanuel Wilson (44246852),Emanuel Wilson,44246852,RB/FLEX,4900,SEA@WAS 09/27/2026 01:00PM ET,SEA,4.8,
RB,Tyjae Spears (44246854),Tyjae Spears,44246854,RB/FLEX,4900,TEN@NYG 09/27/2026 01:00PM ET,TEN,6.7,
WR,Quentin Johnston (44247066),Quentin Johnston,44247066,WR/FLEX,4900,LAC@BUF 09/27/2026 01:00PM ET,LAC,3.1,
WR,Jakobi Meyers (44247068),Jakobi Meyers,44247068,WR/FLEX,4800,NE@JAX 09/27/2026 01:00PM ET,JAX,8,
WR,Khalil Shakir (44247070),Khalil Shakir,44247070,WR/FLEX,4800,LAC@BUF 09/27/2026 01:00PM ET,BUF,7.9,
