Position,Team,Salary,Id,Nickname,First Name,Last Name,Opponent,AvgPointsPerGame,id_source
QB,BAL,8300,1527,Lamar Jackson,Lamar,Jackson,MIN,24.388571428571428,rotoguru_gid
QB,LAC,7600,1552,Justin Herbert,Justin,Herbert,PHI,21.98,rotoguru_gid
QB,ATL,6700,1301,Matt Ryan,Matt,Ryan,NO,17.065714285714286,rotoguru_gid
QB,NYJ,0,1320,Josh Johnson,Josh,Johnson,IND,0.68,rotoguru_gid
QB,IND,7500,1514,Carson Wentz,Carson,Wentz,NYJ,17.855,rotoguru_gid
QB,DEN,7100,1439,Teddy Bridgewater,Teddy,Bridgewater,DAL,16.07,rotoguru_gid
QB,MIN,7400,1415,Kirk Cousins,Kirk,Cousins,BAL,19.945714285714285,rotoguru_gid
QB,SF,7200,1452,Jimmy Garoppolo,Jimmy,Garoppolo,ARI,15.686666666666667,rotoguru_gid
QB,DAL,7900,1501,Dak Prescott,Dak,Prescott,DEN,22.253333333333334,rotoguru_gid
QB,CHI,6700,1567,Justin Fields,Justin,Fields,PIT,9.6175,rotoguru_gid
QB,CLE,6600,1528,Baker Mayfield,Baker,Mayfield,CIN,14.865714285714287,rotoguru_gid
QB,PHI,7800,1554,Jalen Hurts,Jalen,Hurts,LAC,23.245,rotoguru_gid
QB,ARI,6000,1361,Colt McCoy,Colt,McCoy,SF,-0.19999999999999998,rotoguru_gid
QB,PIT,6600,1232,Ben Roethlisberger,Ben,Roethlisberger,CHI,13.405714285714286,rotoguru_gid
QB,NO,7000,1488,Trevor Siemian,Trevor,Siemian,ATL,10.56,rotoguru_gid
QB,LA,8400,1340,Matthew Stafford,Matthew,Stafford,TEN,23.435,rotoguru_gid
QB,TEN,7500,1410,Ryan Tannehill,Ryan,Tannehill,LA,17.9475,rotoguru_gid
QB,GB,6000,1571,Jordan Love,Jordan,Love,KC,0.21,rotoguru_gid
QB,LV,7500,1441,Derek Carr,Derek,Carr,NYG,19.52285714285714,rotoguru_gid
QB,BUF,9000,1529,Josh Allen,Josh,Allen,JAX,26.96857142857143,rotoguru_gid
QB,MIA,6100,1496,Jacoby Brissett,Jacoby,Brissett,HOU,9.836666666666668,rotoguru_gid
QB,KC,8500,1523,Patrick Mahomes II,Patrick,Mahomes II,GB,23.2025,rotoguru_gid
QB,CIN,7600,1550,Joe Burrow,Joe,Burrow,CLE,20.7375,rotoguru_gid
QB,HOU,6900,1400,Tyrod Taylor,Tyrod,Taylor,MIA,20.07,rotoguru_gid
QB,NYG,7300,1539,Daniel Jones,Daniel,Jones,LV,17.645,rotoguru_gid
QB,NYJ,6700,1576,Mike White,Mike,White,IND,19.09,rotoguru_gid
QB,NE,6500,1572,Mac Jones,Mac,Jones,CAR,14.6725,rotoguru_gid
QB,JAX,6400,1565,Trevor Lawrence,Trevor,Lawrence,BUF,15.76,rotoguru_gid
QB,CAR,7000,1524,Sam Darnold,Sam,Darnold,NE,17.265,rotoguru_gid
QB,NO,7000,1530,Taysom Hill,Taysom,Hill,ATL,6.0760000000000005,rotoguru_gid
QB,JAX,6000,1520,C.J. Beathard,C.J.,Beathard,BUF,,rotoguru_gid
QB,LV,6100,1466,Marcus Mariota,Marcus,Mariota,NYG,1.75,rotoguru_gid
QB,ATL,6000,1575,Feleipe Franks,Feleipe,Franks,NO,0.15,rotoguru_gid
QB,CIN,6100,1504,Brandon Allen,Brandon,Allen,CLE,1.99,rotoguru_gid
QB,ARI,6000,1553,Chris Streveler,Chris,Streveler,SF,,rotoguru_gid
