Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
DST,Giants (44191143),Giants,44191143,FLEX,3200,NYG@LAR 09/21/2026 08:15PM ET,NYG,3,
RB,Devin Singletary (44191144),Devin Singletary,44191144,FLEX,3000,NYG@LAR 09/21/2026 08:15PM ET,NYG,13.8,
RB,Najee Harris (44191201),Najee Harris,44191201,CPT,3000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
TE,Tyler Higbee (44191145),Tyler Higbee,44191145,FLEX,2800,NYG@LAR 09/21/2026 08:15PM ET,LAR,2.2,
TE,Terrance Ferguson (44191202),Terrance Ferguson,44191202,CPT,2700,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Theo Johnson (44191146),Theo Johnson,44191146,FLEX,2400,NYG@LAR 09/21/2026 08:15PM ET,NYG,1.9,
TE,Davis Allen (44191203),Davis Allen,44191203,CPT,2400,NYG@LAR 09/21/2026 08:15PM ET,LAR,2.3,
WR,Jordan Whittington (44191147),Jordan Whittington,44191147,FLEX,2200,NYG@LAR 09/21/2026 08:15PM ET,LAR,1.8,D
RB,Ronnie Rivers (44191204),Ronnie Rivers,44191204,CPT,2100,NYG@LAR 09/21/2026 08:15PM ET,LAR,3.4,
RB,Najee Harris (44191148),Najee Harris,44191148,FLEX,2000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
TE,Terrance Ferguson (44191149),Terrance Ferguson,44191149,FLEX,1800,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Odell Beckham Jr. (44191205),Odell Beckham Jr.,44191205,CPT,1800,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
TE,Davis Allen (44191150),Davis Allen,44191150,FLEX,1600,NYG@LAR 09/21/2026 08:15PM ET,LAR,2.3,
WR,Konata Mumpfield (44191206),Konata Mumpfield,44191206,CPT,1500,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
RB,Ronnie Rivers (44191151),Ronnie Rivers,44191151,FLEX,1400,NYG@LAR 09/21/2026 08:15PM ET,LAR,3.4,
WR,Odell Beckham Jr. (44191152),Odell Beckham Jr.,44191152,FLEX,1200,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Tutu Atwell (44191207),Tutu Atwell,44191207,CPT,1200,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Konata Mumpfield (44191153),Konata Mumpfield,44191153,FLEX,1000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Chris Manhertz (44191208),Chris Manhertz,44191208,CPT,900,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Tutu Atwell (44191154),Tutu Atwell,44191154,FLEX,800,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
TE,Chris Manhertz (44191155),Chris Manhertz,44191155,FLEX,600,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
RB,Patrick Ricard (44191209),Patrick Ricard,44191209,CPT,600,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
RB,Patrick Ricard (44191156),Patrick Ricard,44191156,FLEX,400,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
RB,Dean Connors (44191210),Dean Connors,44191210,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
RB,Grant Finley (44191211),Grant Finley,44191211,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
RB,Jordan Waters (44191212),Jordan Waters,44191212,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
RB,Phil Mafah (44191213),Phil Mafah,44191213,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Calvin Austin III (44191214),Calvin Austin III,44191214,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,IR
WR,Gunner Olszewski (44191215),Gunner Olszewski,44191215,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,IR
WR,CJ Daniels (44191216),CJ Daniels,44191216,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Xavier Smith (44191217),Xavier Smith,44191217,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
WR,Dalen Cambre (44191218),Dalen Cambre,44191218,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
WR,Brennan Presley (44191219),Brennan Presley,44191219,CPT,300,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
