Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source
Cam Newton,QB,CAR,6700,1378,QB,CAR@NO,17.603636363636365,rotoguru_gid
Matt Ryan,QB,ATL,7000,1301,QB,ATL@GB,19.023333333333333,rotoguru_gid
Ben Roethlisberger,QB,PIT,8200,1232,QB,PIT@CIN,22.058333333333334,rotoguru_gid
Aaron Rodgers,QB,GB,9800,1252,QB,GB@ATL,25.25,rotoguru_gid
Jay Cutler,QB,CHI,7200,1263,QB,CHI@DAL,19.516666666666666,rotoguru_gid
Andy Dalton,QB,CIN,6000,1403,QB,CIN@PIT,15.621666666666668,rotoguru_gid
Russell Wilson,QB,SEA,7700,1412,QB,SEA@PHI,21.686666666666667,rotoguru_gid
Matthew Stafford,QB,DET,7900,1340,QB,DET@TB,17.51,rotoguru_gid
Andrew Luck,QB,IND,9700,1409,QB,IND@CLE,28.561666666666667,rotoguru_gid
Joe Flacco,QB,BAL,6600,1302,QB,BAL@MIA,17.796666666666667,rotoguru_gid
Kyle Orton,QB,BUF,5600,1250,QB,BUF@DEN,16.5,rotoguru_gid
Tom Brady,QB,NE,8500,1131,QB,NE@SDG,20.50166666666667,rotoguru_gid
Teddy Bridgewater,QB,MIN,5500,1439,QB,MIN@NYJ,13.908888888888889,rotoguru_gid
Derek Carr,QB,LV,5000,1441,QB,LV@SF,12.565,rotoguru_gid
Tony Romo,QB,DAL,7500,1233,QB,DAL@CHI,17.574545454545454,rotoguru_gid
Alex Smith,QB,KC,5700,1254,QB,KC@ARI,14.838333333333333,rotoguru_gid
Drew Stanton,QB,ARI,5200,1290,QB,ARI@KC,11.545714285714286,rotoguru_gid
Geno Smith,QB,NYJ,5200,1426,QB,NYJ@MIN,10.116,rotoguru_gid
Shaun Hill,QB,LA,5500,1213,QB,LA@WAS,9.256,rotoguru_gid
Josh McCown,QB,TB,5500,1175,QB,TB@DET,15.257142857142856,rotoguru_gid
Ryan Tannehill,QB,MIA,7300,1410,QB,MIA@BAL,18.18166666666667,rotoguru_gid
Eli Manning,QB,NYG,6900,1225,QB,NYG@TEN,17.8,rotoguru_gid
Ryan Fitzpatrick,QB,HOU,6400,1242,QB,HOU@JAX,17.601999999999997,rotoguru_gid
Drew Brees,QB,NO,9100,1151,QB,NO@CAR,22.86,rotoguru_gid
Blake Bortles,QB,JAX,5600,1442,QB,JAX@HOU,14.5,rotoguru_gid
Colin Kaepernick,QB,SF,6500,1404,QB,SF@LV,16.328333333333333,rotoguru_gid
Mark Sanchez,QB,PHI,6300,1339,QB,PHI@SEA,19.752,rotoguru_gid
Philip Rivers,QB,SDG,6800,1231,QB,SDG@NE,19.651666666666667,rotoguru_gid
Colt McCoy,QB,WAS,6000,1361,QB,WAS@LA,19.62,rotoguru_gid
Jake Locker,QB,TEN,5400,1382,QB,TEN@NYG,12.78,rotoguru_gid
Peyton Manning,QB,DEN,9300,1081,QB,DEN@BUF,25.34,rotoguru_gid
Brian Hoyer,QB,CLE,5200,1336,QB,CLE@IND,13.799999999999999,rotoguru_gid
Zach Mettenberger,QB,TEN,5600,1440,QB,TEN@NYG,13.33,rotoguru_gid
Robert Griffin III,QB,WAS,5000,1408,QB,WAS@LA,9.552000000000001,rotoguru_gid
Jason Campbell,QB,CIN,5000,1240,QB,CIN@PIT,0.6533333333333333,rotoguru_gid
Tarvaris Jackson,QB,SEA,5000,1260,QB,SEA@PHI,,rotoguru_gid
Matt Schaub,QB,LV,5000,1234,QB,LV@SF,-0.10285714285714286,rotoguru_gid
Derek Anderson,QB,CAR,5000,1239,QB,CAR@NO,8.49,rotoguru_gid
Luke McCown,QB,NO,5000,1227,QB,NO@CAR,0.0,rotoguru_gid
Matt Barkley,QB,PHI,5000,1417,QB,PHI@SEA,0.0,rotoguru_gid
Joe Webb,QB,CAR,5000,5071,QB,CAR@NO,0.65,rotoguru_gid
Ryan Nassib,QB,NYG,5000,1422,QB,NYG@TEN,0.7999999999999999,rotoguru_gid
Le'Veon Bell,RB,PIT,9400,2888,RB,PIT@CIN,22.991666666666664,rotoguru_gid
DeMarco Murray,RB,DAL,8800,2831,RB,DAL@CHI,24.5,rotoguru_gid
Joique Bell,RB,DET,5500,2719,RB,DET@TB,11.990909090909092,rotoguru_gid
Eddie Lacy,RB,GB,7800,2896,RB,GB@ATL,17.099999999999998,rotoguru_gid
Andre Williams,RB,NYG,4400,2934,RB,NYG@TEN,7.3999999999999995,rotoguru_gid
Arian Foster,RB,HOU,9300,2696,RB,HOU@JAX,25.4,rotoguru_gid
Jamaal Charles,RB,KC,8500,2629,RB,KC@ARI,18.79090909090909,rotoguru_gid
Matt Forte,RB,CHI,8700,2613,RB,CHI@DAL,23.900000000000002,rotoguru_gid
Jonathan Stewart,RB,CAR,3800,2612,RB,CAR@NO,9.733333333333333,rotoguru_gid
C.J. Anderson,RB,DEN,7600,2924,RB,DEN@BUF,11.218181818181819,rotoguru_gid
Marshawn Lynch,RB,SEA,7700,2552,RB,SEA@PHI,19.775000000000002,rotoguru_gid
Marcel Reece,RB,LV,3000,2665,RB,LV@SF,4.209090909090909,rotoguru_gid
James Starks,RB,GB,3000,2777,RB,GB@ATL,3.85,rotoguru_gid
Fred Jackson,RB,BUF,5300,2520,RB,BUF@DEN,13.209999999999999,rotoguru_gid
Justin Forsett,RB,BAL,6900,2642,RB,BAL@MIA,17.883333333333333,rotoguru_gid
Steven Jackson,RB,ATL,3900,2418,RB,ATL@GB,9.908333333333333,rotoguru_gid
Lamar Miller,RB,MIA,4500,2859,RB,MIA@BAL,13.25,rotoguru_gid
Kerwynn Williams,RB,ARI,0,2918,RB,ARI@KC,,rotoguru_gid
Isaiah Crowell,RB,CLE,5000,2969,RB,CLE@IND,8.299999999999999,rotoguru_gid
Dan Herron,RB,IND,0,2855,RB,IND@CLE,5.785714285714286,rotoguru_gid
Latavius Murray,RB,LV,3800,2899,RB,LV@SF,3.7363636363636363,rotoguru_gid
Fozzy Whittaker,RB,CAR,3000,2916,RB,CAR@NO,4.3,rotoguru_gid
Donald Brown,RB,SDG,3000,2705,RB,SDG@NE,4.955555555555556,rotoguru_gid
Benny Cunningham,RB,LA,3000,2911,RB,LA@WAS,7.983333333333333,rotoguru_gid
LeGarrette Blount,RB,NE,4200,2721,RB,NE@SDG,5.8307692307692305,rotoguru_gid
Jeremy Hill,RB,CIN,5400,2928,RB,CIN@PIT,12.358333333333334,rotoguru_gid
Matt Asiata,RB,MIN,4100,2873,RB,MIN@NYJ,11.518181818181818,rotoguru_gid
Pierre Thomas,RB,NO,4000,2598,RB,NO@CAR,11.875,rotoguru_gid
Juwan Thompson,RB,DEN,3000,2965,RB,DEN@BUF,3.4499999999999997,rotoguru_gid
Chris Johnson,RB,NYJ,3400,2645,RB,NYJ@MIN,8.191666666666666,rotoguru_gid
Mike Tolbert,RB,CAR,3000,2647,RB,CAR@NO,4.35,rotoguru_gid
Bruce Miller,RB,SF,3000,2834,RB,SF@LV,1.425,rotoguru_gid
Chris Ivory,RB,NYJ,4200,2741,RB,NYJ@MIN,10.5,rotoguru_gid
Joseph Randle,RB,DAL,3100,2900,RB,DAL@CHI,2.4166666666666665,rotoguru_gid
Alfred Blue,RB,HOU,3600,2960,RB,HOU@JAX,5.816666666666666,rotoguru_gid
Reggie Bush,RB,DET,4400,2495,RB,DET@TB,9.714285714285714,rotoguru_gid
