Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source
Patrick Mahomes II,QB,KC,7100,1523,QB,KC@CIN,29.51666666666667,rotoguru_gid
Mitchell Trubisky,QB,CHI,5600,1519,QB,CHI@NE,23.368000000000002,rotoguru_gid
Jameis Winston,QB,TB,6300,1465,QB,TB@CLE,22.2,rotoguru_gid
Cam Newton,QB,CAR,5900,1378,QB,CAR@PHI,24.424,rotoguru_gid
Eli Manning,QB,NYG,5200,1225,QB,NYG@ATL,15.446666666666665,rotoguru_gid
Philip Rivers,QB,LAC,5700,1231,QB,LAC@TEN,22.513333333333332,rotoguru_gid
Andrew Luck,QB,IND,6200,1409,QB,IND@BUF,24.44666666666667,rotoguru_gid
Carson Wentz,QB,PHI,6000,1514,QB,PHI@CAR,21.869999999999997,rotoguru_gid
Tom Brady,QB,NE,6100,1131,QB,NE@CHI,21.243333333333332,rotoguru_gid
Matt Ryan,QB,ATL,6500,1301,QB,ATL@NYG,27.13333333333333,rotoguru_gid
Dak Prescott,QB,DAL,5300,1501,QB,DAL@WAS,16.176666666666666,rotoguru_gid
Baker Mayfield,QB,CLE,5800,1528,QB,CLE@TB,15.735,rotoguru_gid
Joe Flacco,QB,BAL,5400,1302,QB,BAL@NO,18.536666666666665,rotoguru_gid
Brock Osweiler,QB,MIA,4700,1414,QB,MIA@DET,18.55,rotoguru_gid
Matthew Stafford,QB,DET,5800,1340,QB,DET@MIA,19.64,rotoguru_gid
Kirk Cousins,QB,MIN,6400,1415,QB,MIN@NYJ,24.05666666666667,rotoguru_gid
Drew Brees,QB,NO,5700,1151,QB,NO@BAL,27.003999999999998,rotoguru_gid
Jared Goff,QB,LA,6600,1490,QB,LA@SF,23.203333333333333,rotoguru_gid
Marcus Mariota,QB,TEN,4900,1466,QB,TEN@LAC,11.884,rotoguru_gid
Sam Darnold,QB,NYJ,4900,1524,QB,NYJ@MIN,14.656666666666666,rotoguru_gid
Alex Smith,QB,WAS,5100,1254,QB,WAS@DAL,16.4,rotoguru_gid
Deshaun Watson,QB,HOU,5500,1518,QB,HOU@JAX,22.87,rotoguru_gid
Cody Kessler,QB,JAX,4400,1492,QB,JAX@HOU,,rotoguru_gid
