Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source
Geno Smith,QB,NYJ,5000,1426,QB,NYJ@MIA,10.975384615384616,rotoguru_gid
Robert Griffin III,QB,WAS,5700,1408,QB,WAS@DAL,9.3775,rotoguru_gid
Aaron Rodgers,QB,GB,8600,1252,QB,GB@DET,24.046666666666667,rotoguru_gid
Joe Flacco,QB,BAL,6200,1302,QB,BAL@CLE,17.724,rotoguru_gid
Eli Manning,QB,NYG,7100,1225,QB,NYG@PHI,18.622666666666664,rotoguru_gid
Matthew Stafford,QB,DET,6800,1340,QB,DET@GB,17.04,rotoguru_gid
Colin Kaepernick,QB,SF,6300,1404,QB,SF@ARI,16.62666666666667,rotoguru_gid
Ben Roethlisberger,QB,PIT,7300,1232,QB,PIT@CIN,21.68,rotoguru_gid
Mark Sanchez,QB,PHI,6700,1339,QB,PHI@NYG,18.0675,rotoguru_gid
Ryan Lindley,QB,ARI,5000,1416,QB,ARI@SF,4.42,rotoguru_gid
Cam Newton,QB,CAR,7500,1378,QB,CAR@ATL,19.409230769230767,rotoguru_gid
Tony Romo,QB,DAL,8000,1233,QB,DAL@WAS,18.738571428571426,rotoguru_gid
Case Keenum,QB,HOU,5000,1435,QB,HOU@JAX,8.3,rotoguru_gid
Andy Dalton,QB,CIN,6000,1403,QB,CIN@PIT,15.804,rotoguru_gid
Andrew Luck,QB,IND,8700,1409,QB,IND@TEN,25.855999999999998,rotoguru_gid
Ryan Tannehill,QB,MIA,7200,1410,QB,MIA@NYJ,19.116,rotoguru_gid
Teddy Bridgewater,QB,MIN,5900,1439,QB,MIN@CHI,15.625,rotoguru_gid
Drew Brees,QB,NO,8400,1151,QB,NO@TB,22.322666666666667,rotoguru_gid
Jay Cutler,QB,CHI,7400,1263,QB,CHI@MIN,20.107142857142858,rotoguru_gid
Blake Bortles,QB,JAX,5000,1442,QB,JAX@HOU,13.723076923076924,rotoguru_gid
Kyle Orton,QB,BUF,5900,1250,QB,BUF@NE,17.125454545454545,rotoguru_gid
Peyton Manning,QB,DEN,8600,1081,QB,DEN@LV,22.750666666666667,rotoguru_gid
Matt Hasselbeck,QB,IND,5000,1060,QB,IND@TEN,2.8466666666666662,rotoguru_gid
Russell Wilson,QB,SEA,7500,1412,QB,SEA@LA,22.755999999999997,rotoguru_gid
Matt Ryan,QB,ATL,7700,1301,QB,ATL@CAR,20.61733333333333,rotoguru_gid
Derek Carr,QB,LV,5300,1441,QB,LV@DEN,13.438666666666666,rotoguru_gid
Philip Rivers,QB,SDG,7300,1231,QB,SDG@KC,19.266666666666666,rotoguru_gid
Charlie Whitehurst,QB,TEN,5300,1272,QB,TEN@IND,13.376666666666665,rotoguru_gid
Josh McCown,QB,TB,5200,1175,QB,TB@NO,14.274000000000001,rotoguru_gid
Chase Daniel,QB,KC,5000,1334,QB,KC@SDG,-0.05,rotoguru_gid
Shaun Hill,QB,LA,5200,1213,QB,LA@SEA,11.32,rotoguru_gid
Connor Shaw,QB,CLE,0,1460,QB,CLE@BAL,,rotoguru_gid
Brock Osweiler,QB,DEN,5000,1414,QB,DEN@LV,0.20666666666666667,rotoguru_gid
Jimmy Garoppolo,QB,NE,5000,1452,QB,NE@BUF,1.396,rotoguru_gid
Tom Brady,QB,NE,7800,1131,QB,NE@BUF,20.064,rotoguru_gid
Matt Flynn,QB,GB,5000,1307,QB,GB@DET,-0.09999999999999998,rotoguru_gid
Matt Schaub,QB,LV,5000,1234,QB,LV@DEN,-0.08,rotoguru_gid
Luke McCown,QB,NO,5000,1227,QB,NO@TB,0.0,rotoguru_gid
Joe Webb,QB,CAR,5000,5071,QB,CAR@ATL,0.43333333333333335,rotoguru_gid
Michael Vick,QB,NYJ,5000,1155,QB,NYJ@MIA,5.273333333333333,rotoguru_gid
Brandon Weeden,QB,DAL,5000,1411,QB,DAL@WAS,4.304,rotoguru_gid
C.J. Anderson,RB,DEN,7000,2924,RB,DEN@LV,13.328571428571431,rotoguru_gid
Lamar Miller,RB,MIA,5000,2859,RB,MIA@NYJ,13.706666666666667,rotoguru_gid
DeMarco Murray,RB,DAL,8800,2831,RB,DAL@WAS,24.533333333333335,rotoguru_gid
Jordan Todman,RB,JAX,3100,2840,RB,JAX@HOU,3.64,rotoguru_gid
Frank Gore,RB,SF,4500,2467,RB,SF@ARI,10.186666666666667,rotoguru_gid
Alfred Blue,RB,HOU,3000,2960,RB,HOU@JAX,5.366666666666666,rotoguru_gid
Giovani Bernard,RB,CIN,4800,2889,RB,CIN@PIT,14.291666666666666,rotoguru_gid
Justin Forsett,RB,BAL,6200,2642,RB,BAL@CLE,16.220000000000002,rotoguru_gid
Terrance West,RB,CLE,3000,2929,RB,CLE@BAL,7.546153846153846,rotoguru_gid
