Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134516-152651,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,1.899999976158142,2,5600,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-89680,TE,Jake,Jake Ferguson,Ferguson,9.949999809265137,2,5600,BAL@DAL,DAL,BAL,,,,,,TE/FLEX
134516-90428,RB,Tyler,Tyler Allgeier,Allgeier,5.449999809265137,2,5600,ARI@SF,ARI,SF,,,,,,RB/FLEX
134516-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,6.800000190734863,2,5600,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-85845,WR,Rashod,Rashod Bateman,Bateman,9.149999618530273,2,5600,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-42104,RB,Alvin,Alvin Kamara,Kamara,4.699999809265137,1,5500,LV@NO,NO,LV,,,,,,RB/FLEX
134516-61593,WR,Jauan,Jauan Jennings,Jennings,0,1,5400,MIN@TB,MIN,TB,Q,Personal,,,,WR/FLEX
134516-52436,TE,Mark,Mark Andrews,Andrews,7.400000095367432,2,5400,BAL@DAL,BAL,DAL,,,,,,TE/FLEX
134516-206341,WR,Ted,Ted Hurst III,Hurst III,4.400000095367432,2,5300,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-38264,WR,Demarcus,Demarcus Robinson,Robinson,8.449999809265137,2,5300,ARI@SF,SF,ARI,O,Ankle,,,,WR/FLEX
134516-167881,RB,Kaelon,Kaelon Black,Black,5,2,5300,ARI@SF,SF,ARI,,,,,,RB/FLEX
134516-64808,TE,Juwan,Juwan Johnson,Johnson,10.75,2,5200,LV@NO,NO,LV,,,,,,TE/FLEX
134516-201233,WR,Ryan,Ryan Flournoy,Flournoy,4,2,5100,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-71706,TE,T.J.,T.J. Hockenson,Hockenson,8,2,5100,MIN@TB,MIN,TB,,,,,,TE/FLEX
134516-128624,WR,Tez,Tez Johnson,Johnson,2.5,2,5100,MIN@TB,TB,MIN,,,,,,WR/FLEX
