Position,Team,Salary,Id,Nickname,First Name,Last Name,Opponent,AvgPointsPerGame,id_source
QB,DAL,7700,1501,Dak Prescott,Dak,Prescott,PHI,19.917333333333332,rotoguru_gid
QB,LAC,8000,1552,Justin Herbert,Justin,Herbert,LV,22.958750000000002,rotoguru_gid
QB,TEN,7300,1410,Ryan Tannehill,Ryan,Tannehill,HOU,15.9425,rotoguru_gid
QB,HOU,6400,1574,Davis Mills,Davis,Mills,TEN,11.643333333333333,rotoguru_gid
QB,KC,8500,1523,Patrick Mahomes II,Patrick,Mahomes II,DEN,21.778750000000002,rotoguru_gid
QB,TB,8100,1131,Tom Brady,Tom,Brady,CAR,22.60625,rotoguru_gid
QB,SEA,7500,1412,Russell Wilson,Russell,Wilson,ARI,17.215384615384615,rotoguru_gid
QB,BUF,8800,1529,Josh Allen,Josh,Allen,NYJ,24.607499999999998,rotoguru_gid
QB,DEN,6500,1547,Drew Lock,Drew,Lock,KC,6.28,rotoguru_gid
QB,MIN,7200,1415,Kirk Cousins,Kirk,Cousins,CHI,19.029333333333334,rotoguru_gid
QB,LA,7400,1340,Matthew Stafford,Matthew,Stafford,SF,20.45125,rotoguru_gid
QB,JAX,6500,1565,Trevor Lawrence,Trevor,Lawrence,IND,12.33875,rotoguru_gid
QB,CHI,6300,1403,Andy Dalton,Andy,Dalton,MIN,10.785714285714286,rotoguru_gid
QB,DET,6800,1490,Jared Goff,Jared,Goff,GB,14.229230769230771,rotoguru_gid
QB,ARI,8400,1537,Kyler Murray,Kyler,Murray,SEA,22.567692307692308,rotoguru_gid
QB,CAR,6600,1524,Sam Darnold,Sam,Darnold,TB,14.052727272727271,rotoguru_gid
QB,PHI,6100,1540,Gardner Minshew,Gardner,Minshew,DAL,6.406666666666667,rotoguru_gid
QB,LV,6800,1441,Derek Carr,Derek,Carr,LAC,15.97625,rotoguru_gid
QB,SF,7000,1452,Jimmy Garoppolo,Jimmy,Garoppolo,LA,16.054285714285715,rotoguru_gid
QB,GB,8200,1252,Aaron Rodgers,Aaron,Rodgers,DET,21.505333333333333,rotoguru_gid
QB,CLE,6300,1435,Case Keenum,Case,Keenum,CIN,2.69,rotoguru_gid
QB,PIT,6700,1232,Ben Roethlisberger,Ben,Roethlisberger,BAL,14.382666666666667,rotoguru_gid
QB,MIA,6500,1551,Tua Tagovailoa,Tua,Tagovailoa,NE,14.896666666666667,rotoguru_gid
QB,IND,7200,1514,Carson Wentz,Carson,Wentz,JAX,15.8075,rotoguru_gid
QB,NE,7000,1572,Mac Jones,Mac,Jones,MIA,14.13375,rotoguru_gid
QB,ATL,6400,1301,Matt Ryan,Matt,Ryan,NO,13.942499999999999,rotoguru_gid
QB,NO,6200,1488,Trevor Siemian,Trevor,Siemian,ATL,16.484,rotoguru_gid
