Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,K.J. Osborn (43778600),K.J. Osborn,43778600,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,TEN,0,
WR,Coleman Owen (43778602),Coleman Owen,43778602,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,0,
WR,Phillip Dorsett II (43778604),Phillip Dorsett II,43778604,WR/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,LV,0,
WR,Kyle Dixon (43778606),Kyle Dixon,43778606,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,0,
WR,Jalen Brooks (43778608),Jalen Brooks,43778608,WR/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,ARI,1.2,
WR,Max Hurleman (43778610),Max Hurleman,43778610,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,0,
WR,Luke Grimm (43778612),Luke Grimm,43778612,WR/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,0,
WR,Junior Bergen (43778614),Junior Bergen,43778614,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,0,
TE,Anthony Firkser (43778616),Anthony Firkser,43778616,TE/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,1.9,IR
WR,Jared Wayne (43778618),Jared Wayne,43778618,WR/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,4,
WR,Kendric Pryor (43778620),Kendric Pryor,43778620,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,CIN,0,
WR,Tay Martin (43778622),Tay Martin,43778622,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,1.4,
WR,J. Michael Sturdivant (43778624),J. Michael Sturdivant,43778624,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,0,
WR,Xavier Restrepo (43778626),Xavier Restrepo,43778626,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,TEN,3.6,
WR,Eli Pancol (43778628),Eli Pancol,43778628,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,0,
WR,Brandon Johnson (43778630),Brandon Johnson,43778630,WR/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,LV,0,
WR,Cameron Dorner (43778632),Cameron Dorner,43778632,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,0,
WR,Harrison Wallace III (43778634),Harrison Wallace III,43778634,WR/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,ARI,0,
WR,Brandon Smith (43778636),Brandon Smith,43778636,WR/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,0,
