Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jahmyr Gibbs (44220302),Jahmyr Gibbs,44220302,RB/FLEX,8800,NYJ@DET 09/27/2026 01:00PM ET,DET,30.5,
WR,Jaxon Smith-Njigba (44220610),Jaxon Smith-Njigba,44220610,WR/FLEX,8600,SEA@WAS 09/27/2026 01:00PM ET,SEA,37.4,
RB,Christian McCaffrey (44220304),Christian McCaffrey,44220304,RB/FLEX,8300,ARI@SF 09/27/2026 04:05PM ET,SF,18.2,
WR,Ja'Marr Chase (44220612),Ja'Marr Chase,44220612,WR/FLEX,8100,CIN@PIT 09/27/2026 01:00PM ET,CIN,14.9,
QB,Josh Allen (44220217),Josh Allen,44220217,QB,8000,LAC@BUF 09/27/2026 01:00PM ET,BUF,39.7,
WR,Amon-Ra St. Brown (44220614),Amon-Ra St. Brown,44220614,WR/FLEX,7900,NYJ@DET 09/27/2026 01:00PM ET,DET,33.5,
WR,CeeDee Lamb (44220616),CeeDee Lamb,44220616,WR/FLEX,7800,BAL@DAL 09/27/2026 04:25PM ET,DAL,26.9,
RB,Derrick Henry (44220306),Derrick Henry,44220306,RB/FLEX,7700,BAL@DAL 09/27/2026 04:25PM ET,BAL,28,
RB,Jonathan Taylor (44220308),Jonathan Taylor,44220308,RB/FLEX,7600,HOU@IND 09/27/2026 01:00PM ET,IND,27.7,
QB,Lamar Jackson (44220218),Lamar Jackson,44220218,QB,7500,BAL@DAL 09/27/2026 04:25PM ET,BAL,22.4,
WR,Justin Jefferson (44220618),Justin Jefferson,44220618,WR/FLEX,7500,MIN@TB 09/27/2026 04:05PM ET,MIN,19.9,
RB,Kenneth Walker III (44220310),Kenneth Walker III,44220310,RB/FLEX,7400,KC@MIA 09/27/2026 01:00PM ET,KC,32,
WR,Chris Olave (44220620),Chris Olave,44220620,WR/FLEX,7200,LV@NO 09/27/2026 04:25PM ET,NO,26.9,
RB,Ashton Jeanty (44220312),Ashton Jeanty,44220312,RB/FLEX,7100,LV@NO 09/27/2026 04:25PM ET,LV,23,
WR,Nico Collins (44220622),Nico Collins,44220622,WR/FLEX,7000,HOU@IND 09/27/2026 01:00PM ET,HOU,21.2,Q
RB,James Cook III (44220314),James Cook III,44220314,RB/FLEX,6900,LAC@BUF 09/27/2026 01:00PM ET,BUF,16.9,
WR,Zay Flowers (44220624),Zay Flowers,44220624,WR/FLEX,6900,BAL@DAL 09/27/2026 04:25PM ET,BAL,29,Q
RB,Omarion Hampton (44220316),Omarion Hampton,44220316,RB/FLEX,6800,LAC@BUF 09/27/2026 01:00PM ET,LAC,13.9,
WR,Mike Evans (44220626),Mike Evans,44220626,WR/FLEX,6800,ARI@SF 09/27/2026 04:05PM ET,SF,12.7,Q
QB,Dak Prescott (44220219),Dak Prescott,44220219,QB,6700,BAL@DAL 09/27/2026 04:25PM ET,DAL,22.6,
RB,Javonte Williams (44220318),Javonte Williams,44220318,RB/FLEX,6700,BAL@DAL 09/27/2026 04:25PM ET,DAL,16.1,
TE,Trey McBride (44221104),Trey McBride,44221104,TE/FLEX,6700,ARI@SF 09/27/2026 04:05PM ET,ARI,21.3,
QB,Joe Burrow (44220220),Joe Burrow,44220220,QB,6600,CIN@PIT 09/27/2026 01:00PM ET,CIN,15.7,
RB,Chase Brown (44220320),Chase Brown,44220320,RB/FLEX,6600,CIN@PIT 09/27/2026 01:00PM ET,CIN,15,
WR,George Pickens (44220628),George Pickens,44220628,WR/FLEX,6600,BAL@DAL 09/27/2026 04:25PM ET,DAL,7.9,
TE,Brock Bowers (44221106),Brock Bowers,44221106,TE/FLEX,6600,LV@NO 09/27/2026 04:25PM ET,LV,0,Q
QB,Brock Purdy (44220221),Brock Purdy,44220221,QB,6500,ARI@SF 09/27/2026 04:05PM ET,SF,25.3,
RB,De'Von Achane (44220322),De'Von Achane,44220322,RB/FLEX,6500,KC@MIA 09/27/2026 01:00PM ET,MIA,11.5,
WR,Malik Nabers (44220630),Malik Nabers,44220630,WR/FLEX,6500,TEN@NYG 09/27/2026 01:00PM ET,NYG,7,Q
RB,Breece Hall (44220324),Breece Hall,44220324,RB/FLEX,6400,NYJ@DET 09/27/2026 01:00PM ET,NYJ,18.5,
WR,Rashee Rice (44220632),Rashee Rice,44220632,WR/FLEX,6400,KC@MIA 09/27/2026 01:00PM ET,KC,11.1,
QB,Jared Goff (44220222),Jared Goff,44220222,QB,6300,NYJ@DET 09/27/2026 01:00PM ET,DET,24.6,
RB,Bucky Irving (44220326),Bucky Irving,44220326,RB/FLEX,6300,MIN@TB 09/27/2026 04:05PM ET,TB,17.2,
WR,Garrett Wilson (44220634),Garrett Wilson,44220634,WR/FLEX,6300,NYJ@DET 09/27/2026 01:00PM ET,NYJ,15.3,
QB,Patrick Mahomes (44220223),Patrick Mahomes,44220223,QB,6200,KC@MIA 09/27/2026 01:00PM ET,KC,27.3,
RB,Cam Skattebo (44220328),Cam Skattebo,44220328,RB/FLEX,6200,TEN@NYG 09/27/2026 01:00PM ET,NYG,11.8,
WR,Emeka Egbuka (44220636),Emeka Egbuka,44220636,WR/FLEX,6200,MIN@TB 09/27/2026 04:05PM ET,TB,10.8,
QB,Drake Maye (44220224),Drake Maye,44220224,QB,6100,NE@JAX 09/27/2026 01:00PM ET,NE,10.9,
RB,Chuba Hubbard (44220330),Chuba Hubbard,44220330,RB/FLEX,6100,CAR@CLE 09/27/2026 01:00PM ET,CAR,19.1,
WR,Tee Higgins (44220638),Tee Higgins,44220638,WR/FLEX,6100,CIN@PIT 09/27/2026 01:00PM ET,CIN,11.7,
QB,Jayden Daniels (44220225),Jayden Daniels,44220225,QB,6000,SEA@WAS 09/27/2026 01:00PM ET,WAS,16.2,D
RB,David Montgomery (44220332),David Montgomery,44220332,RB/FLEX,6000,HOU@IND 09/27/2026 01:00PM ET,HOU,16.7,
WR,Parker Washington (44220640),Parker Washington,44220640,WR/FLEX,6000,NE@JAX 09/27/2026 01:00PM ET,JAX,18.1,
WR,Tetairoa McMillan (44220642),Tetairoa McMillan,44220642,WR/FLEX,6000,CAR@CLE 09/27/2026 01:00PM ET,CAR,14.8,
QB,Jaxson Dart (44220226),Jaxson Dart,44220226,QB,5900,TEN@NYG 09/27/2026 01:00PM ET,NYG,13.7,D
RB,Aaron Jones Sr. (44220334),Aaron Jones Sr.,44220334,RB/FLEX,5900,MIN@TB 09/27/2026 04:05PM ET,MIN,11.8,
WR,Ladd McConkey (44220644),Ladd McConkey,44220644,WR/FLEX,5900,LAC@BUF 09/27/2026 01:00PM ET,LAC,12.9,
QB,Justin Herbert (44220227),Justin Herbert,44220227,QB,5800,LAC@BUF 09/27/2026 01:00PM ET,LAC,12.1,
RB,Travis Etienne Jr. (44220336),Travis Etienne Jr.,44220336,RB/FLEX,5800,LV@NO 09/27/2026 04:25PM ET,NO,11,
WR,DJ Moore (44220646),DJ Moore,44220646,WR/FLEX,5800,LAC@BUF 09/27/2026 01:00PM ET,BUF,12,Q
QB,Trevor Lawrence (44220228),Trevor Lawrence,44220228,QB,5700,NE@JAX 09/27/2026 01:00PM ET,JAX,16.6,
RB,Jaylen Warren (44220338),Jaylen Warren,44220338,RB/FLEX,5700,CIN@PIT 09/27/2026 01:00PM ET,PIT,10.5,
WR,Josh Downs (44220648),Josh Downs,44220648,WR/FLEX,5700,HOU@IND 09/27/2026 01:00PM ET,IND,10,
QB,Bryce Young (44220229),Bryce Young,44220229,QB,5600,CAR@CLE 09/27/2026 01:00PM ET,CAR,29.8,
RB,Bhayshul Tuten (44220340),Bhayshul Tuten,44220340,RB/FLEX,5600,NE@JAX 09/27/2026 01:00PM ET,JAX,12,
WR,Alec Pierce (44220650),Alec Pierce,44220650,WR/FLEX,5600,HOU@IND 09/27/2026 01:00PM ET,IND,6.1,D
QB,C.J. Stroud (44220230),C.J. Stroud,44220230,QB,5500,HOU@IND 09/27/2026 01:00PM ET,HOU,19.2,
RB,Jeremiyah Love (44220342),Jeremiyah Love,44220342,RB/FLEX,5500,ARI@SF 09/27/2026 04:05PM ET,ARI,10.3,
RB,Quinshon Judkins (44220344),Quinshon Judkins,44220344,RB/FLEX,5500,CAR@CLE 09/27/2026 01:00PM ET,CLE,8.4,
WR,Stefon Diggs (44220652),Stefon Diggs,44220652,WR/FLEX,5500,SEA@WAS 09/27/2026 01:00PM ET,WAS,18.6,
WR,Jalen Coker (44220654),Jalen Coker,44220654,WR/FLEX,5500,CAR@CLE 09/27/2026 01:00PM ET,CAR,25.7,
TE,Dalton Kincaid (44221108),Dalton Kincaid,44221108,TE/FLEX,5500,LAC@BUF 09/27/2026 01:00PM ET,BUF,21.8,
QB,Sam Darnold (44220231),Sam Darnold,44220231,QB,5400,SEA@WAS 09/27/2026 01:00PM ET,SEA,0.5,Q
QB,Tyler Shough (44220232),Tyler Shough,44220232,QB,5400,LV@NO 09/27/2026 04:25PM ET,NO,25.8,
RB,Rhamondre Stevenson (44220346),Rhamondre Stevenson,44220346,RB/FLEX,5400,NE@JAX 09/27/2026 01:00PM ET,NE,9.6,
RB,Tony Pollard (44220348),Tony Pollard,44220348,RB/FLEX,5400,TEN@NYG 09/27/2026 01:00PM ET,TEN,6,
WR,Jameson Williams (44220656),Jameson Williams,44220656,WR/FLEX,5400,NYJ@DET 09/27/2026 01:00PM ET,DET,6.9,
WR,DK Metcalf (44220658),DK Metcalf,44220658,WR/FLEX,5400,CIN@PIT 09/27/2026 01:00PM ET,PIT,7.4,
QB,Baker Mayfield (44220233),Baker Mayfield,44220233,QB,5300,MIN@TB 09/27/2026 04:05PM ET,TB,13.9,
RB,Jacory Croskey-Merritt (44220350),Jacory Croskey-Merritt,44220350,RB/FLEX,5300,SEA@WAS 09/27/2026 01:00PM ET,WAS,9.2,
RB,Jadarian Price (44220352),Jadarian Price,44220352,RB/FLEX,5300,SEA@WAS 09/27/2026 01:00PM ET,SEA,6.9,Q
WR,Chris Godwin Jr. (44220660),Chris Godwin Jr.,44220660,WR/FLEX,5300,MIN@TB 09/27/2026 04:05PM ET,TB,8.6,
WR,Deebo Samuel Sr. (44220662),Deebo Samuel Sr.,44220662,WR/FLEX,5300,ARI@SF 09/27/2026 04:05PM ET,SF,12.3,
TE,Tyler Warren (44221110),Tyler Warren,44221110,TE/FLEX,5300,HOU@IND 09/27/2026 01:00PM ET,IND,12.4,
QB,Drew Lock (44220234),Drew Lock,44220234,QB,5200,SEA@WAS 09/27/2026 01:00PM ET,SEA,17.1,
RB,TreVeyon Henderson (44220354),TreVeyon Henderson,44220354,RB/FLEX,5200,NE@JAX 09/27/2026 01:00PM ET,NE,13.6,
WR,Michael Wilson (44220664),Michael Wilson,44220664,WR/FLEX,5200,ARI@SF 09/27/2026 04:05PM ET,ARI,7.2,
QB,Kyler Murray (44220235),Kyler Murray,44220235,QB,5100,MIN@TB 09/27/2026 04:05PM ET,MIN,0.6,
QB,Cam Ward (44220236),Cam Ward,44220236,QB,5100,TEN@NYG 09/27/2026 01:00PM ET,TEN,15.9,
RB,Rachaad White (44220356),Rachaad White,44220356,RB/FLEX,5100,SEA@WAS 09/27/2026 01:00PM ET,WAS,9.5,
WR,Romeo Doubs (44220666),Romeo Doubs,44220666,WR/FLEX,5100,NE@JAX 09/27/2026 01:00PM ET,NE,6.3,
WR,Terry McLaurin (44220668),Terry McLaurin,44220668,WR/FLEX,5100,SEA@WAS 09/27/2026 01:00PM ET,WAS,5.2,
QB,Daniel Jones (44220237),Daniel Jones,44220237,QB,5000,HOU@IND 09/27/2026 01:00PM ET,IND,11.2,
QB,Aaron Rodgers (44220238),Aaron Rodgers,44220238,QB,5000,CIN@PIT 09/27/2026 01:00PM ET,PIT,9.3,
RB,Tyler Allgeier (44220358),Tyler Allgeier,44220358,RB/FLEX,5000,ARI@SF 09/27/2026 04:05PM ET,ARI,6.5,
RB,Woody Marks (44220360),Woody Marks,44220360,RB/FLEX,5000,HOU@IND 09/27/2026 01:00PM ET,HOU,6.8,
WR,Carnell Tate (44220670),Carnell Tate,44220670,WR/FLEX,5000,TEN@NYG 09/27/2026 01:00PM ET,TEN,6.8,
WR,Tre Tucker (44220672),Tre Tucker,44220672,WR/FLEX,5000,LV@NO 09/27/2026 04:25PM ET,LV,15.3,
QB,Malik Willis (44220239),Malik Willis,44220239,QB,4900,KC@MIA 09/27/2026 01:00PM ET,MIA,15.1,
QB,Geno Smith (44220240),Geno Smith,44220240,QB,4900,NYJ@DET 09/27/2026 01:00PM ET,NYJ,12.4,
RB,Tyjae Spears (44220362),Tyjae Spears,44220362,RB/FLEX,4900,TEN@NYG 09/27/2026 01:00PM ET,TEN,6.7,
RB,Emanuel Wilson (44220364),Emanuel Wilson,44220364,RB/FLEX,4900,SEA@WAS 09/27/2026 01:00PM ET,SEA,4.8,
WR,Quentin Johnston (44220674),Quentin Johnston,44220674,WR/FLEX,4900,LAC@BUF 09/27/2026 01:00PM ET,LAC,3.1,
WR,Jordan Addison (44220676),Jordan Addison,44220676,WR/FLEX,4900,MIN@TB 09/27/2026 04:05PM ET,MIN,2.1,
QB,Jacoby Brissett (44220241),Jacoby Brissett,44220241,QB,4800,ARI@SF 09/27/2026 04:05PM ET,ARI,12,
QB,Kirk Cousins (44220242),Kirk Cousins,44220242,QB,4800,LV@NO 09/27/2026 04:25PM ET,LV,18.5,
RB,Kaelon Black (44220366),Kaelon Black,44220366,RB/FLEX,4800,ARI@SF 09/27/2026 04:05PM ET,SF,5.3,
