team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
LV,pass,1.0,exclusive,24.5,32.84,1.3405,8.34
SEA,pass,1.0,exclusive,39.67,30.39,0.766,9.28
LV,rush,0.973,recent,37.23,28.56,0.7671,8.67
ARI,pass,1.0,exclusive,27.82,34.2,1.2295,6.38
ARI,rush,1.0,recent,36.47,28.97,0.7943,7.5
SF,recv,0.9706,recent,39.81,32.77,0.8231,7.04
WAS,rush,1.0,recent,33.69,27.98,0.8305,5.71
LV,recv,1.0,recent,38.16,31.75,0.8319,6.41
ARI,recv,1.0,recent,40.03,33.72,0.8423,6.31
JAX,pass,1.0,exclusive,27.06,31.28,1.156,4.22
JAX,rush,0.9688,recent,33.11,28.1,0.8485,5.02
SF,rush,1.0,recent,36.14,30.87,0.8543,5.27
MIA,pass,1.0,exclusive,28.56,32.37,1.1336,3.82
LAC,rush,1.0,full_season,29.1,25.38,0.8724,3.71
MIA,recv,1.0,recent,35.54,31.45,0.8849,4.09
LAC,recv,1.0,recent,34.67,31.13,0.8978,3.54
DEN,pass,1.0,exclusive,29.71,32.72,1.1013,3.01
MIA,rush,1.0,full_season,25.38,22.88,0.9015,2.5
SEA,rush,1.0,full_season,28.54,25.94,0.9089,2.6
LAC,pass,1.0,exclusive,29.35,31.92,1.0875,2.57
WAS,recv,1.0,recent,36.43,33.52,0.9201,2.91
SEA,recv,1.0,full_season,32.0,29.53,0.923,2.46
DEN,recv,1.0,recent,33.83,31.58,0.9336,2.25
DAL,recv,1.0,recent,36.15,33.85,0.9365,2.29
JAX,recv,0.9524,full_season,29.98,28.22,0.9412,1.76
WAS,pass,1.0,exclusive,34.52,35.88,1.0395,1.36
DAL,pass,1.0,exclusive,34.58,35.85,1.0366,1.27
SF,pass,1.0,exclusive,33.56,34.31,1.0224,0.75
DAL,rush,1.0,full_season,24.63,24.25,0.9846,0.38
DEN,rush,1.0,full_season,23.64,23.61,0.9987,0.03
