fetched_at_utc,rank,player,pos,team,game,salary,projection,value,wwo_slate_ids,our_salary,salary_match
2026-09-25T10:28:00+00:00,3,Tyler Shough,QB,NO,LV @ NO,5400,19.51,3.61,"153773,153772,153771,153769",5400,1
2026-09-25T10:28:00+00:00,6,Kyler Murray,QB,MIN,MIN @ TB,5100,17.4,3.41,"153772,153771,153769",5100,1
2026-09-25T10:28:00+00:00,11,Jacoby Brissett,QB,ARI,ARI @ SF,4800,15.56,3.24,"153772,153771,153769",4800,1
2026-09-25T10:28:00+00:00,12,Brock Purdy,QB,SF,ARI @ SF,6500,20.71,3.19,"153772,153771,153769",6500,1
2026-09-25T10:28:00+00:00,13,Lamar Jackson,QB,BAL,BAL @ DAL,7500,23.87,3.18,"153773,153772,153771,153769",7500,1
2026-09-25T10:28:00+00:00,16,Baker Mayfield,QB,TB,MIN @ TB,5300,16.52,3.12,"153772,153771,153769",5300,1
2026-09-25T10:28:00+00:00,20,Kirk Cousins,QB,LV,LV @ NO,4800,14.68,3.06,"153773,153772,153771,153769",4800,1
2026-09-25T10:28:00+00:00,24,Dak Prescott,QB,DAL,BAL @ DAL,6700,20.32,3.03,"153773,153772,153771,153769",6700,1
2026-09-25T10:28:00+00:00,39,Mark Andrews,TE,BAL,BAL @ DAL,4400,11.95,2.72,"153773,153772,153771,153769",4400,1
2026-09-25T10:28:00+00:00,41,T.J. Hockenson,TE,MIN,MIN @ TB,3200,8.71,2.72,"153772,153771,153769",3200,1
2026-09-25T10:28:00+00:00,48,Devaughn Vele,WR,NO,LV @ NO,4400,11.22,2.55,"153773,153772,153771,153769",4400,1
2026-09-25T10:28:00+00:00,51,Ashton Jeanty,RB,LV,LV @ NO,7100,17.79,2.51,"153773,153772,153771,153769",7100,1
2026-09-25T10:28:00+00:00,52,Trey McBride,TE,ARI,ARI @ SF,6700,16.84,2.51,"153772,153771,153769",6700,1
2026-09-25T10:28:00+00:00,55,Christian McCaffrey,RB,SF,ARI @ SF,8300,20.59,2.48,"153772,153771,153769",8300,1
2026-09-25T10:28:00+00:00,57,Zay Flowers,WR,BAL,BAL @ DAL,6900,17.04,2.47,"153773,153772,153771,153769",6900,1
2026-09-25T10:28:00+00:00,58,Cade Otton,TE,TB,MIN @ TB,3100,7.63,2.46,"153772,153771,153769",3100,1
2026-09-25T10:28:00+00:00,59,Juwan Johnson,TE,NO,LV @ NO,3700,9.09,2.46,"153773,153772,153771,153769",3700,1
2026-09-25T10:28:00+00:00,64,CeeDee Lamb,WR,DAL,BAL @ DAL,7800,18.93,2.43,"153773,153772,153771,153769",7800,1
2026-09-25T10:28:00+00:00,65,Rashod Bateman,WR,BAL,BAL @ DAL,4700,11.42,2.43,"153773,153772,153771,153769",4700,1
2026-09-25T10:28:00+00:00,70,Javonte Williams,RB,DAL,BAL @ DAL,6700,16.03,2.39,"153773,153772,153771,153769",6700,1
2026-09-25T10:28:00+00:00,73,Aaron Jones Sr.,RB,MIN,MIN @ TB,5900,13.98,2.37,"153772,153771,153769",5900,1
2026-09-25T10:28:00+00:00,76,George Kittle,TE,SF,ARI @ SF,4800,11.34,2.36,"153772,153771,153769",4800,1
2026-09-25T10:28:00+00:00,79,Chris Olave,WR,NO,LV @ NO,7200,17.02,2.36,"153773,153772,153771,153769",7200,1
2026-09-25T10:28:00+00:00,91,Derrick Henry,RB,BAL,BAL @ DAL,7700,17.34,2.25,"153773,153772,153771,153769",7700,1
2026-09-25T10:28:00+00:00,93,George Pickens,WR,DAL,BAL @ DAL,6600,14.78,2.24,"153773,153772,153771,153769",6600,1
2026-09-25T10:28:00+00:00,102,Bucky Irving,RB,TB,MIN @ TB,6300,13.6,2.16,"153772,153771,153769",6300,1
2026-09-25T10:28:00+00:00,103,Ryan Flournoy,WR,DAL,BAL @ DAL,3800,8.19,2.16,"153773,153772,153771,153769",3800,1
2026-09-25T10:28:00+00:00,105,Jake Ferguson,TE,DAL,BAL @ DAL,4100,8.79,2.14,"153773,153772,153771,153769",4100,1
2026-09-25T10:28:00+00:00,107,Justin Jefferson,WR,MIN,MIN @ TB,7500,15.94,2.13,"153772,153771,153769",7500,1
2026-09-25T10:28:00+00:00,110,Deebo Samuel Sr.,WR,SF,ARI @ SF,5300,11.19,2.11,"153772,153771,153769",5300,1
2026-09-25T10:28:00+00:00,112,Ted Hurst III,WR,TB,MIN @ TB,3000,6.33,2.11,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,119,Travis Etienne Jr.,RB,NO,LV @ NO,5800,11.8,2.03,"153773,153772,153771,153769",5800,1
2026-09-25T10:28:00+00:00,126,Jeremiyah Love,RB,ARI,ARI @ SF,5500,10.99,2.0,"153772,153771,153769",5500,1
2026-09-25T10:28:00+00:00,130,Michael Wilson,WR,ARI,ARI @ SF,5200,10.36,1.99,"153772,153771,153769",5200,1
2026-09-25T10:28:00+00:00,132,LaJohntay Wester,WR,BAL,BAL @ DAL,3000,5.94,1.98,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,133,Tre Tucker,WR,LV,LV @ NO,5000,9.84,1.97,"153773,153772,153771,153769",5000,1
2026-09-25T10:28:00+00:00,141,Alvin Kamara,RB,NO,LV @ NO,4800,9.11,1.9,"153773,153772,153771,153769",4800,1
2026-09-25T10:28:00+00:00,144,Jordan Addison,WR,MIN,MIN @ TB,4900,9.26,1.89,"153772,153771,153769",4900,1
2026-09-25T10:28:00+00:00,146,Mike Evans,WR,SF,ARI @ SF,6800,12.77,1.88,"153772,153771,153769",6800,1
2026-09-25T10:28:00+00:00,150,Brock Bowers,TE,LV,LV @ NO,6600,12.23,1.85,"153773,153772,153771,153769",6600,1
2026-09-25T10:28:00+00:00,152,Emeka Egbuka,WR,TB,MIN @ TB,6200,11.34,1.83,"153772,153771,153769",6200,1
2026-09-25T10:28:00+00:00,160,Jalen Nailor,WR,LV,LV @ NO,3700,6.56,1.77,"153773,153772,153771,153769",3700,1
2026-09-25T10:28:00+00:00,165,Chris Moore,WR,BAL,BAL @ DAL,3100,5.32,1.72,"153773,153772,153771,153769",3100,1
2026-09-25T10:28:00+00:00,171,Michael Mayer,TE,LV,LV @ NO,3300,5.5,1.67,"153773,153772,153771,153769",3300,1
2026-09-25T10:28:00+00:00,173,Chris Godwin Jr.,WR,TB,MIN @ TB,5300,8.66,1.63,"153772,153771,153769",5300,1
2026-09-25T10:28:00+00:00,174,Tyler Allgeier,RB,ARI,ARI @ SF,5000,8.09,1.62,"153772,153771,153769",5000,1
2026-09-25T10:28:00+00:00,177,Kenny Gainwell,RB,TB,MIN @ TB,4800,7.6,1.58,"153772,153771,153769",4800,1
2026-09-25T10:28:00+00:00,190,Bryce Lance,WR,NO,LV @ NO,3000,4.47,1.49,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,191,Marvin Harrison Jr.,WR,ARI,ARI @ SF,4700,6.95,1.48,"153772,153771,153769",4700,1
2026-09-25T10:28:00+00:00,193,Justice Hill,RB,BAL,BAL @ DAL,4200,6.19,1.47,"153773,153772,153771,153769",4200,1
2026-09-25T10:28:00+00:00,194,Kendrick Bourne,WR,ARI,ARI @ SF,3700,5.45,1.47,"153772,153771,153769",3700,1
2026-09-25T10:28:00+00:00,201,Jack Bech,WR,LV,LV @ NO,3500,4.97,1.42,"153773,153772,153771,153769",3500,1
2026-09-25T10:28:00+00:00,207,Kaelon Black,RB,SF,ARI @ SF,4800,6.59,1.37,"153772,153771,153769",4800,1
2026-09-25T10:28:00+00:00,208,Josh Oliver,TE,MIN,MIN @ TB,2500,3.38,1.35,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,211,Durham Smythe,TE,BAL,BAL @ DAL,2500,3.26,1.3,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,231,Noah Fant,TE,NO,LV @ NO,3200,3.59,1.12,"153773,153772,153771,153769",3200,1
2026-09-25T10:28:00+00:00,239,Jauan Jennings,WR,MIN,MIN @ TB,3600,3.92,1.09,"153772,153771,153769",3600,1
2026-09-25T10:28:00+00:00,243,KaVontae Turpin,WR,DAL,BAL @ DAL,3000,3.15,1.05,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,247,Jacob Cowing,WR,SF,ARI @ SF,3300,3.33,1.01,"153772,153771,153769",3300,1
2026-09-25T10:28:00+00:00,252,Jalen McMillan,WR,TB,MIN @ TB,4100,3.91,0.95,"153772,153771,153769",4100,1
2026-09-25T10:28:00+00:00,255,Luke Farrell,TE,SF,ARI @ SF,2500,2.36,0.94,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,256,DeeJay Dallas,RB,MIN,MIN @ TB,4200,3.92,0.93,"153772,153771,153769",4200,1
2026-09-25T10:28:00+00:00,262,Matt Hibner,TE,BAL,BAL @ DAL,2500,2.16,0.86,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,265,Devontez Walker,WR,BAL,BAL @ DAL,3500,2.96,0.85,"153773,153772,153771,153769",3500,1
2026-09-25T10:28:00+00:00,267,Elijah Higgins,TE,ARI,ARI @ SF,2500,2.12,0.85,"153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,268,Oscar Delp,TE,NO,LV @ NO,2500,2.07,0.83,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,273,Emari Demercado,RB,DAL,BAL @ DAL,4200,3.34,0.8,"153773,153772,153771,153769",4200,1
2026-09-25T10:28:00+00:00,277,Mike Washington Jr.,RB,LV,LV @ NO,4100,3.14,0.77,"153773,153772,153771,153769",4100,1
2026-09-25T10:28:00+00:00,279,Tez Johnson,WR,TB,MIN @ TB,3000,2.32,0.77,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,283,Luke Schoonmaker,TE,DAL,BAL @ DAL,2500,1.87,0.75,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,292,Brevyn Spann-Ford,TE,DAL,BAL @ DAL,2500,1.59,0.64,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,294,Tai Felton,WR,MIN,MIN @ TB,3000,1.92,0.64,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,297,KhaDarel Hodge,WR,SF,ARI @ SF,3000,1.87,0.62,"153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,299,Barion Brown,WR,NO,LV @ NO,3000,1.8,0.6,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,308,Demond Claiborne,RB,MIN,MIN @ TB,4400,2.55,0.58,"153772,153771,153769",4400,1
2026-09-25T10:28:00+00:00,319,Jordan Watkins,WR,SF,ARI @ SF,3100,1.57,0.51,"153772,153771,153769",3100,1
2026-09-25T10:28:00+00:00,321,Josh Cuevas,TE,BAL,BAL @ DAL,2500,1.26,0.5,"153773,153772,153771,153769",2500,1
2026-09-25T10:28:00+00:00,322,Malik Benson,WR,LV,LV @ NO,3000,1.48,0.49,"153773,153772,153771,153769",3000,1
2026-09-25T10:28:00+00:00,330,Brandin Cooks,WR,SF,ARI @ SF,3500,1.57,0.45,"153772,153771,153769",3500,1
2026-09-25T10:28:00+00:00,331,Kyle Juszczyk,RB,SF,ARI @ SF,4000,1.8,0.45,"153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,333,CJ Donaldson,RB,NO,LV @ NO,4000,1.68,0.42,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,336,Hunter Luepke,RB,DAL,BAL @ DAL,4000,1.52,0.38,"153773,153772,153771,153769",4000,1
2026-09-25T10:28:00+00:00,338,Cody White,WR,LV,LV @ NO,3200,1.18,0.37,"153773,153772,153771,153769",3200,1
