player,salary,proj_own,lo,hi
Bijan Robinson,8200,76.1,57.9,89.5
Dalton Schultz,3200,66.0,57.9,84.2
Terry McLaurin,5200,49.1,36.8,57.9
Xavier Hutchinson,3500,38.2,15.8,57.9
Garrett Wilson,6000,36.1,21.1,52.6
Christian McCaffrey,8000,34.7,15.8,47.4
De'Von Achane,6700,30.5,10.5,52.6
Javonte Williams,6400,26.7,10.5,42.1
Brock Purdy,6200,24.6,10.5,47.4
CeeDee Lamb,7300,21.8,10.5,42.1
George Pickens,6300,19.6,0.0,42.1
Jalen Coker,5100,18.6,0.0,36.8
Dak Prescott,6400,18.2,0.0,31.6
Seattle Defense,3500,18.2,5.3,42.1
Aaron Jones Sr.,5100,18.2,5.3,26.3
Chicago Defense,3000,17.9,5.3,36.8
Ja'Marr Chase,7600,17.9,5.3,31.6
Jaxon Smith-Njigba,8100,17.5,10.5,26.3
Ashton Jeanty,6800,17.5,0.0,31.6
Harold Fannin Jr.,4100,16.1,5.3,36.8
Cleveland Defense,2200,16.1,5.3,31.6
LA Chargers Defense,3200,15.4,5.3,31.6
Christian Watson,6200,14.4,0.0,31.6
Derrick Henry,7200,13.0,0.0,31.6
Jayden Daniels,6300,11.6,0.0,21.1
Jake Ferguson,3800,11.2,0.0,31.6
Rashod Bateman,4400,10.9,0.0,21.1
Bucky Irving,6100,10.9,0.0,26.3
C.J. Stroud,5500,9.5,0.0,21.1
Breece Hall,6200,9.5,0.0,26.3
Tampa Bay Defense,3600,8.8,5.3,21.1
Devaughn Vele,4200,8.4,0.0,21.1
Saquon Barkley,7000,8.1,0.0,21.1
DK Metcalf,5200,7.0,0.0,15.8
Jadarian Price,5500,6.7,0.0,21.1
Jayden Reed,4500,6.7,0.0,15.8
Drake Maye,6100,6.0,0.0,15.8
Chase Brown,6900,6.0,0.0,15.8
Dallas Goedert,4800,6.0,0.0,26.3
Houston Defense,3000,6.0,0.0,15.8
Jordan Love,5900,5.6,0.0,15.8
Caleb Douglas,3700,5.6,0.0,15.8
Baker Mayfield,5600,4.9,0.0,15.8
Stefon Diggs,5300,4.9,0.0,15.8
Hunter Henry,4000,4.6,0.0,15.8
Jacksonville Defense,2400,4.6,0.0,10.5
Justin Jefferson,7800,4.2,0.0,15.8
Pittsburgh Defense,2800,4.2,0.0,10.5
Matthew Golden,4700,3.9,0.0,10.5
Tetairoa McMillan,6100,3.9,0.0,15.8
