player,salary,proj_own,lo,hi
Ja'Marr Chase,7800,53.7,31.6,84.2
Jahmyr Gibbs,8000,49.5,36.8,68.4
Garrett Wilson,5800,36.8,15.8,47.4
Amon-Ra St. Brown,7500,35.4,21.1,47.4
Dallas Goedert,4100,32.6,10.5,52.6
Sam LaPorta,4400,29.8,21.1,36.8
Tre Tucker,4000,29.8,15.8,42.1
Devaughn Vele,3500,27.4,15.8,42.1
Travis Etienne Jr.,5900,25.6,10.5,36.8
Bijan Robinson,7700,25.3,10.5,47.4
New Orleans Defense,2200,24.6,10.5,42.1
Saquon Barkley,6900,23.2,10.5,36.8
Tetairoa McMillan,6100,20.4,0.0,36.8
Juwan Johnson,3700,20.4,10.5,36.8
Jonathan Taylor,7300,18.6,5.3,31.6
Ashton Jeanty,6600,17.5,0.0,36.8
De'Von Achane,7000,17.2,10.5,31.6
Cleveland Defense,2100,16.8,5.3,31.6
Houston Defense,2900,16.5,5.3,26.3
Joe Burrow,6900,16.1,0.0,26.3
Justin Herbert,6100,14.7,0.0,36.8
Mark Andrews,3900,14.7,0.0,36.8
Derrick Henry,6700,14.0,0.0,21.1
Harold Fannin Jr.,4200,13.3,5.3,26.3
Jalen Hurts,6600,11.9,0.0,21.1
Zay Flowers,6400,11.6,5.3,21.1
Tyler Warren,4900,10.2,0.0,26.3
Drake London,6500,9.8,0.0,26.3
Bryce Young,5200,9.8,0.0,21.1
MarShawn Lloyd,4800,9.5,0.0,26.3
Bucky Irving,5700,9.5,0.0,21.1
Jared Goff,6000,9.1,0.0,31.6
T.J. Hockenson,3300,9.1,0.0,26.3
Breece Hall,6200,8.8,0.0,21.1
Quentin Johnston,4700,8.8,0.0,21.1
Justin Jefferson,7300,8.1,0.0,21.1
Ladd McConkey,5900,7.7,0.0,15.8
Jacksonville Defense,3400,7.7,0.0,15.8
Trevor Lawrence,5800,7.4,0.0,15.8
Michael Mayer,2900,7.4,0.0,15.8
Arizona Defense,2000,7.0,0.0,21.1
Chris Olave,6700,7.0,0.0,15.8
Tee Higgins,6300,6.7,0.0,15.8
DeVonta Smith,6600,6.3,0.0,15.8
Dalton Schultz,3400,6.3,0.0,15.8
Lamar Jackson,6800,6.0,0.0,15.8
Baker Mayfield,5900,5.6,0.0,15.8
Colston Loveland,5300,5.6,0.0,10.5
Omarion Hampton,6800,4.9,0.0,15.8
Chase Brown,7100,4.6,0.0,15.8
