player,salary,proj_own,lo,hi
Jahmyr Gibbs,8800,61.1,36.8,84.2
Travis Kelce,4500,47.7,26.3,68.4
Amon-Ra St. Brown,7900,47.0,26.3,63.2
Patrick Mahomes,6200,43.5,21.1,73.7
De'Von Achane,6500,42.1,15.8,73.7
Xavier Worthy,4400,41.4,21.1,63.2
Kenneth Walker,7400,38.9,21.1,52.6
Jalen Coker,5500,38.9,10.5,57.9
Carolina Defense,3000,38.2,15.8,57.9
Sam LaPorta,4300,36.8,21.1,57.9
Jaxon Smith-Njigba,8600,23.9,10.5,47.4
Jonathan Taylor,7600,22.8,10.5,47.4
AJ Barner,3100,22.1,10.5,31.6
Parker Washington,6000,22.1,5.3,42.1
Malik Washington,4200,20.0,5.3,42.1
Gunnar Helm,2900,19.6,5.3,31.6
Garrett Wilson,6300,18.6,5.3,26.3
Buffalo Defense,2800,17.5,5.3,31.6
Hunter Henry,3900,16.1,5.3,31.6
Josh Allen,8000,15.1,0.0,36.8
Chase Brown,6600,14.4,5.3,26.3
Brenton Strange,3400,13.7,0.0,31.6
Pittsburgh Defense,2700,13.3,5.3,31.6
Jared Goff,6300,13.0,0.0,31.6
Breece Hall,6400,10.2,0.0,26.3
Khalil Shakir,4800,9.5,0.0,21.1
Dalton Schultz,4200,8.8,0.0,21.1
Trevor Lawrence,5700,8.8,0.0,21.1
Tetairoa McMillan,6000,8.8,0.0,21.1
Houston Defense,3200,8.4,0.0,21.1
Harold Fannin Jr.,4000,7.7,0.0,21.1
Adonai Mitchell,4300,7.0,0.0,26.3
Tennessee Defense,2400,6.7,0.0,21.1
James Cook III,6900,6.7,0.0,26.3
KC Concepcion Jr.,4300,6.0,0.0,26.3
Denzel Boston,4500,6.0,0.0,21.1
Jaylen Warren,5700,5.6,0.0,10.5
Brian Thomas Jr.,4600,5.3,0.0,15.8
DeMario Douglas,3700,5.3,0.0,10.5
C.J. Stroud,5500,5.3,0.0,15.8
Ladd McConkey,5900,4.9,0.0,15.8
Cleveland Defense,2500,4.6,0.0,15.8
Miami Defense,2000,4.6,0.0,10.5
Isaiah Likely,4700,4.6,0.0,15.8
Ja'Marr Chase,8100,4.6,0.0,10.5
Jameson Williams,5400,4.2,0.0,10.5
Bryce Young,5600,4.2,0.0,10.5
Tee Higgins,6100,3.9,0.0,10.5
Oronde Gadsden,3500,3.9,0.0,15.8
Rashee Rice,6400,3.5,0.0,15.8
