player,salary,proj_own,lo,hi
Ja'Marr Chase,7800,53.0,31.6,78.9
Jahmyr Gibbs,8000,50.9,36.8,63.2
Devaughn Vele,3500,46.3,31.6,73.7
Amon-Ra St. Brown,7500,42.5,26.3,47.4
Garrett Wilson,5800,37.5,15.8,52.6
Sam LaPorta,4400,36.8,21.1,52.6
Bijan Robinson,7700,34.0,21.1,47.4
Juwan Johnson,3700,34.0,15.8,47.4
Travis Etienne Jr.,5900,33.0,10.5,52.6
Jonathan Taylor,7300,29.8,5.3,47.4
Harold Fannin Jr.,4200,28.4,15.8,42.1
Tetairoa McMillan,6100,24.6,5.3,42.1
Cleveland Defense,2100,21.1,5.3,36.8
New Orleans Defense,2200,21.1,5.3,36.8
Houston Defense,2900,20.0,10.5,36.8
Derrick Henry,6700,19.6,10.5,36.8
Joe Burrow,6900,19.3,5.3,31.6
Tyler Warren,4900,17.5,0.0,36.8
Drake London,6500,17.2,5.3,31.6
Bucky Irving,5700,16.1,5.3,26.3
Zay Flowers,6400,15.4,0.0,26.3
Mark Andrews,3900,14.4,0.0,52.6
Tee Higgins,6300,11.6,0.0,21.1
Breece Hall,6200,11.6,0.0,36.8
Trevor Lawrence,5800,11.2,0.0,31.6
Wan'Dale Robinson,4800,11.2,0.0,31.6
Jared Goff,6000,10.5,0.0,21.1
Bryce Young,5200,10.5,0.0,21.1
Chris Olave,6700,9.5,0.0,21.1
Chase Brown,7100,9.5,0.0,15.8
Jacksonville Defense,3400,9.5,0.0,21.1
Jaylen Warren,5400,9.1,0.0,21.1
Tennessee Defense,3100,8.4,0.0,21.1
Dalton Schultz,3400,8.1,0.0,21.1
Baker Mayfield,5900,7.7,0.0,10.5
Josh Allen,7000,7.4,0.0,15.8
Rico Dowdle,5200,7.0,0.0,10.5
Cam Ward,5100,7.0,0.0,21.1
Colston Loveland,5300,7.0,0.0,21.1
Carnell Tate,5300,7.0,0.0,15.8
Caleb Williams,6300,6.7,0.0,15.8
DK Metcalf,5400,6.7,0.0,10.5
C.J. Stroud,5200,6.0,0.0,15.8
Lamar Jackson,6800,5.6,0.0,21.1
Tyler Shough,5600,4.9,0.0,15.8
Pittsburgh Defense,3300,4.9,0.0,15.8
Atlanta Defense,2600,4.9,0.0,15.8
Chicago Defense,2800,4.9,0.0,15.8
Jalen Coker,4600,3.9,0.0,15.8
Gunnar Helm,3200,3.9,0.0,10.5
